VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,ENVIRON,UNION4,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,MSCASE,TELEPOLL,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,48.0,4.0,1.0,FIRST CALL,65-74,WHITE,MALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,YES,DOLE,OMITS,NONE,WORSE,DIS/UNFAV,YES,REPUBLCN,10-50K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,75-100K,YES,NO,CONSERV,65+,SOCIALSECURI,SOMEWHAT,EXITPOLL,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.372
STATE ONLY,48.0,4.0,2.0,FIRST CALL,50-59,WHITE,MALE,BUSH,GORTON,CARLSON,APPROVE,FAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,CARES,NO,PEROT,PROENVIR,ME,BETTER,APP/FAV,YES,REPUBLCN,10-50K,SOMCOL/ASSOC,PROTESTANT,NEVER,75-100K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,GREATDEAL,EXITPOLL,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.303
STATE ONLY,48.0,4.0,3.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,CANTWELL,LOCKE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,SOCIALSECUR,COMPLEXISSUE,NO,CLINTON,PROENVIR,ME,BETTER,APP/FAV,YES,DEMOCRAT,10-50K,HSGRAD,OTHERCHRIST,ONCEAWEEK,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,NEITHER,ISSUES,,,0.218
STATE ONLY,48.0,4.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,CANTWELL,LOCKE,APPROVE,FAVORABLE,GORE,OMITS,SMCITY/RURAL,SOCIALSECUR,COMPLEXISSUE,NO,CLINTON,PROENVIR,NONE,BETTER,APP/FAV,YES,DEMOCRAT,10-50K,POSTGRAD,NONE,NEVER,15-30K,NO,NO,MODERATE,18-64,REDUCNATDEBT,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,NONE,ONLYGORE,ONLYBUSH,ISSUES,,,0.218
STATE ONLY,48.0,4.0,5.0,FIRST CALL,50-59,WHITE,MALE,GORE,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,LIKEABLE,NO,DOLE,PROGRWTH,SOMEONEELSE,SAME,DIS/UNFAV,YES,REPUBLCN,10-50K,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,75-100K,YES,NO,MODERATE,18-64,OTHRPROGRAMS,GREATDEAL,EXITPOLL,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,ONLYBUSH,ONLYGORE,OMITS,,,0.334
STATE ONLY,48.0,4.0,6.0,FIRST CALL,45-49,WHITE,MALE,GORE,CANTWELL,LOCKE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,OMITS,COMPLEXISSUE,NO,CLINTON,PROENVIR,NONE,BETTER,APP/FAV,YES,DEMOCRAT,10-50K,POSTGRAD,NONE,NEVER,75-100K,NO,NO,MODERATE,18-64,SOCIALSECURI,GREATDEAL,EXITPOLL,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,NONE,ONLYGORE,ONLYBUSH,ISSUES,,,0.227
STATE ONLY,48.0,4.0,7.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,YES,DOLE,PROGRWTH,NONE,BETTER,DIS/UNFAV,YES,REPUBLCN,10-50K,COLGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,GREATDEAL,EXITPOLL,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.29
STATE ONLY,48.0,4.0,8.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,HONEST,YES,DOLE,OMITS,NONE,SAME,DIS/UNFAV,YES,REPUBLCN,10-50K,POSTGRAD,,ONCEAWEEK,,YES,YES,CONSERV,18-64,OMITS,SOMEWHAT,EXITPOLL,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,,ONLYBUSH,ONLYGORE,OMITS,,,0.29
STATE ONLY,48.0,4.0,9.0,FIRST CALL,18-24,WHITE,MALE,GORE,CANTWELL,LOCKE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,NO,CLINTON,PROENVIR,ME,BETTER,DIS/UNFAV,NO,DEMOCRAT,10-50K,NOHS,OTHERCHRIST,AFEWAYEAR,15-30K,NO,YES,LIBERAL,18-64,SOCIALSECURI,NOTATALL,EXITPOLL,STATE,COMPLETE,EAST,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,ONLYGORE,BOTH,PERSONALQUAL,,,0.304
STATE ONLY,48.0,4.0,10.0,FIRST CALL,75+,WHITE,MALE,BUSH,GORTON,CARLSON,DISAPPR,UNFAVORABLE,WOULDNOTVOTE,LESS,SMCITY/RURAL,SOCIALSECUR,CARES,NO,DOLE,PROGRWTH,ME,WORSE,DIS/UNFAV,NO,DEMOCRAT,10-50K,HSGRAD,PROTESTANT,ONCEAWEEK,,YES,NO,LIBERAL,65+,REDUCNATDEBT,GREATDEAL,EXITPOLL,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,BOTH,ONLYBUSH,PERSONALQUAL,,,0.372
