VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,GUNOWNER,GUN,WEIGHT
STATE ONLY,36.0,2.0,1.0,FIRST CALL,18-24,WHITE,MALE,BUSH,DEWINE,DISAPPR,FAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,HONEST,YES,DOLE,ME,GOREDID,SAME,DIS/FAV,YES,REPUBLCN,10-50K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,LESS15K,NO,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,CENTRAL,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,NO,SUPPORT,1.103
STATE ONLY,36.0,2.0,2.0,FIRST CALL,18-24,WHITE,MALE,BUSH,DEWINE,OMITS,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,MEDICARE/RX,STRONGLEADER,NO,DOLE,NONE,GOREDID,SAME,OMITS,,REPUBLCN,10-50K,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,LESS15K,NO,NO,MODERATE,18-64,OMITS,STATE,COMPLETE,CENTRAL,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,OMITS,ONLYGORE,ISSUES,,,YES,SUPPORT,1.103
STATE ONLY,36.0,2.0,3.0,FIRST CALL,25-29,WHITE,MALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,GOODJUDGMENT,YES,DOLE,NONE,BUSHDID,BETTER,DIS/UNFAV,YES,INDEPEND,10-50K,COLGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,CENTRAL,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,NO,SUPPORT,1.103
STATE ONLY,36.0,2.0,4.0,FIRST CALL,30-39,OTHER,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,ECON/JOBS,CARES,YES,CLINTON,NONE,BUSHDID,SAME,APP/FAV,YES,DEMOCRAT,10-50K,COLGRAD,CATHOLIC,AFEWAMONTH,30-50K,YES,YES,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,CENTRAL,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,ONLYGORE,ONLYBUSH,ISSUES,,,YES,SUPPORT,0.918
STATE ONLY,36.0,2.0,5.0,FIRST CALL,40-44,ASIAN,FEMALE,NADER,DEWINE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,HONEST,NO,DOLE,NONE,BOTHDID,BETTER,DIS/UNFAV,YES,DEMOCRAT,10-50K,HSGRAD,JEWISH,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,CENTRAL,30-44,40-49,DEMOCRAT,40-49,JEWISH,BOTH,BOTH,ISSUES,,,YES,SUPPORT,0.64
STATE ONLY,36.0,2.0,6.0,FIRST CALL,50-59,WHITE,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,TAXES,COMPLEXISSUE,NO,CLINTON,NONE,BOTHDID,SAME,APP/FAV,YES,DEMOCRAT,10-50K,NOHS,NONE,NEVER,15-30K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CENTRAL,45-59,50-59,DEMOCRAT,50-64,NONE,ONLYGORE,ONLYGORE,PERSONALQUAL,,,YES,OPPOSE,1.042
STATE ONLY,36.0,2.0,7.0,FIRST CALL,25-29,WHITE,MALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,YES,PEROT,NONE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,10-50K,HSGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,CENTRAL,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,BOTH,BOTH,ISSUES,,,NO,SUPPORT,1.103
STATE ONLY,36.0,2.0,8.0,FIRST CALL,25-29,WHITE,MALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,GOODJUDGMENT,YES,DOLE,NONE,BUSHDID,BETTER,DIS/UNFAV,YES,INDEPEND,10-50K,COLGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,CENTRAL,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,NO,SUPPORT,1.103
STATE ONLY,36.0,2.0,9.0,FIRST CALL,45-49,BLACK,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,MEDICARE/RX,LIKEABLE,NO,CLINTON,MEANDSOMEONE,BOTHDID,BETTER,APP/FAV,YES,DEMOCRAT,10-50K,HSGRAD,PROTESTANT,ONCEAWEEK,15-30K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,STATE,COMPLETE,CENTRAL,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,YES,SUPPORT,1.26
STATE ONLY,36.0,2.0,10.0,SECOND CALL,45-49,BLACK,MALE,NADER,CELESTE,DISAPPR,FAVORABLE,WOULDNOTVOTE,MORE,SMCITY/RURAL,HEALTHCARE,EXPERIENCE,NO,OTHER,NONE,NEITHERDID,SAME,DIS/FAV,YES,INDEPEND,10-50K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,CENTRAL,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,NEITHER,NEITHER,PERSONALQUAL,,,NO,SUPPORT,0.765
STATE ONLY,36.0,2.0,11.0,SECOND CALL,30-39,BLACK,MALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,GOODJUDGMENT,NO,CLINTON,ME,GOREDID,BETTER,APP/FAV,YES,DEMOCRAT,10-50K,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,15-30K,YES,NO,LIBERAL,18-64,OTHRPROGRAMS,STATE,COMPLETE,CENTRAL,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYGORE,ONLYGORE,ISSUES,,,NO,SUPPORT,1.26
STATE ONLY,36.0,2.0,12.0,SECOND CALL,18-24,WHITE,MALE,GORE,,DISAPPR,FAVORABLE,WOULDNOTVOTE,LESS,SMCITY/RURAL,ECON/JOBS,GOODJUDGMENT,NO,NOVOTE,SOMEONEELSE,BOTHDID,BETTER,DIS/FAV,NO,INDEPEND,10-50K,HSGRAD,PROTESTANT,AFEWAYEAR,LESS15K,NO,NO,MODERATE,18-64,OTHRPROGRAMS,STATE,COMPLETE,CENTRAL,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,NO,SUPPORT,1.105
STATE ONLY,36.0,2.0,13.0,SECOND CALL,40-44,BLACK,FEMALE,GORE,CELESTE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,MEDICARE/RX,COMPLEXISSUE,NO,CLINTON,NONE,BUSHDID,BETTER,APP/FAV,NO,DEMOCRAT,10-50K,COLGRAD,OTHERCHRIST,ONCEAWEEK,30-50K,YES,YES,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,CENTRAL,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYGORE,ONLYGORE,PERSONALQUAL,,,NO,SUPPORT,1.109
STATE ONLY,36.0,2.0,14.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,DEWINE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,EXPERIENCE,YES,DOLE,NONE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,10-50K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,30-50K,YES,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,CENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,NO,SUPPORT,1.024
