VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,25.0,3.0,1.0,FIRST CALL,,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,,,,,STATE,JACKSON/DELT,,,DEMOCRAT,,,,,0.256
STATE ONLY,25.0,3.0,2.0,FIRST CALL,40-44,BLACK,MALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,,,18-64,STATE,JACKSON/DELT,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.273
STATE ONLY,25.0,3.0,3.0,FIRST CALL,40-44,BLACK,MALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,WORSE,APP/FAV,DEMOCRAT,NONE,LESS15K,CONSERV,18-64,STATE,JACKSON/DELT,30-44,40-49,DEMOCRAT,40-49,NONE,,,0.273
STATE ONLY,25.0,3.0,4.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,LESS15K,MODERATE,18-64,STATE,JACKSON/DELT,45-59,40-49,DEMOCRAT,40-49,OTHER,,,0.256
STATE ONLY,25.0,3.0,5.0,FIRST CALL,50-59,BLACK,MALE,GORE,BROWN,OMITS,OMITS,GORE,OMITS,CLINTON,BETTER,OMITS,DEMOCRAT,OTHERCHRIST,OVER100K,LIBERAL,18-64,STATE,JACKSON/DELT,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.273
STATE ONLY,25.0,3.0,6.0,FIRST CALL,40-44,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,NO,PEROT,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,15-30K,LIBERAL,18-64,STATE,JACKSON/DELT,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.256
STATE ONLY,25.0,3.0,7.0,FIRST CALL,,BLACK,FEMALE,GORE,,APPROVE,FAVORABLE,OMITS,OMITS,OMITS,OMITS,APP/FAV,,,,,,STATE,JACKSON/DELT,,,,,,,,0.309
STATE ONLY,25.0,3.0,8.0,FIRST CALL,30-39,BLACK,MALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,15-30K,MODERATE,18-64,STATE,JACKSON/DELT,30-44,30-39,DEMOCRAT,30-39,OTHER,,,0.273
STATE ONLY,25.0,3.0,9.0,FIRST CALL,40-44,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,LESS15K,LIBERAL,18-64,STATE,JACKSON/DELT,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.256
STATE ONLY,25.0,3.0,10.0,FIRST CALL,40-44,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,30-50K,CONSERV,18-64,STATE,JACKSON/DELT,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.256
STATE ONLY,25.0,3.0,11.0,FIRST CALL,18-24,WHITE,MALE,GORE,,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,50-75K,LIBERAL,18-64,STATE,JACKSON/DELT,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.464
STATE ONLY,25.0,3.0,12.0,FIRST CALL,50-59,BLACK,,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,PEROT,BETTER,APP/FAV,DEMOCRAT,ELSE,15-30K,MODERATE,18-64,STATE,JACKSON/DELT,45-59,50-59,DEMOCRAT,50-64,OTHER,,,0.256
STATE ONLY,25.0,3.0,13.0,FIRST CALL,18-24,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,WOULDNOTVOTE,OMITS,CLINTON,BETTER,APP/FAV,,ELSE,LESS15K,CONSERV,18-64,STATE,JACKSON/DELT,18-29,18-24,,18-24,OTHER,,,0.396
STATE ONLY,25.0,3.0,14.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,MODERATE,18-64,STATE,JACKSON/DELT,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.256
STATE ONLY,25.0,3.0,15.0,FIRST CALL,,WHITE,,GORE,,APPROVE,OMITS,GORE,OMITS,CLINTON,BETTER,OMITS,DEMOCRAT,ELSE,LESS15K,,,STATE,JACKSON/DELT,,,DEMOCRAT,,OTHER,,,0.3
STATE ONLY,25.0,3.0,16.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,JACKSON/DELT,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.256
STATE ONLY,25.0,3.0,17.0,SECOND CALL,65-74,BLACK,MALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,LIBERAL,65+,STATE,JACKSON/DELT,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.307
STATE ONLY,25.0,3.0,18.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,NO,CLINTON,WORSE,APP/FAV,DEMOCRAT,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,JACKSON/DELT,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.256
STATE ONLY,25.0,3.0,19.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,NONE,LESS15K,MODERATE,18-64,STATE,JACKSON/DELT,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.256
STATE ONLY,25.0,3.0,20.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,50-75K,MODERATE,18-64,STATE,JACKSON/DELT,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.256
STATE ONLY,25.0,3.0,21.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,NONE,LESS15K,MODERATE,18-64,STATE,JACKSON/DELT,30-44,30-39,DEMOCRAT,30-39,NONE,,,0.256
STATE ONLY,25.0,3.0,22.0,SECOND CALL,65-74,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,LESS15K,MODERATE,65+,STATE,JACKSON/DELT,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.289
STATE ONLY,25.0,3.0,23.0,SECOND CALL,40-44,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,WORSE,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,JACKSON/DELT,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.256
STATE ONLY,25.0,3.0,24.0,SECOND CALL,65-74,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,MODERATE,65+,STATE,JACKSON/DELT,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.289
STATE ONLY,25.0,3.0,25.0,THIRD CALL,60-64,BLACK,FEMALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,,LIBERAL,18-64,STATE,JACKSON/DELT,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.289
STATE ONLY,25.0,3.0,26.0,THIRD CALL,30-39,BLACK,MALE,GORE,BROWN,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,JACKSON/DELT,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.273
