VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,19.0,1.0,1.0,FIRST CALL,40-44,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,MODERATE,18-64,STATE,CAJUNCOUNTRY,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.514
STATE ONLY,19.0,1.0,2.0,FIRST CALL,65-74,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,LESS15K,MODERATE,65+,STATE,CAJUNCOUNTRY,60+,60+,DEMOCRAT,65+,CATHOLIC,,,0.615
STATE ONLY,19.0,1.0,3.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,NONE,LESS15K,MODERATE,18-64,STATE,CAJUNCOUNTRY,45-59,50-59,DEMOCRAT,50-64,NONE,,,0.514
STATE ONLY,19.0,1.0,4.0,FIRST CALL,18-24,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,CONSERV,18-64,STATE,CAJUNCOUNTRY,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,,,0.545
STATE ONLY,19.0,1.0,5.0,FIRST CALL,30-39,BLACK,MALE,GORE,APPROVE,UNFAVORABLE,GORE,YES,CLINTON,SAME,APP/UNFAV,DEMOCRAT,CATHOLIC,15-30K,CONSERV,18-64,STATE,CAJUNCOUNTRY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.578
STATE ONLY,19.0,1.0,6.0,FIRST CALL,30-39,BLACK,MALE,OTHER,APPROVE,FAVORABLE,WOULDNOTVOTE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,OVER100K,CONSERV,18-64,STATE,CAJUNCOUNTRY,30-44,30-39,DEMOCRAT,30-39,OTHER,,,0.647
STATE ONLY,19.0,1.0,7.0,FIRST CALL,50-59,BLACK,,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,LIBERAL,18-64,STATE,CAJUNCOUNTRY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.514
STATE ONLY,19.0,1.0,8.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,,65+,STATE,CAJUNCOUNTRY,60+,60+,DEMOCRAT,65+,CATHOLIC,,,0.797
STATE ONLY,19.0,1.0,9.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,LESS15K,LIBERAL,18-64,STATE,CAJUNCOUNTRY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.514
STATE ONLY,19.0,1.0,10.0,FIRST CALL,65-74,WHITE,,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,PROTESTANT,15-30K,MODERATE,65+,STATE,CAJUNCOUNTRY,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.797
