VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,FORCANNY,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,UNFAIRNY,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,CARPETBG,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,LATINO,QRACE,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
NATIONAL WHITE,33.0,3.0,1.0,FIRST CALL,75+,WHITE,FEMALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,OMITS,SUBURBS,HEALTHCARE,CARES,,CLINTON,NONE,OMITS,APP/FAV,,,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,LESS15K,NO,,LIBERAL,65+,,,NATIONAL,COMPLETE,URBANUPSTATE,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,,,PERSONALQUAL,,,1.299
NATIONAL WHITE,33.0,3.0,2.0,FIRST CALL,50-59,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,EDUCATION,EXPERIENCE,,CLINTON,ME,SAME,APP/FAV,YES,,INDEPEND,SUBURBS,POSTGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,45-59,50-59,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,,,ISSUES,,,1.133
NATIONAL WHITE,33.0,3.0,3.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,,DOLE,NONE,SAME,DIS/UNFAV,NO,,REPUBLCN,SUBURBS,HSGRAD,PROTESTANT,MORETHAN1AWK,75-100K,YES,NO,CONSERV,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,,PERSONALQUAL,,,0.981
NATIONAL YELLOW,33.0,3.0,4.0,FIRST CALL,40-44,WHITE,MALE,,,OMITS,OMITS,OMITS,LESS,SUBURBS,ECON/JOBS,GOODJUDGMENT,,OMITS,NONE,OMITS,,YES,,,SUBURBS,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,30-44,40-49,,40-49,NO,WHITE,,,,OMITS,ECON/JOBS,GOODJUDGMENT,1.065
NATIONAL YELLOW,33.0,3.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,OTHER,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,WORLDAFFAIRS,HONEST,,DOLE,NONE,SAME,DIS/UNFAV,NO,,REPUBLCN,SUBURBS,HSGRAD,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,,,ISSUES,WORLDAFFAIRS,HONEST,1.4040000000000001
NATIONAL YELLOW,33.0,3.0,6.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,LAZIO,OMITS,OMITS,OMITS,LESS,SUBURBS,EDUCATION,CARES,,OMITS,NONE,OMITS,,NO,,,SUBURBS,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,60+,60+,,50-64,NO,WHITE,,,,OMITS,EDUCATION,CARES,1.242
NATIONAL GREY,33.0,3.0,7.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,CLINTON,,,,,SUBURBS,,,,,,,,,,,SUBURBS,,,,,,,,18-64,OMITS,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,60+,60+,,50-64,NO,WHITE,,OMITS,OMITS,,,,1.299
NATIONAL GREY,33.0,3.0,8.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,LAZIO,,,,,SUBURBS,,,,,,,,,,DEMOCRAT,SUBURBS,HSGRAD,,,15-30K,,,MODERATE,18-64,REDUCNATDEBT,,NATIONAL,COMPLETE,URBANUPSTATE,60+,60+,DEMOCRAT,50-64,NO,WHITE,,ONLYGORE,BOTH,,,,1.318
NATIONAL PINK,33.0,3.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,LAZIO,,,,,SUBURBS,,,,,,,,NO,,,SUBURBS,,,,,,,,65+,,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,60+,60+,,65+,NO,WHITE,,,,,,,1.318
NATIONAL PINK,33.0,3.0,10.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,LAZIO,,,,,SUBURBS,,,,,NONE,,,NO,,,SUBURBS,,,,,,,,18-64,,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,18-29,25-29,,25-29,NO,WHITE,,,,,,,0.997
NATIONAL PINK,33.0,3.0,11.0,FIRST CALL,40-44,WHITE,MALE,GORE,CLINTON,,,,,SUBURBS,,,,,SOMEONEELSE,,,YES,,DEMOCRAT,SUBURBS,,CATHOLIC,,OVER100K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,CATHOLIC,,,,,,1.133
NATIONAL WHITE,33.0,3.0,12.0,SECOND CALL,45-49,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,EXPERIENCE,,CLINTON,SOMEONEELSE,BETTER,APP/FAV,YES,,INDEPEND,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,50-75K,NO,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,,,ISSUES,,,1.133
NATIONAL WHITE,33.0,3.0,13.0,SECOND CALL,75+,WHITE,MALE,BUSH,LAZIO,OMITS,OMITS,OMITS,LESS,SUBURBS,MEDICARE/RX,STRONGLEADER,,OMITS,NONE,OMITS,,NO,,,SUBURBS,,,OMITS,,,,,65+,,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,60+,60+,,65+,NO,WHITE,,,,OMITS,,,1.372
NATIONAL WHITE,33.0,3.0,14.0,SECOND CALL,65-74,WHITE,MALE,GORE,CLINTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,STRONGLEADER,,CLINTON,ME,BETTER,APP/FAV,NO,,DEMOCRAT,SUBURBS,HSGRAD,CATHOLIC,AFEWAYEAR,30-50K,YES,NO,MODERATE,65+,,,NATIONAL,COMPLETE,URBANUPSTATE,60+,60+,DEMOCRAT,65+,NO,WHITE,CATHOLIC,,,ISSUES,,,1.434
NATIONAL WHITE,33.0,3.0,15.0,SECOND CALL,40-44,WHITE,MALE,BUSH,LAZIO,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,TAXES,COMPLEXISSUE,,DOLE,ME,WORSE,DIS/UNFAV,YES,,REPUBLCN,SUBURBS,HSGRAD,CATHOLIC,AFEWAYEAR,50-75K,YES,YES,CONSERV,18-64,,,NATIONAL,COMPLETE,URBANUPSTATE,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,CATHOLIC,,,PERSONALQUAL,,,1.084
NATIONAL YELLOW,33.0,3.0,16.0,SECOND CALL,65-74,BLACK,MALE,GORE,CLINTON,OMITS,OMITS,OMITS,MORE,SUBURBS,HEALTHCARE,CARES,,OMITS,NONE,OMITS,,NO,,,SUBURBS,,,OMITS,,,,,65+,,,NATIONAL,NOTCOMPLETE,URBANUPSTATE,60+,60+,,65+,NO,BLACK,,,,OMITS,HEALTHCARE,CARES,1.322
