VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,GOV98MN,PARTYID,ISQUASEN,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,UNFAIRMN,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,TRACK,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,24.0,2.0,1.0,FIRST CALL,40-44,WHITE,MALE,BUSH,DAYTON,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,OMITS,COMPLEXISSUE,CLINTON,ME,BETTER,APP/FAV,YES,VENTURA,DEMOCRAT,ISSUES,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,OMITS,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,1.288
STATE ONLY,24.0,2.0,2.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,DAYTON,APPROVE,OMITS,GORE,MORE,SUBURBS,OMITS,HONEST,CLINTON,SOMEONEELSE,SAME,OMITS,YES,HUMPHREY,DEMOCRAT,ISSUES,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,75-100K,YES,NO,LIBERAL,18-64,SOCIALSECURI,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,RIGHTDIR,ONLYGORE,NEITHER,PERSONALQUAL,,,1.085
STATE ONLY,24.0,2.0,3.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,HONEST,CLINTON,ME,SAME,APP/FAV,YES,HUMPHREY,INDEPEND,PERSONALQUAL,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,YES,CONSERV,18-64,REDUCNATDEBT,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,RIGHTDIR,BOTH,BOTH,PERSONALQUAL,,,1.085
STATE ONLY,24.0,2.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,HONEST,PEROT,NONE,SAME,DIS/UNFAV,YES,VENTURA,REPUBLCN,ISSUES,SUBURBS,HSGRAD,PROTESTANT,MORETHAN1AWK,75-100K,YES,NO,MODERATE,18-64,SOCIALSECURI,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,WRONGTRACK,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,1.073
STATE ONLY,24.0,2.0,5.0,FIRST CALL,25-29,BLACK,MALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,ECON/JOBS,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/FAV,YES,HUMPHREY,INDEPEND,PERSONALQUAL,SUBURBS,POSTGRAD,NONE,NEVER,30-50K,NO,NO,MODERATE,18-64,REDUCNATDEBT,GRAMSDID,STATE,COMPLETE,TWINCTYMETRO,18-29,25-29,IND/OTHER,25-29,NONE,RIGHTDIR,ONLYGORE,ONLYBUSH,ISSUES,,,1.228
STATE ONLY,24.0,2.0,6.0,FIRST CALL,50-59,WHITE,MALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,CARES,PEROT,NONE,BETTER,APP/FAV,NO,HUMPHREY,DEMOCRAT,ISSUES,SUBURBS,HSGRAD,PROTESTANT,NEVER,LESS15K,NO,NO,LIBERAL,18-64,SOCIALSECURI,GRAMSDID,STATE,COMPLETE,TWINCTYMETRO,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,RIGHTDIR,ONLYGORE,ONLYBUSH,ISSUES,,,1.315
STATE ONLY,24.0,2.0,7.0,FIRST CALL,50-59,WHITE,MALE,GORE,DAYTON,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,EXPERIENCE,CLINTON,ME,BETTER,APP/UNFAV,YES,HUMPHREY,DEMOCRAT,ISSUES,SUBURBS,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,OVER100K,YES,NO,MODERATE,18-64,SOCIALSECURI,GRAMSDID,STATE,COMPLETE,TWINCTYMETRO,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,1.315
STATE ONLY,24.0,2.0,8.0,FIRST CALL,50-59,WHITE,MALE,BUSH,GRAMS,DISAPPR,FAVORABLE,BUSH,MORE,SUBURBS,MEDICARE/RX,EXPERIENCE,DOLE,NONE,BETTER,DIS/FAV,YES,COLEMAN,REPUBLCN,PERSONALQUAL,SUBURBS,COLGRAD,PROTESTANT,AFEWAMONTH,30-50K,YES,NO,LIBERAL,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,RIGHTDIR,ONLYBUSH,BOTH,ISSUES,,,1.3
STATE ONLY,24.0,2.0,9.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,GRAMS,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,STRONGLEADER,CLINTON,NONE,WORSE,APP/UNFAV,YES,COLEMAN,REPUBLCN,PERSONALQUAL,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,15-30K,NO,NO,MODERATE,18-64,REDUCNATDEBT,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,RIGHTDIR,BOTH,ONLYGORE,ISSUES,,,1.29
STATE ONLY,24.0,2.0,10.0,FIRST CALL,40-44,WHITE,MALE,BUSH,DAYTON,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,OMITS,CLINTON,SOMEONEELSE,BETTER,DIS/UNFAV,NO,VENTURA,INDEPEND,ISSUES,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,30-50K,NO,YES,LIBERAL,18-64,SOCIALSECURI,GRAMSDID,STATE,COMPLETE,TWINCTYMETRO,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,RIGHTDIR,NEITHER,BOTH,ISSUES,,,1.288
STATE ONLY,24.0,2.0,11.0,FIRST CALL,65-74,WHITE,MALE,GORE,DAYTON,OMITS,OMITS,OMITS,MORE,SUBURBS,MEDICARE/RX,CARES,OMITS,ME,OMITS,,,HUMPHREY,,PERSONALQUAL,SUBURBS,,,OMITS,,,,,65+,OMITS,GRAMSDID,STATE,NOTCOMPLETE,TWINCTYMETRO,60+,60+,,65+,,RIGHTDIR,OMITS,OMITS,OMITS,,,2.109
STATE ONLY,24.0,2.0,12.0,SECOND CALL,18-24,WHITE,MALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,ECON/JOBS,CARES,PEROT,ME,BETTER,APP/FAV,YES,NOVOTE,DEMOCRAT,ISSUES,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,SOCIALSECURI,GRAMSDID,STATE,COMPLETE,TWINCTYMETRO,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,RIGHTDIR,BOTH,ONLYBUSH,ISSUES,,,1.578
STATE ONLY,24.0,2.0,13.0,SECOND CALL,18-24,WHITE,MALE,BUSH,GIBSON,APPROVE,FAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,EXPERIENCE,NOVOTE,SOMEONEELSE,WORSE,APP/FAV,YES,HUMPHREY,INDEPEND,PERSONALQUAL,SUBURBS,HSGRAD,NONE,AFEWAYEAR,LESS15K,NO,YES,LIBERAL,18-64,REDUCNATDEBT,GRAMSDID,STATE,COMPLETE,TWINCTYMETRO,18-29,18-24,IND/OTHER,18-24,NONE,RIGHTDIR,ONLYBUSH,ONLYBUSH,PERSONALQUAL,,,1.135
STATE ONLY,24.0,2.0,14.0,SECOND CALL,18-24,WHITE,MALE,BUSH,GRAMS,APPROVE,FAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,CARES,NOVOTE,SOMEONEELSE,WORSE,APP/FAV,YES,VENTURA,DEMOCRAT,ISSUES,SUBURBS,HSGRAD,NONE,AFEWAYEAR,30-50K,,YES,MODERATE,18-64,CUTFEDINCTAX,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,18-29,18-24,DEMOCRAT,18-24,NONE,RIGHTDIR,ONLYBUSH,ONLYGORE,ISSUES,,,1.562
STATE ONLY,24.0,2.0,15.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,DAYTON,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,EDUCATION,EXPERIENCE,CLINTON,NONE,BETTER,APP/UNFAV,YES,VENTURA,DEMOCRAT,ISSUES,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,GRAMSDID,STATE,COMPLETE,TWINCTYMETRO,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,RIGHTDIR,ONLYGORE,ONLYBUSH,ISSUES,,,1.085
STATE ONLY,24.0,2.0,16.0,THIRD CALL,30-39,WHITE,MALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,WORLDAFFAIRS,STRONGLEADER,CLINTON,NONE,BETTER,APP/FAV,YES,HUMPHREY,DEMOCRAT,PERSONALQUAL,SUBURBS,NOHS,PROTESTANT,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,REDUCNATDEBT,GRAMSDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,RIGHTDIR,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,1.315
STATE ONLY,24.0,2.0,17.0,THIRD CALL,30-39,WHITE,MALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,NONE,SAME,DIS/UNFAV,YES,VENTURA,REPUBLCN,ISSUES,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,50-75K,NO,YES,CONSERV,18-64,CUTFEDINCTAX,DAYTONDID,STATE,COMPLETE,TWINCTYMETRO,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,RIGHTDIR,ONLYBUSH,ONLYGORE,ISSUES,,,1.3
STATE ONLY,24.0,2.0,18.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,LESS,SUBURBS,WORLDAFFAIRS,HONEST,CLINTON,NONE,BETTER,APP/FAV,YES,VENTURA,REPUBLCN,PERSONALQUAL,SUBURBS,HSGRAD,CATHOLIC,AFEWAYEAR,15-30K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,OMITS,STATE,COMPLETE,TWINCTYMETRO,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,RIGHTDIR,BOTH,ONLYBUSH,PERSONALQUAL,,,1.302
STATE ONLY,24.0,2.0,19.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,OMITS,HONEST,DOLE,NONE,SAME,DIS/UNFAV,NO,COLEMAN,REPUBLCN,ISSUES,SUBURBS,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,OMITS,STATE,COMPLETE,TWINCTYMETRO,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,WRONGTRACK,BOTH,ONLYGORE,PERSONALQUAL,,,1.073
STATE ONLY,24.0,2.0,20.0,THIRD CALL,65-74,WHITE,MALE,BUSH,DAYTON,APPROVE,UNFAVORABLE,BUSH,LESS,SUBURBS,MEDICARE/RX,GOODJUDGMENT,CLINTON,NONE,SAME,APP/UNFAV,YES,HUMPHREY,DEMOCRAT,PERSONALQUAL,SUBURBS,POSTGRAD,PROTESTANT,MORETHAN1AWK,50-75K,,NO,MODERATE,65+,SOCIALSECURI,GRAMSDID,STATE,COMPLETE,TWINCTYMETRO,60+,60+,DEMOCRAT,65+,PROT/CHRIST,WRONGTRACK,ONLYBUSH,ONLYGORE,ISSUES,,,2.069
STATE ONLY,24.0,2.0,21.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,SOCIALSECUR,EXPERIENCE,CLINTON,SOMEONEELSE,BETTER,APP/FAV,YES,HUMPHREY,DEMOCRAT,PERSONALQUAL,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,REDUCNATDEBT,NEITHERDID,STATE,COMPLETE,TWINCTYMETRO,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,RIGHTDIR,ONLYGORE,BOTH,ISSUES,,,1.085
STATE ONLY,24.0,2.0,22.0,THIRD CALL,18-24,HISP,FEMALE,BUSH,GRAMS,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,ECON/JOBS,CARES,NOVOTE,SOMEONEELSE,BETTER,DIS/UNFAV,NO,NOVOTE,INDEPEND,ISSUES,SUBURBS,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,OVER100K,NO,NO,LIBERAL,18-64,SOCIALSECURI,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,18-29,18-24,IND/OTHER,18-24,CATHOLIC,RIGHTDIR,BOTH,BOTH,ISSUES,,,1.0030000000000001
STATE ONLY,24.0,2.0,23.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,DAYTON,APPROVE,FAVORABLE,GORE,MORE,SUBURBS,MEDICARE/RX,STRONGLEADER,NOVOTE,NONE,BETTER,APP/FAV,YES,VENTURA,DEMOCRAT,ISSUES,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,15-30K,NO,NO,LIBERAL,18-64,CUTFEDINCTAX,BOTHDID,STATE,COMPLETE,TWINCTYMETRO,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,RIGHTDIR,NEITHER,BOTH,ISSUES,,,1.302
