VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,12.0,2.0,1.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,AKAKA,APPROVE,UNFAVORABLE,GORE,DOLE,BETTER,APP/UNFAV,ELSE,NONE,30-50K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,40-49,IND/OTHER,40-49,NONE,,,0.895
STATE ONLY,12.0,2.0,2.0,FIRST CALL,25-29,ASIAN,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,CATHOLIC,30-50K,CONSERV,18-64,STATE,NEIGHBORISLE,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,1.491
STATE ONLY,12.0,2.0,3.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,AKAKA,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OTHERCHRIST,LESS15K,LIBERAL,18-64,STATE,NEIGHBORISLE,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.895
STATE ONLY,12.0,2.0,4.0,FIRST CALL,30-39,OTHER,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,NEIGHBORISLE,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.895
STATE ONLY,12.0,2.0,5.0,FIRST CALL,40-44,OTHER,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,WORSE,APP/FAV,DEMOCRAT,CATHOLIC,15-30K,LIBERAL,18-64,STATE,NEIGHBORISLE,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.895
STATE ONLY,12.0,2.0,6.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,LIBERAL,18-64,STATE,NEIGHBORISLE,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.895
STATE ONLY,12.0,2.0,7.0,FIRST CALL,65-74,ASIAN,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,15-30K,MODERATE,65+,STATE,NEIGHBORISLE,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.324
STATE ONLY,12.0,2.0,8.0,FIRST CALL,50-59,OTHER,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,WORSE,APP/FAV,INDEPEND,CATHOLIC,30-50K,CONSERV,18-64,STATE,NEIGHBORISLE,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.0090000000000001
STATE ONLY,12.0,2.0,9.0,FIRST CALL,60-64,OTHER,MALE,GORE,AKAKA,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,NEIGHBORISLE,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.324
STATE ONLY,12.0,2.0,10.0,FIRST CALL,75+,WHITE,,BUSH,CARROLL,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,ELSE,,CONSERV,65+,STATE,NEIGHBORISLE,60+,60+,REPUBLICAN,65+,OTHER,,,1.089
