VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,TRACK,PRESKNOW,THOMPSON,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,50.0,2.0,1.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,NO,CLINTON,ME,BUSHDID,BETTER,APP/UNFAV,YES,DEMOCRAT,RURAL,COLGRAD,OTHERCHRIST,AFEWAMONTH,30-50K,YES,NO,MODERATE,18-64,OTHRPROGRAMS,STATE,COMPLETE,FOXRIVERSW,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,BOTH,APPROVE,BOTH,ISSUES,,,0.999
STATE ONLY,50.0,2.0,2.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,SOCIALSECUR,CARES,NO,CLINTON,SOMEONEELSE,BOTHDID,BETTER,APP/FAV,NO,DEMOCRAT,RURAL,NOHS,CATHOLIC,ONCEAWEEK,15-30K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,FOXRIVERSW,60+,60+,DEMOCRAT,50-64,CATHOLIC,,BOTH,OMITS,ONLYBUSH,PERSONALQUAL,,,1.169
STATE ONLY,50.0,2.0,3.0,FIRST CALL,65-74,WHITE,MALE,BUSH,GILLESPIE,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,YES,PEROT,SOMEONEELSE,GOREDID,SAME,DIS/UNFAV,YES,INDEPEND,RURAL,HSGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,MODERATE,65+,CUTFEDINCTAX,STATE,COMPLETE,FOXRIVERSW,60+,60+,IND/OTHER,65+,PROT/CHRIST,,ONLYBUSH,APPROVE,ONLYGORE,PERSONALQUAL,,,1.099
STATE ONLY,50.0,2.0,4.0,FIRST CALL,75+,WHITE,FEMALE,GORE,,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,SMCITY/RURAL,OMITS,LIKEABLE,OMITS,CLINTON,ME,BOTHDID,BETTER,APP/FAV,NO,DEMOCRAT,RURAL,NOHS,PROTESTANT,ONCEAWEEK,LESS15K,NO,NO,MODERATE,65+,OMITS,STATE,COMPLETE,FOXRIVERSW,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,ONLYGORE,OMITS,BOTH,PERSONALQUAL,,,1.133
STATE ONLY,50.0,2.0,5.0,FIRST CALL,40-44,WHITE,MALE,BUSH,GILLESPIE,BEFORE,DISAPPR,OMITS,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,NO,DOLE,SOMEONEELSE,GOREDID,WORSE,OMITS,NO,REPUBLCN,RURAL,HSGRAD,CATHOLIC,NEVER,50-75K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,FOXRIVERSW,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,ONLYBUSH,DISAPPR,ONLYGORE,PERSONALQUAL,,,0.9390000000000001
STATE ONLY,50.0,2.0,6.0,FIRST CALL,75+,WHITE,MALE,GORE,GILLESPIE,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,SMCITY/RURAL,WORLDAFFAIRS,EXPERIENCE,NO,DOLE,ME,BUSHDID,BETTER,APP/UNFAV,NO,INDEPEND,RURAL,HSGRAD,CATHOLIC,MORETHAN1AWK,15-30K,YES,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,60+,60+,IND/OTHER,65+,CATHOLIC,,ONLYGORE,APPROVE,ONLYBUSH,PERSONALQUAL,,,1.09
STATE ONLY,50.0,2.0,7.0,FIRST CALL,60-64,WHITE,MALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,SOCIALSECUR,HONEST,OMITS,CLINTON,NONE,BUSHDID,BETTER,APP/FAV,NO,DEMOCRAT,RURAL,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,15-30K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,FOXRIVERSW,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,ONLYGORE,APPROVE,ONLYGORE,PERSONALQUAL,,,1.191
STATE ONLY,50.0,2.0,8.0,FIRST CALL,30-39,WHITE,MALE,BUSH,GILLESPIE,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,STRONGLEADER,NO,CLINTON,NONE,GOREDID,WORSE,DIS/UNFAV,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,ELSE,AFEWAYEAR,15-30K,YES,YES,CONSERV,18-64,OMITS,STATE,COMPLETE,FOXRIVERSW,30-44,30-39,REPUBLICAN,30-39,OTHER,,ONLYBUSH,APPROVE,ONLYGORE,ISSUES,,,0.9390000000000001
STATE ONLY,50.0,2.0,9.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,GILLESPIE,LAST.MONTH,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,TAXES,HONEST,OMITS,CLINTON,NONE,GOREDID,SAME,APP/FAV,NO,REPUBLCN,RURAL,HSGRAD,ELSE,AFEWAMONTH,15-30K,NO,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,60+,60+,REPUBLICAN,50-64,OTHER,,ONLYGORE,DISAPPR,ONLYGORE,PERSONALQUAL,,,1.071
STATE ONLY,50.0,2.0,10.0,SECOND CALL,50-59,WHITE,MALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,SOCIALSECUR,EXPERIENCE,YES,CLINTON,NONE,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,RURAL,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,OVER100K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,ONLYGORE,APPROVE,ONLYGORE,ISSUES,,,1.018
STATE ONLY,50.0,2.0,11.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,KOHL,BEFORE,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,SOCIALSECUR,GOODJUDGMENT,NO,CLINTON,NONE,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,RURAL,HSGRAD,CATHOLIC,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,ONLYGORE,APPROVE,ONLYBUSH,PERSONALQUAL,,,0.999
STATE ONLY,50.0,2.0,12.0,SECOND CALL,65-74,WHITE,MALE,GORE,GILLESPIE,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,SOCIALSECUR,CARES,NO,CLINTON,NONE,NEITHERDID,BETTER,APP/UNFAV,NO,DEMOCRAT,RURAL,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,CONSERV,65+,SOCIALSECURI,STATE,COMPLETE,FOXRIVERSW,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,ONLYGORE,APPROVE,BOTH,ISSUES,,,1.09
