VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPNE,SEN96NE,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,28.0,3.0,1.0,FIRST CALL,30-39,WHITE,MALE,GORE,NELSON,APPROVE,OMITS,GORE,NO,NELSON,ECON/JOBS,NO,CLINTON,BETTER,OMITS,INDEPEND,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.709
STATE ONLY,28.0,3.0,2.0,FIRST CALL,45-49,WHITE,MALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,WORLDAFFAIRS,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,CD3,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.739
STATE ONLY,28.0,3.0,3.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,NELSON,APPROVE,UNFAVORABLE,GORE,NO,NELSON,EDUCATION,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.66
STATE ONLY,28.0,3.0,4.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,NELSON,APPROVE,FAVORABLE,GORE,YES,NELSON,EDUCATION,NO,CLINTON,BETTER,APP/FAV,INDEPEND,COLGRAD,OTHERCHRIST,75-100K,MODERATE,18-64,STATE,COMPLETE,CD3,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.66
STATE ONLY,28.0,3.0,5.0,FIRST CALL,40-44,WHITE,MALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,OMITS,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,CD3,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.739
STATE ONLY,28.0,3.0,6.0,FIRST CALL,50-59,WHITE,MALE,BUSH,NELSON,DISAPPR,UNFAVORABLE,BUSH,YES,NELSON,ECON/JOBS,NO,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.88
STATE ONLY,28.0,3.0,7.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,NELSON,APPROVE,UNFAVORABLE,BUSH,YES,OMITS,TAXES,OMITS,CLINTON,SAME,APP/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.8160000000000001
STATE ONLY,28.0,3.0,8.0,FIRST CALL,30-39,WHITE,MALE,GORE,NELSON,APPROVE,UNFAVORABLE,GORE,YES,NELSON,ECON/JOBS,YES,PEROT,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,,CONSERV,18-64,STATE,COMPLETE,CD3,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.709
STATE ONLY,28.0,3.0,9.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,NELSON,APPROVE,FAVORABLE,GORE,YES,NELSON,OMITS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.66
STATE ONLY,28.0,3.0,10.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,NELSON,SOCIALSECUR,YES,CLINTON,BETTER,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.686
STATE ONLY,28.0,3.0,11.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,WORLDAFFAIRS,YES,OTHER,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,,LESS15K,MODERATE,65+,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,65+,,,,0.78
STATE ONLY,28.0,3.0,12.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,NELSON,APPROVE,FAVORABLE,GORE,YES,NELSON,MEDICARE/RX,YES,CLINTON,BETTER,APP/FAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,15-30K,CONSERV,18-64,STATE,COMPLETE,CD3,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.66
STATE ONLY,28.0,3.0,13.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,OMITS,MEDICARE/RX,OMITS,DOLE,OMITS,DIS/UNFAV,REPUBLCN,HSGRAD,CATHOLIC,,CONSERV,65+,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,65+,CATHOLIC,,,0.78
STATE ONLY,28.0,3.0,14.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,NELSON,APPROVE,UNFAVORABLE,BUSH,YES,NELSON,SOCIALSECUR,YES,PEROT,BETTER,APP/UNFAV,INDEPEND,HSGRAD,PROTESTANT,LESS15K,CONSERV,65+,STATE,COMPLETE,CD3,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.932
STATE ONLY,28.0,3.0,15.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,ECON/JOBS,YES,DOLE,WORSE,DIS/UNFAV,INDEPEND,COLGRAD,PROTESTANT,30-50K,CONSERV,65+,STATE,COMPLETE,CD3,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.78
STATE ONLY,28.0,3.0,16.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,STENBERG,APPROVE,FAVORABLE,GORE,YES,OMITS,SOCIALSECUR,OMITS,CLINTON,BETTER,APP/FAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,,18-64,STATE,COMPLETE,CD3,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.552
STATE ONLY,28.0,3.0,17.0,FIRST CALL,60-64,WHITE,MALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,SOCIALSECUR,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.842
STATE ONLY,28.0,3.0,18.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,STENBERG,APPROVE,FAVORABLE,BUSH,YES,HAGEL,SOCIALSECUR,OMITS,DOLE,BETTER,APP/FAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,15-30K,LIBERAL,65+,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,65+,CATHOLIC,,,0.78
STATE ONLY,28.0,3.0,19.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,NELSON,APPROVE,UNFAVORABLE,BUSH,NO,HAGEL,WORLDAFFAIRS,NO,DOLE,BETTER,APP/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,CD3,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.8160000000000001
STATE ONLY,28.0,3.0,20.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,EDUCATION,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,30-50K,CONSERV,65+,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.78
STATE ONLY,28.0,3.0,21.0,SECOND CALL,65-74,WHITE,MALE,BUSH,STENBERG,APPROVE,UNFAVORABLE,BUSH,YES,HAGEL,SOCIALSECUR,YES,DOLE,WORSE,APP/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.842
STATE ONLY,28.0,3.0,22.0,SECOND CALL,50-59,WHITE,MALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,NO,NELSON,OMITS,NO,DOLE,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,PROTESTANT,,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.739
STATE ONLY,28.0,3.0,23.0,SECOND CALL,50-59,WHITE,MALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,ECON/JOBS,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,18-64,STATE,COMPLETE,CD3,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.739
STATE ONLY,28.0,3.0,24.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,OMITS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,,MODERATE,18-64,STATE,COMPLETE,CD3,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.686
STATE ONLY,28.0,3.0,25.0,SECOND CALL,25-29,WHITE,MALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,TAXES,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,CD3,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.9530000000000001
STATE ONLY,28.0,3.0,26.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,NO,HAGEL,TAXES,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.686
STATE ONLY,28.0,3.0,27.0,SECOND CALL,50-59,WHITE,MALE,GORE,NELSON,DISAPPR,FAVORABLE,GORE,NO,NELSON,OMITS,NO,CLINTON,BETTER,DIS/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.709
STATE ONLY,28.0,3.0,28.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,NELSON,WORLDAFFAIRS,NO,DOLE,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.686
STATE ONLY,28.0,3.0,29.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,WORLDAFFAIRS,OMITS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.686
STATE ONLY,28.0,3.0,30.0,THIRD CALL,60-64,WHITE,FEMALE,BUSH,STENBERG,DISAPPR,UNFAVORABLE,BUSH,YES,HAGEL,SOCIALSECUR,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,CD3,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.78
STATE ONLY,28.0,3.0,31.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,NELSON,DISAPPR,UNFAVORABLE,GORE,YES,NELSON,SOCIALSECUR,NO,CLINTON,WORSE,DIS/UNFAV,ELSE,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.66
STATE ONLY,28.0,3.0,32.0,THIRD CALL,50-59,WHITE,MALE,GORE,NELSON,DISAPPR,UNFAVORABLE,GORE,YES,NELSON,ECON/JOBS,NO,PEROT,SAME,DIS/UNFAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.709
STATE ONLY,28.0,3.0,33.0,THIRD CALL,50-59,WHITE,MALE,GORE,NELSON,APPROVE,OMITS,GORE,YES,NELSON,ECON/JOBS,NO,CLINTON,SAME,OMITS,INDEPEND,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CD3,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.709
STATE ONLY,28.0,3.0,34.0,THIRD CALL,50-59,WHITE,MALE,GORE,NELSON,APPROVE,UNFAVORABLE,GORE,YES,HAGEL,ECON/JOBS,NO,CLINTON,SAME,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,,CONSERV,18-64,STATE,COMPLETE,CD3,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.709
