VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPCA,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,IMMIG,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,TELEPOLL,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,MEXICAN,QRACE,REL5,PRESKNOW,FTVOTER,SAYANY,ISSVQUAL,BORNUSA,VNS1,VNS2,WEIGHT
STATE ONLY,5.0,1.0,1.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,WORLDAFFAIRS,HONEST,NOVOTE,NONE,BETTER,APP/FAV,YES,DECREASE,DEMOCRAT,50-500K,HSGRAD,CATHOLIC,MORETHAN1AWK,LESS15K,NO,NO,CONSERV,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,BAYAREA,45-59,50-59,DEMOCRAT,50-64,NO,BLACK,CATHOLIC,ONLYGORE,NO,ONLYGORE,ISSUES,YES,,,0.314
STATE ONLY,5.0,1.0,2.0,FIRST CALL,45-49,WHITE,MALE,GORE,OTHER,APPROVE,FAVORABLE,GORE,NO,LESS,CITYOVER50K,EDUCATION,OMITS,CLINTON,ME,SAME,APP/FAV,YES,INCREASE,INDEPEND,50-500K,SOMCOL/ASSOC,JEWISH,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,BAYAREA,45-59,40-49,IND/OTHER,40-49,NO,WHITE,JEWISH,NEITHER,NO,BOTH,ISSUES,YES,,,0.791
STATE ONLY,5.0,1.0,3.0,FIRST CALL,30-39,WHITE,MALE,GORE,OTHER,OMITS,OMITS,OMITS,NO,MORE,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,OMITS,NONE,OMITS,,,INCREASE,,50-500K,,,OMITS,,,,,18-64,OMITS,EXITPOLL,STATE,NOTCOMPLETE,BAYAREA,30-44,30-39,,30-39,NO,WHITE,,OMITS,NO,OMITS,OMITS,YES,,,0.791
STATE ONLY,5.0,1.0,4.0,FIRST CALL,45-49,WHITE,FEMALE,NADER,OTHER,DISAPPR,UNFAVORABLE,GORE,NO,MORE,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,NOVOTE,SOMEONEELSE,BETTER,DIS/UNFAV,NO,INCREASE,ELSE,50-500K,POSTGRAD,ELSE,NEVER,30-50K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,45-59,40-49,IND/OTHER,40-49,NO,WHITE,OTHER,NEITHER,NO,BOTH,ISSUES,YES,,,0.40800000000000003
STATE ONLY,5.0,1.0,5.0,FIRST CALL,25-29,WHITE,MALE,BUSH,OTHER,DISAPPR,FAVORABLE,GORE,NO,MORE,CITYOVER50K,SOCIALSECUR,HONEST,CLINTON,ME,SAME,DIS/FAV,NO,INCREASE,REPUBLCN,50-500K,SOMCOL/ASSOC,ELSE,NEVER,15-30K,NO,NO,LIBERAL,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,OTHER,ONLYGORE,NO,BOTH,ISSUES,YES,,,0.771
STATE ONLY,5.0,1.0,6.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,OMITS,GOODJUDGMENT,CLINTON,ME,BETTER,APP/FAV,YES,DECREASE,DEMOCRAT,50-500K,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,30-50K,NO,YES,LIBERAL,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,BAYAREA,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,PROT/CHRIST,ONLYGORE,NO,ONLYBUSH,PERSONALQUAL,YES,,,0.314
STATE ONLY,5.0,1.0,7.0,FIRST CALL,18-24,WHITE,FEMALE,NADER,,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,EDUCATION,OMITS,NOVOTE,NONE,SAME,APP/FAV,NO,INCREASE,ELSE,50-500K,SOMCOL/ASSOC,NONE,NEVER,OVER100K,NO,NO,LIBERAL,18-64,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,BAYAREA,18-29,18-24,IND/OTHER,18-24,NO,WHITE,NONE,ONLYGORE,NO,ONLYBUSH,ISSUES,YES,,,0.23
STATE ONLY,5.0,1.0,8.0,FIRST CALL,,OTHER,FEMALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,,MORE,CITYOVER50K,WORLDAFFAIRS,OMITS,CLINTON,NONE,OMITS,APP/FAV,YES,STAYSAME,DEMOCRAT,50-500K,POSTGRAD,,OMITS,,NO,NO,MODERATE,,SOCIALSECURI,EXITPOLL,STATE,COMPLETE,BAYAREA,,,DEMOCRAT,,NO,OTHER,,BOTH,NO,BOTH,OMITS,YES,,,0.377
STATE ONLY,5.0,1.0,9.0,FIRST CALL,60-64,WHITE,MALE,GORE,FEINSTEIN,APPROVE,FAVORABLE,GORE,NO,MORE,CITYOVER50K,HEALTHCARE,CARES,CLINTON,NONE,SAME,APP/FAV,NO,INCREASE,DEMOCRAT,50-500K,POSTGRAD,NONE,NEVER,LESS15K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,EXITPOLL,STATE,COMPLETE,BAYAREA,60+,60+,DEMOCRAT,50-64,NO,WHITE,NONE,ONLYGORE,NO,BOTH,ISSUES,NO,,,0.541
STATE ONLY,5.0,1.0,10.0,FIRST CALL,40-44,ASIAN,FEMALE,GORE,FEINSTEIN,DISAPPR,UNFAVORABLE,GORE,NO,MORE,CITYOVER50K,HEALTHCARE,COMPLEXISSUE,CLINTON,NONE,BETTER,DIS/UNFAV,NO,INCREASE,DEMOCRAT,50-500K,POSTGRAD,NONE,NEVER,OVER100K,YES,YES,LIBERAL,18-64,OTHRPROGRAMS,EXITPOLL,STATE,COMPLETE,BAYAREA,30-44,40-49,DEMOCRAT,40-49,NO,ASIAN,NONE,ONLYGORE,NO,ONLYGORE,ISSUES,YES,,,0.41100000000000003
