VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,37.0,2.0,1.0,FIRST CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,NONE,50-75K,MODERATE,18-64,NO,STATE,WEST,30-44,30-39,REPUBLICAN,30-39,NONE,,,0.723
STATE ONLY,37.0,2.0,2.0,FIRST CALL,40-44,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,NO,STATE,WEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.723
STATE ONLY,37.0,2.0,3.0,FIRST CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,LESS15K,CONSERV,18-64,YES,STATE,WEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.723
STATE ONLY,37.0,2.0,4.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,OMITS,BETTER,DIS/UNFAV,DEMOCRAT,PROTESTANT,LESS15K,MODERATE,18-64,NO,STATE,WEST,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.802
STATE ONLY,37.0,2.0,5.0,FIRST CALL,18-24,ASIAN,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,NOVOTE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,LESS15K,CONSERV,18-64,NO,STATE,WEST,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.802
STATE ONLY,37.0,2.0,6.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,DEMOCRAT,PROTESTANT,,MODERATE,65+,YES,STATE,WEST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.892
STATE ONLY,37.0,2.0,7.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,18-64,NO,STATE,WEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.728
STATE ONLY,37.0,2.0,8.0,FIRST CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,OMITS,OMITS,CLINTON,WORSE,DIS/UNFAV,ELSE,PROTESTANT,30-50K,MODERATE,18-64,YES,STATE,WEST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.723
STATE ONLY,37.0,2.0,9.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,INDEPEND,PROTESTANT,30-50K,MODERATE,65+,NO,STATE,WEST,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,1.202
STATE ONLY,37.0,2.0,10.0,FIRST CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,18-64,YES,STATE,WEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.723
STATE ONLY,37.0,2.0,11.0,FIRST CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,NO,STATE,WEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.723
STATE ONLY,37.0,2.0,12.0,FIRST CALL,45-49,WHITE,MALE,BUSH,APPROVE,FAVORABLE,GORE,NO,NOVOTE,SAME,APP/FAV,REPUBLCN,ELSE,LESS15K,CONSERV,18-64,YES,STATE,WEST,45-59,40-49,REPUBLICAN,40-49,OTHER,,,0.723
STATE ONLY,37.0,2.0,13.0,FIRST CALL,50-59,WHITE,,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,DOLE,SAME,APP/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,YES,STATE,WEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.728
STATE ONLY,37.0,2.0,14.0,FIRST CALL,50-59,WHITE,FEMALE,BUCHANAN,DISAPPR,UNFAVORABLE,BUSH,YES,PEROT,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,75-100K,LIBERAL,18-64,NO,STATE,WEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.21
STATE ONLY,37.0,2.0,15.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,OMITS,OMITS,GORE,NO,CLINTON,BETTER,OMITS,DEMOCRAT,ELSE,15-30K,MODERATE,18-64,NO,STATE,WEST,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.988
STATE ONLY,37.0,2.0,16.0,FIRST CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,OMITS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,30-50K,MODERATE,18-64,YES,STATE,WEST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.981
STATE ONLY,37.0,2.0,17.0,FIRST CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,15-30K,MODERATE,18-64,YES,STATE,WEST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.981
STATE ONLY,37.0,2.0,18.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,NO,OTHER,WORSE,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,15-30K,MODERATE,18-64,NO,STATE,WEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.988
STATE ONLY,37.0,2.0,19.0,FIRST CALL,50-59,WHITE,MALE,GORE,DISAPPR,UNFAVORABLE,GORE,NO,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,OTHERCHRIST,15-30K,MODERATE,18-64,NO,STATE,WEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.981
STATE ONLY,37.0,2.0,20.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,LESS15K,MODERATE,18-64,NO,STATE,WEST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.892
