VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,MCINTAX,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
NATIONAL WHITE,15.0,5.0,1.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,MORE,EDUCATION,,YES,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.2710000000000001
NATIONAL WHITE,15.0,5.0,2.0,FIRST CALL,25-29,WHITE,MALE,BUSH,,MCINTOSH,APPROVE,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,,NO,DOLE,BETTER,APP/UNFAV,INDEPEND,HSGRAD,CATHOLIC,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,18-29,25-29,IND/OTHER,25-29,CATHOLIC,,,1.264
NATIONAL WHITE,15.0,5.0,3.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,EDUCATION,,NO,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.2710000000000001
NATIONAL WHITE,15.0,5.0,4.0,FIRST CALL,18-24,WHITE,MALE,GORE,,OBANNON,APPROVE,UNFAVORABLE,GORE,MORE,HEALTHCARE,,NO,NOVOTE,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,LIBERAL,18-64,NATIONAL,COMPLETE,SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,1.355
NATIONAL WHITE,15.0,5.0,5.0,FIRST CALL,60-64,WHITE,MALE,GORE,,OBANNON,DISAPPR,UNFAVORABLE,GORE,MORE,EDUCATION,,NO,NOVOTE,SAME,DIS/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,SOUTH,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,1.698
NATIONAL YELLOW,15.0,5.0,6.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,,OBANNON,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,,NO,NOVOTE,SAME,APP/FAV,INDEPEND,HSGRAD,PROTESTANT,15-30K,LIBERAL,18-64,NATIONAL,COMPLETE,SOUTH,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,ECON/JOBS,EXPERIENCE,1.361
NATIONAL YELLOW,15.0,5.0,7.0,FIRST CALL,40-44,WHITE,MALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,75-100K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,WORLDAFFAIRS,HONEST,1.063
NATIONAL YELLOW,15.0,5.0,8.0,FIRST CALL,65-74,WHITE,MALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,30-50K,CONSERV,65+,NATIONAL,COMPLETE,SOUTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,SOCIALSECUR,HONEST,1.588
NATIONAL YELLOW,15.0,5.0,9.0,FIRST CALL,40-44,WHITE,MALE,BUSH,,MCINTOSH,APPROVE,UNFAVORABLE,BUSH,LESS,TAXES,,NO,DOLE,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,TAXES,GOODJUDGMENT,1.063
NATIONAL YELLOW,15.0,5.0,10.0,FIRST CALL,40-44,WHITE,MALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,ECON/JOBS,HONEST,1.063
NATIONAL GREY,15.0,5.0,11.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,,MCINTOSH,,,,,,,,,,,ELSE,NOHS,,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,18-29,18-24,IND/OTHER,18-24,,,,1.2710000000000001
NATIONAL GREY,15.0,5.0,12.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,,OBANNON,,,,,,,,,,,INDEPEND,NOHS,,15-30K,LIBERAL,18-64,NATIONAL,COMPLETE,SOUTH,18-29,25-29,IND/OTHER,25-29,,,,1.361
NATIONAL GREY,15.0,5.0,13.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,,OBANNON,,,,,,,,,,,INDEPEND,HSGRAD,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,,,,1.141
NATIONAL GREY,15.0,5.0,14.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,,MCINTOSH,,,,,,,,,,,ELSE,NOHS,,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,18-29,18-24,IND/OTHER,18-24,,,,1.2710000000000001
NATIONAL PINK,15.0,5.0,15.0,FIRST CALL,40-44,WHITE,MALE,BUSH,,OBANNON,,,,,,,NO,,,,DEMOCRAT,,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.17
NATIONAL PINK,15.0,5.0,16.0,FIRST CALL,75+,WHITE,MALE,BUSH,,MCINTOSH,,,,,,,NO,,,,INDEPEND,,NONE,30-50K,CONSERV,65+,NATIONAL,COMPLETE,SOUTH,60+,60+,IND/OTHER,65+,NONE,,,1.588
NATIONAL PINK,15.0,5.0,17.0,FIRST CALL,30-39,WHITE,MALE,BUSH,,MCINTOSH,,,,,,,NO,,,,INDEPEND,,PROTESTANT,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.063
NATIONAL PINK,15.0,5.0,18.0,FIRST CALL,75+,WHITE,MALE,BUSH,,MCINTOSH,,,,,,,NO,,,,REPUBLCN,,PROTESTANT,50-75K,MODERATE,65+,NATIONAL,COMPLETE,SOUTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.588
NATIONAL WHITE,15.0,5.0,19.0,SECOND CALL,45-49,WHITE,MALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,WORLDAFFAIRS,,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,NOHS,PROTESTANT,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.063
NATIONAL WHITE,15.0,5.0,20.0,SECOND CALL,50-59,WHITE,MALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,,YES,PEROT,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.063
NATIONAL WHITE,15.0,5.0,21.0,SECOND CALL,65-74,WHITE,MALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,,YES,DOLE,SAME,DIS/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,LIBERAL,65+,NATIONAL,COMPLETE,SOUTH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.588
NATIONAL YELLOW,15.0,5.0,22.0,SECOND CALL,45-49,BLACK,MALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,MORE,TAXES,,YES,NOVOTE,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,TAXES,HONEST,0.74
NATIONAL YELLOW,15.0,5.0,23.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,,OBANNON,DISAPPR,UNFAVORABLE,GORE,LESS,WORLDAFFAIRS,,NO,OTHER,WORSE,DIS/UNFAV,ELSE,COLGRAD,CATHOLIC,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,IND/OTHER,40-49,CATHOLIC,WORLDAFFAIRS,STRONGLEADER,1.141
NATIONAL YELLOW,15.0,5.0,24.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,EDUCATION,,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,EDUCATION,GOODJUDGMENT,1.067
NATIONAL GREY,15.0,5.0,25.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,,MCINTOSH,,,,,,,,,,,DEMOCRAT,COLGRAD,,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,SOUTH,18-29,25-29,DEMOCRAT,25-29,,,,1.2710000000000001
NATIONAL GREY,15.0,5.0,26.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,,OBANNON,,,,,,,,,,,INDEPEND,HSGRAD,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,IND/OTHER,40-49,,,,1.141
NATIONAL GREY,15.0,5.0,27.0,SECOND CALL,45-49,WHITE,MALE,GORE,,OBANNON,,,,,,,,,,,DEMOCRAT,HSGRAD,,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,45-59,40-49,DEMOCRAT,40-49,,,,1.1360000000000001
NATIONAL PINK,15.0,5.0,28.0,SECOND CALL,50-59,WHITE,MALE,GORE,,OBANNON,,,,,,,NO,,,,DEMOCRAT,,PROTESTANT,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.1360000000000001
NATIONAL PINK,15.0,5.0,29.0,SECOND CALL,30-39,WHITE,MALE,GORE,,OBANNON,,,,,,,NO,,,,INDEPEND,,ELSE,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,IND/OTHER,30-39,OTHER,,,1.1360000000000001
NATIONAL PINK,15.0,5.0,30.0,SECOND CALL,45-49,WHITE,MALE,BUSH,,MCINTOSH,,,,,,,YES,,,,INDEPEND,,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,1.063
NATIONAL WHITE,15.0,5.0,31.0,THIRD CALL,25-29,WHITE,MALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,,YES,CLINTON,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,1.264
NATIONAL WHITE,15.0,5.0,32.0,THIRD CALL,40-44,WHITE,MALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,,NO,CLINTON,WORSE,DIS/UNFAV,INDEPEND,COLGRAD,ELSE,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,IND/OTHER,40-49,OTHER,,,1.063
NATIONAL WHITE,15.0,5.0,33.0,THIRD CALL,45-49,WHITE,MALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,,YES,CLINTON,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.063
NATIONAL YELLOW,15.0,5.0,34.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,,OBANNON,APPROVE,FAVORABLE,GORE,LESS,EDUCATION,,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,EDUCATION,COMPLEXISSUE,1.141
NATIONAL YELLOW,15.0,5.0,35.0,THIRD CALL,50-59,WHITE,MALE,BUSH,,MCINTOSH,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,,YES,DOLE,SAME,DIS/UNFAV,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ECON/JOBS,STRONGLEADER,1.063
NATIONAL GREY,15.0,5.0,36.0,THIRD CALL,50-59,WHITE,MALE,GORE,,OBANNON,,,,,,,,,,,DEMOCRAT,HSGRAD,,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,,,,1.1360000000000001
NATIONAL GREY,15.0,5.0,37.0,THIRD CALL,30-39,WHITE,MALE,BUSH,,MCINTOSH,,,,,,,,,,,REPUBLCN,POSTGRAD,,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,,,,1.063
NATIONAL GREY,15.0,5.0,38.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,,MCINTOSH,,,,,,,,,,,DEMOCRAT,COLGRAD,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,DEMOCRAT,40-49,,,,1.067
NATIONAL PINK,15.0,5.0,39.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,,MCINTOSH,,,,,,,YES,,,,REPUBLCN,,PROTESTANT,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.067
NATIONAL PINK,15.0,5.0,40.0,THIRD CALL,18-24,WHITE,FEMALE,BUSH,,MCINTOSH,,,,,,,YES,,,,REPUBLCN,,PROTESTANT,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,1.2710000000000001
