VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,WARWEST,INCOME,REL7,PHIL3,OVER65,RELG6,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,13.0,1.0,1.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,HELPSTATE,30-50K,CATHOLIC,LIBERAL,18-64,CATHOLIC,STATE,ADACOUNTY,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.264
STATE ONLY,13.0,1.0,2.0,FIRST CALL,65-74,WHITE,,BUSH,OMITS,FAVORABLE,BUSH,CLINTON,OMITS,OMITS,REPUBLCN,HELPSTATE,15-30K,MORMON/LDS,,65+,MORMON/LDS,STATE,ADACOUNTY,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.8270000000000001
STATE ONLY,13.0,1.0,3.0,FIRST CALL,50-59,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HURTSTATE,75-100K,PROTESTANT,LIBERAL,18-64,PROT/CHRIST,STATE,ADACOUNTY,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.244
STATE ONLY,13.0,1.0,4.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NOVOTE,BETTER,APP/FAV,ELSE,OMITS,LESS15K,CATHOLIC,LIBERAL,18-64,CATHOLIC,STATE,ADACOUNTY,18-29,18-24,IND/OTHER,18-24,CATHOLIC,,,0.23
STATE ONLY,13.0,1.0,5.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,CLINTON,BETTER,DIS/UNFAV,INDEPEND,HURTSTATE,15-30K,NONE,CONSERV,18-64,NONE,STATE,ADACOUNTY,30-44,30-39,IND/OTHER,30-39,NONE,,,0.598
STATE ONLY,13.0,1.0,6.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,OMITS,BETTER,DIS/UNFAV,REPUBLCN,HURTSTATE,15-30K,OTHERCHRIST,CONSERV,18-64,PROT/CHRIST,STATE,ADACOUNTY,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.523
STATE ONLY,13.0,1.0,7.0,FIRST CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,INDEPEND,HURTSTATE,OVER100K,CATHOLIC,MODERATE,18-64,CATHOLIC,STATE,ADACOUNTY,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.553
STATE ONLY,13.0,1.0,8.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HELPSTATE,15-30K,NONE,LIBERAL,18-64,NONE,STATE,ADACOUNTY,60+,60+,DEMOCRAT,50-64,NONE,,,0.394
STATE ONLY,13.0,1.0,9.0,FIRST CALL,25-29,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,WOULDNOTVOTE,NOVOTE,BETTER,APP/UNFAV,REPUBLCN,HURTSTATE,30-50K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,STATE,ADACOUNTY,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.482
STATE ONLY,13.0,1.0,10.0,FIRST CALL,75+,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,INDEPEND,HELPSTATE,,PROTESTANT,MODERATE,65+,PROT/CHRIST,STATE,ADACOUNTY,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.394
