VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,FORESTS,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,SPANISH,QRACE,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,32.0,3.0,1.0,FIRST CALL,1092.0,60-64,HISP,MALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,GORE,LESS,TAXES,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,50-75K,LIBERAL,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,60+,60+,DEMOCRAT,50-64,YES,HISP,CATHOLIC,,,1.092
STATE ONLY,32.0,3.0,2.0,FIRST CALL,815.0,45-49,,MALE,BUSH,REDMOND,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,DOLE,WORSE,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,ALBUQUERQUE,45-59,40-49,IND/OTHER,40-49,,,PROT/CHRIST,,,0.8150000000000001
STATE ONLY,32.0,3.0,3.0,FIRST CALL,860.0,25-29,WHITE,FEMALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,LESS,TAXES,CLINTON,SAME,APP/UNFAV,INDEPEND,COLGRAD,CATHOLIC,30-50K,LIBERAL,18-64,HURTSTATE,STATE,COMPLETE,ALBUQUERQUE,18-29,25-29,IND/OTHER,25-29,NO,WHITE,CATHOLIC,,,0.86
STATE ONLY,32.0,3.0,4.0,FIRST CALL,658.0,30-39,HISP,FEMALE,BUSH,REDMOND,LASTWEEK,OMITS,OMITS,OMITS,LESS,ECON/JOBS,OMITS,OMITS,,,,,,,18-64,OMITS,STATE,NOTCOMPLETE,ALBUQUERQUE,30-44,30-39,,30-39,,HISP,,,,0.658
STATE ONLY,32.0,3.0,5.0,FIRST CALL,858.0,30-39,WHITE,FEMALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,GORE,OMITS,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,,,0.858
STATE ONLY,32.0,3.0,6.0,FIRST CALL,757.0,45-49,HISP,FEMALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,LESS,OMITS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,30-50K,MODERATE,18-64,OMITS,STATE,COMPLETE,ALBUQUERQUE,45-59,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,,,0.757
STATE ONLY,32.0,3.0,7.0,FIRST CALL,1136.0,65-74,WHITE,FEMALE,GORE,BINGAMAN,BEFORE,APPROVE,FAVORABLE,GORE,MORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,PROTESTANT,,CONSERV,65+,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,,,1.1360000000000001
STATE ONLY,32.0,3.0,8.0,FIRST CALL,938.0,50-59,WHITE,MALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,GORE,MORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,NONE,OVER100K,LIBERAL,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,NONE,,,0.9380000000000001
STATE ONLY,32.0,3.0,9.0,FIRST CALL,858.0,40-44,WHITE,FEMALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,GORE,OMITS,WORLDAFFAIRS,CLINTON,SAME,APP/FAV,DEMOCRAT,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,NOTAFFECT,STATE,COMPLETE,ALBUQUERQUE,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,PROT/CHRIST,,,0.858
STATE ONLY,32.0,3.0,10.0,FIRST CALL,757.0,40-44,HISP,FEMALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,FAVORABLE,GORE,MORE,HEALTHCARE,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,30-50K,MODERATE,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,30-44,40-49,DEMOCRAT,40-49,YES,HISP,PROT/CHRIST,,,0.757
STATE ONLY,32.0,3.0,11.0,FIRST CALL,858.0,50-59,WHITE,FEMALE,GORE,BINGAMAN,LAST.MONTH,APPROVE,UNFAVORABLE,GORE,LESS,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,75-100K,LIBERAL,18-64,HELPSTATE,STATE,COMPLETE,ALBUQUERQUE,45-59,50-59,IND/OTHER,50-64,NO,WHITE,CATHOLIC,,,0.858
STATE ONLY,32.0,3.0,12.0,FIRST CALL,860.0,25-29,WHITE,FEMALE,GORE,BINGAMAN,OMITS,APPROVE,FAVORABLE,GORE,OMITS,EDUCATION,CLINTON,SAME,APP/FAV,DEMOCRAT,POSTGRAD,NONE,,LIBERAL,18-64,OMITS,STATE,COMPLETE,ALBUQUERQUE,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,NONE,,,0.86
