VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,HOU,XWAY2000,PROPHEMP,PROPTAX,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,WEIGHT
STATE ONLY,2.0,2.0,1.0,FIRST CALL,75+,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GREENE,GORE,NO,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,,LIBERAL,65+,STATE,JUNEAU/RURAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,1.303
STATE ONLY,2.0,2.0,2.0,FIRST CALL,18-24,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,JUNEAU/RURAL,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.9380000000000001
STATE ONLY,2.0,2.0,3.0,FIRST CALL,60-64,WHITE,MALE,NADER,DISAPPR,UNFAVORABLE,OTHER,BUSH,NO,YES,OTHER,SAME,DIS/UNFAV,INDEPEND,NONE,,,18-64,STATE,JUNEAU/RURAL,60+,60+,IND/OTHER,50-64,NONE,1.308
STATE ONLY,2.0,2.0,4.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GREENE,GORE,YES,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OTHERCHRIST,OVER100K,LIBERAL,18-64,STATE,JUNEAU/RURAL,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,0.8190000000000001
STATE ONLY,2.0,2.0,5.0,FIRST CALL,30-39,WHITE,MALE,GORE,OMITS,OMITS,GREENE,OMITS,YES,YES,OMITS,BETTER,,,,,,18-64,STATE,JUNEAU/RURAL,30-44,30-39,,30-39,,1.056
STATE ONLY,2.0,2.0,6.0,FIRST CALL,75+,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,,GORE,NO,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,OTHERCHRIST,30-50K,LIBERAL,65+,STATE,JUNEAU/RURAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,0.964
STATE ONLY,2.0,2.0,7.0,FIRST CALL,45-49,WHITE,FEMALE,,APPROVE,FAVORABLE,OTHER,BUSH,NO,YES,CLINTON,SAME,APP/FAV,INDEPEND,PROTESTANT,75-100K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,1.7630000000000001
STATE ONLY,2.0,2.0,8.0,FIRST CALL,30-39,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,YOUNG,BUSH,NO,NO,PEROT,SAME,APP/UNFAV,INDEPEND,ELSE,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,30-39,IND/OTHER,30-39,OTHER,0.86
STATE ONLY,2.0,2.0,9.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,OMITS,OMITS,YOUNG,BUSH,NO,NO,DOLE,SAME,OMITS,INDEPEND,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,JUNEAU/RURAL,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,0.8
STATE ONLY,2.0,2.0,10.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GREENE,GORE,YES,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,ELSE,15-30K,MODERATE,18-64,STATE,JUNEAU/RURAL,45-59,50-59,DEMOCRAT,50-64,OTHER,0.8190000000000001
STATE ONLY,2.0,2.0,11.0,FIRST CALL,45-49,WHITE,MALE,GORE,APPROVE,FAVORABLE,OTHER,GORE,YES,NO,CLINTON,BETTER,APP/FAV,INDEPEND,NONE,75-100K,LIBERAL,18-64,STATE,JUNEAU/RURAL,45-59,40-49,IND/OTHER,40-49,NONE,1.25
STATE ONLY,2.0,2.0,12.0,FIRST CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,YOUNG,BUSH,NO,NO,PEROT,SAME,DIS/UNFAV,INDEPEND,PROTESTANT,30-50K,MODERATE,65+,STATE,JUNEAU/RURAL,60+,60+,IND/OTHER,65+,PROT/CHRIST,1.241
STATE ONLY,2.0,2.0,13.0,FIRST CALL,40-44,WHITE,FEMALE,NADER,APPROVE,FAVORABLE,GREENE,WOULDNOTVOTE,YES,NO,PEROT,BETTER,APP/FAV,ELSE,ELSE,75-100K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,40-49,IND/OTHER,40-49,OTHER,0.453
STATE ONLY,2.0,2.0,14.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,YOUNG,GORE,NO,NO,DOLE,BETTER,APP/FAV,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,STATE,JUNEAU/RURAL,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,0.549
