VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,DROPOUT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
NATIONAL WHITE,7.0,2.0,1.0,FIRST CALL,40-44,WHITE,MALE,BUSH,GIORDANO,APPROVE,UNFAVORABLE,BUSH,LESS,ECON/JOBS,,DOLE,SAME,APP/UNFAV,REPUBLCN,POSTGRAD,JEWISH,OVER100K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,40-49,REPUBLICAN,40-49,JEWISH,,,1.293
NATIONAL WHITE,7.0,2.0,2.0,FIRST CALL,75+,WHITE,FEMALE,GORE,LIEBERMAN,OMITS,OMITS,OMITS,MORE,OMITS,,OMITS,OMITS,,,,,,,65+,NATIONAL,NOTCOMPLETE,LARGECITY,60+,60+,,65+,,,,1.199
NATIONAL WHITE,7.0,2.0,3.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,LIEBERMAN,APPROVE,FAVORABLE,GORE,LESS,ECON/JOBS,,CLINTON,BETTER,APP/FAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.8160000000000001
NATIONAL YELLOW,7.0,2.0,4.0,FIRST CALL,50-59,WHITE,MALE,GORE,LIEBERMAN,APPROVE,UNFAVORABLE,GORE,MORE,MEDICARE/RX,,CLINTON,BETTER,APP/UNFAV,INDEPEND,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,MEDICARE/RX,EXPERIENCE,0.997
NATIONAL YELLOW,7.0,2.0,5.0,FIRST CALL,30-39,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,,NOVOTE,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,30-39,IND/OTHER,30-39,CATHOLIC,OMITS,HONEST,1.451
NATIONAL YELLOW,7.0,2.0,6.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,GIORDANO,APPROVE,UNFAVORABLE,BUSH,LESS,OMITS,,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,OMITS,CARES,1.059
NATIONAL GREY,7.0,2.0,7.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,LIEBERMAN,,,,,,,,,,DEMOCRAT,COLGRAD,,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,40-49,DEMOCRAT,40-49,,,,0.8160000000000001
NATIONAL GREY,7.0,2.0,8.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,LIEBERMAN,,,,,,,,,,DEMOCRAT,SOMCOL/ASSOC,,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,18-29,18-24,DEMOCRAT,18-24,,,,0.721
NATIONAL GREY,7.0,2.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,GIORDANO,,,,,,,,,,REPUBLCN,HSGRAD,,50-75K,MODERATE,65+,NATIONAL,COMPLETE,LARGECITY,60+,60+,REPUBLICAN,65+,,,,1.556
NATIONAL PINK,7.0,2.0,10.0,FIRST CALL,40-44,WHITE,MALE,BUSH,GIORDANO,,,,,,,,,,REPUBLCN,,PROTESTANT,75-100K,CONSERV,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.293
NATIONAL PINK,7.0,2.0,11.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,LIEBERMAN,,,,,,,,,,DEMOCRAT,,,30-50K,LIBERAL,18-64,NATIONAL,COMPLETE,LARGECITY,30-44,30-39,DEMOCRAT,30-39,,,,0.718
NATIONAL PINK,7.0,2.0,12.0,FIRST CALL,25-29,BLACK,FEMALE,GORE,LIEBERMAN,,,,,,,,,,DEMOCRAT,,OTHERCHRIST,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,LARGECITY,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.635
NATIONAL WHITE,7.0,2.0,13.0,SECOND CALL,50-59,WHITE,MALE,BUSH,LIEBERMAN,APPROVE,FAVORABLE,BUSH,LESS,HEALTHCARE,,OTHER,SAME,APP/FAV,INDEPEND,NOHS,CATHOLIC,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,LARGECITY,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.514
NATIONAL WHITE,7.0,2.0,14.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,LIEBERMAN,APPROVE,OMITS,BUSH,MORE,SOCIALSECUR,,CLINTON,BETTER,OMITS,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,LARGECITY,60+,60+,DEMOCRAT,50-64,CATHOLIC,,,1.819
