VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,RIDGEVP,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
NATIONAL WHITE,39.0,2.0,1.0,FIRST CALL,1810.0,75+,WHITE,MALE,GORE,KLINK,,OMITS,OMITS,OMITS,MORE,CITYOVER50K,SOCIALSECUR,COMPLEXISSUE,OMITS,NONE,,OMITS,,YES,,50-500K,,,OMITS,,,,,65+,,,NATIONAL,NOTCOMPLETE,PITTBURGH,60+,60+,,65+,,,,OMITS,,,1.81
NATIONAL WHITE,39.0,2.0,2.0,FIRST CALL,1810.0,75+,WHITE,MALE,GORE,KLINK,,APPROVE,OMITS,GORE,MORE,CITYOVER50K,TAXES,COMPLEXISSUE,CLINTON,NONE,,BETTER,OMITS,NO,DEMOCRAT,50-500K,POSTGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,NO,LIBERAL,65+,,,NATIONAL,COMPLETE,PITTBURGH,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,ISSUES,,,1.81
NATIONAL YELLOW,39.0,2.0,3.0,FIRST CALL,1120.0,50-59,WHITE,FEMALE,GORE,KLINK,,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,CLINTON,ME,,BETTER,APP/UNFAV,YES,DEMOCRAT,50-500K,POSTGRAD,JEWISH,AFEWAYEAR,OVER100K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,PITTBURGH,45-59,50-59,DEMOCRAT,50-64,JEWISH,,,ISSUES,ECON/JOBS,COMPLEXISSUE,1.12
NATIONAL YELLOW,39.0,2.0,4.0,FIRST CALL,1120.0,50-59,WHITE,FEMALE,GORE,KLINK,,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,ECON/JOBS,COMPLEXISSUE,CLINTON,NONE,,BETTER,APP/UNFAV,YES,DEMOCRAT,50-500K,POSTGRAD,JEWISH,NEVER,OVER100K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,45-59,50-59,DEMOCRAT,50-64,JEWISH,,,ISSUES,ECON/JOBS,COMPLEXISSUE,1.12
NATIONAL GREY,39.0,2.0,5.0,FIRST CALL,1810.0,60-64,WHITE,MALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,OMITS,,,,,50-500K,,,,,,,,18-64,OMITS,,NATIONAL,NOTCOMPLETE,PITTBURGH,60+,60+,,50-64,,OMITS,OMITS,,,,1.81
NATIONAL GREY,39.0,2.0,6.0,FIRST CALL,1120.0,40-44,WHITE,FEMALE,GORE,KLINK,BEFORE,,,,,CITYOVER50K,,,,,NEITHERDID,,,,DEMOCRAT,50-500K,POSTGRAD,,,OVER100K,,,LIBERAL,18-64,SOCIALSECURI,,NATIONAL,COMPLETE,PITTBURGH,30-44,40-49,DEMOCRAT,40-49,,ONLYGORE,ONLYBUSH,,,,1.12
NATIONAL PINK,39.0,2.0,7.0,FIRST CALL,1176.0,50-59,WHITE,MALE,GORE,KLINK,,,,,,CITYOVER50K,,,,NONE,,,,YES,DEMOCRAT,50-500K,,CATHOLIC,,OVER100K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,PITTBURGH,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,,,,1.176
NATIONAL PINK,39.0,2.0,8.0,FIRST CALL,1120.0,45-49,WHITE,FEMALE,GORE,KLINK,,,,,,CITYOVER50K,,,,NONE,,,,YES,DEMOCRAT,50-500K,,PROTESTANT,,OVER100K,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,PITTBURGH,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,,,,1.12
NATIONAL WHITE,39.0,2.0,9.0,SECOND CALL,1245.0,25-29,WHITE,FEMALE,GORE,KLINK,,OMITS,OMITS,OMITS,MORE,CITYOVER50K,OMITS,COMPLEXISSUE,OMITS,NONE,,OMITS,,NO,,50-500K,,,OMITS,,,,,18-64,,,NATIONAL,NOTCOMPLETE,PITTBURGH,18-29,25-29,,25-29,,,,OMITS,,,1.245
NATIONAL WHITE,39.0,2.0,10.0,SECOND CALL,1097.0,25-29,WHITE,MALE,BUSH,SANTORUM,,OMITS,UNFAVORABLE,OMITS,LESS,CITYOVER50K,SOCIALSECUR,OMITS,DOLE,NONE,,OMITS,OMITS,NO,REPUBLCN,50-500K,POSTGRAD,CATHOLIC,AFEWAYEAR,,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,ISSUES,,,1.097
NATIONAL WHITE,39.0,2.0,11.0,SECOND CALL,1176.0,30-39,WHITE,MALE,GORE,KLINK,,APPROVE,UNFAVORABLE,GORE,MORE,CITYOVER50K,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,NONE,,BETTER,APP/UNFAV,NO,INDEPEND,50-500K,POSTGRAD,NONE,NEVER,30-50K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,PITTBURGH,30-44,30-39,IND/OTHER,30-39,NONE,,,ISSUES,,,1.176
