VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,RACPRO,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,CORZMONY,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,LATINO,QRACE,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,31.0,4.0,1.0,FIRST CALL,1860.0,75+,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,SOCIALSECUR,CARES,DOLE,NONE,SAME,DIS/UNFAV,NO,SOMEWHTSERI,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,15-30K,NO,NO,MODERATE,65+,SOCIALSECURI,VERYCONC,STATE,COMPLETE,BERGEN,60+,60+,REPUBLICAN,65+,NO,WHITE,CATHOLIC,NEITHER,BOTH,ISSUES,,,1.86
STATE ONLY,31.0,4.0,2.0,FIRST CALL,1980.0,75+,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,NONE,SAME,DIS/UNFAV,NO,SOMEWHTSERI,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,CONSERV,65+,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,1.98
STATE ONLY,31.0,4.0,3.0,FIRST CALL,1953.0,40-44,WHITE,MALE,GORE,CORZINE,APPROVE,UNFAVORABLE,BUSH,MORE,SUBURBS,ECON/JOBS,CARES,CLINTON,ME,BETTER,APP/UNFAV,YES,NOTTOOSERIO,INDEPEND,SUBURBS,NOHS,JEWISH,MORETHAN1AWK,OVER100K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,NOTTOOCONC,STATE,COMPLETE,BERGEN,30-44,40-49,IND/OTHER,40-49,NO,WHITE,JEWISH,ONLYGORE,BOTH,ISSUES,,,1.953
STATE ONLY,31.0,4.0,4.0,FIRST CALL,1350.0,18-24,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,ECON/JOBS,LIKEABLE,NOVOTE,NONE,BETTER,DIS/UNFAV,YES,SOMEWHTSERI,INDEPEND,SUBURBS,COLGRAD,CATHOLIC,AFEWAYEAR,OVER100K,NO,NO,MODERATE,18-64,SOCIALSECURI,NOTATALLCONC,STATE,COMPLETE,BERGEN,18-29,18-24,IND/OTHER,18-24,NO,WHITE,CATHOLIC,BOTH,BOTH,PERSONALQUAL,,,1.35
STATE ONLY,31.0,4.0,5.0,FIRST CALL,1836.0,50-59,WHITE,FEMALE,GORE,CORZINE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/UNFAV,YES,VERYSERIOUS,DEMOCRAT,SUBURBS,POSTGRAD,CATHOLIC,NEVER,OVER100K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,SOMEWHATCONC,STATE,COMPLETE,BERGEN,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,CATHOLIC,ONLYGORE,NEITHER,ISSUES,,,1.836
STATE ONLY,31.0,4.0,6.0,FIRST CALL,1860.0,65-74,WHITE,FEMALE,BUSH,FRANKS,APPROVE,UNFAVORABLE,BUSH,MORE,SUBURBS,MEDICARE/RX,EXPERIENCE,PEROT,NONE,BETTER,APP/UNFAV,YES,NOTTOOSERIO,INDEPEND,SUBURBS,HSGRAD,PROTESTANT,AFEWAYEAR,OVER100K,NO,NO,MODERATE,65+,SOCIALSECURI,VERYCONC,STATE,COMPLETE,BERGEN,60+,60+,IND/OTHER,65+,NO,WHITE,PROT/CHRIST,BOTH,ONLYGORE,ISSUES,,,1.86
STATE ONLY,31.0,4.0,7.0,FIRST CALL,1437.0,25-29,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,MORE,SUBURBS,SOCIALSECUR,STRONGLEADER,DOLE,ME,SAME,DIS/UNFAV,YES,NOTTOOSERIO,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,AFEWAMONTH,30-50K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,NOTTOOCONC,STATE,COMPLETE,BERGEN,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,CATHOLIC,ONLYBUSH,ONLYGORE,ISSUES,,,1.437
STATE ONLY,31.0,4.0,8.0,FIRST CALL,1272.0,30-39,WHITE,MALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,OMITS,SUBURBS,HEALTHCARE,HONEST,DOLE,NONE,BETTER,DIS/UNFAV,YES,SOMEWHTSERI,INDEPEND,SUBURBS,POSTGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,SOMEWHATCONC,STATE,COMPLETE,BERGEN,30-44,30-39,IND/OTHER,30-39,NO,WHITE,CATHOLIC,BOTH,ONLYGORE,PERSONALQUAL,,,1.272
STATE ONLY,31.0,4.0,9.0,FIRST CALL,1196.0,40-44,WHITE,FEMALE,BUSH,FRANKS,DISAPPR,UNFAVORABLE,BUSH,LESS,SUBURBS,ECON/JOBS,CARES,DOLE,NONE,BETTER,DIS/UNFAV,YES,NOTATALLSERI,REPUBLCN,SUBURBS,COLGRAD,CATHOLIC,AFEWAMONTH,OVER100K,YES,YES,MODERATE,18-64,REDUCNATDEBT,VERYCONC,STATE,COMPLETE,BERGEN,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,CATHOLIC,BOTH,BOTH,ISSUES,,,1.196
STATE ONLY,31.0,4.0,10.0,FIRST CALL,1836.0,40-44,WHITE,FEMALE,GORE,CORZINE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,OMITS,OMITS,CLINTON,NONE,BETTER,APP/UNFAV,YES,SOMEWHTSERI,DEMOCRAT,SUBURBS,POSTGRAD,ELSE,AFEWAMONTH,,YES,YES,LIBERAL,18-64,SOCIALSECURI,SOMEWHATCONC,STATE,COMPLETE,BERGEN,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,OTHER,ONLYGORE,BOTH,ISSUES,,,1.836
STATE ONLY,31.0,4.0,11.0,FIRST CALL,2855.0,65-74,WHITE,FEMALE,GORE,CORZINE,APPROVE,UNFAVORABLE,GORE,MORE,SUBURBS,HEALTHCARE,COMPLEXISSUE,CLINTON,NONE,BETTER,APP/UNFAV,NO,OMITS,DEMOCRAT,SUBURBS,POSTGRAD,PROTESTANT,AFEWAYEAR,30-50K,NO,NO,LIBERAL,65+,SOCIALSECURI,NOTTOOCONC,STATE,COMPLETE,BERGEN,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,ONLYGORE,OMITS,ISSUES,,,2.855
