VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,RYAN,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,DEATHPEN,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,TRACK,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
NATIONAL WHITE,14.0,1.0,1.0,FIRST CALL,65-74,BLACK,FEMALE,GORE,OMITS,OMITS,GORE,MORE,SMCITY/RURAL,SOCIALSECUR,CARES,CLINTON,,OMITS,OMITS,OMITS,NO,,,RURAL,,,OMITS,,,,,65+,,,NATIONAL,COMPLETE,SOUTH,60+,60+,,65+,,BLACK,,OMITS,,,OMITS,,,0.736
NATIONAL WHITE,14.0,1.0,2.0,FIRST CALL,60-64,,FEMALE,GORE,APPROVE,OMITS,GORE,OMITS,SMCITY/RURAL,OMITS,CARES,OMITS,NONE,MOSTLGL,BETTER,OMITS,NO,,DEMOCRAT,RURAL,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,15-30K,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,SOUTH,60+,60+,DEMOCRAT,50-64,,,PROT/CHRIST,RIGHTDIR,,,ISSUES,,,0.466
NATIONAL YELLOW,14.0,1.0,3.0,FIRST CALL,60-64,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,SOCIALSECUR,EXPERIENCE,CLINTON,ME,MOSTLGL,BETTER,APP/FAV,YES,,DEMOCRAT,RURAL,HSGRAD,PROTESTANT,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,SOUTH,60+,60+,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,RIGHTDIR,,,ISSUES,SOCIALSECUR,EXPERIENCE,0.454
NATIONAL YELLOW,14.0,1.0,4.0,FIRST CALL,40-44,HISP,MALE,BUSH,APPROVE,FAVORABLE,BUSH,MORE,SMCITY/RURAL,WORLDAFFAIRS,HONEST,DOLE,ME,ALWYSILL,SAME,APP/FAV,YES,,ELSE,RURAL,HSGRAD,ELSE,AFEWAYEAR,30-50K,NO,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,SOUTH,30-44,40-49,IND/OTHER,40-49,YES,BLACK,OTHER,WRONGTRACK,,,PERSONALQUAL,WORLDAFFAIRS,HONEST,0.423
NATIONAL GREY,14.0,1.0,5.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,,,,LESS,SMCITY/RURAL,,,,,,,,,,DEMOCRAT,RURAL,SOMCOL/ASSOC,,,15-30K,,,MODERATE,18-64,OTHRPROGRAMS,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,,,ONLYGORE,BOTH,,,,0.545
NATIONAL GREY,14.0,1.0,6.0,FIRST CALL,25-29,BLACK,FEMALE,GORE,,,,MORE,SMCITY/RURAL,,,,,,,,,,ELSE,RURAL,NOHS,,,,,,CONSERV,18-64,OTHRPROGRAMS,,NATIONAL,COMPLETE,SOUTH,18-29,25-29,IND/OTHER,25-29,,BLACK,,,ONLYGORE,ONLYGORE,,,,0.552
NATIONAL PINK,14.0,1.0,7.0,FIRST CALL,45-49,BLACK,MALE,GORE,,,,,SMCITY/RURAL,,,,ME,,,,YES,,INDEPEND,RURAL,,CATHOLIC,,75-100K,YES,NO,MODERATE,18-64,,,NATIONAL,COMPLETE,SOUTH,45-59,40-49,IND/OTHER,40-49,NO,BLACK,CATHOLIC,,,,,,,0.53
NATIONAL WHITE,14.0,1.0,8.0,SECOND CALL,25-29,BLACK,MALE,GORE,APPROVE,FAVORABLE,OMITS,MORE,SMCITY/RURAL,EDUCATION,CARES,CLINTON,SOMEONEELSE,MOSTLGL,SAME,APP/FAV,YES,,DEMOCRAT,RURAL,,OTHERCHRIST,MORETHAN1AWK,,YES,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,SOUTH,18-29,25-29,DEMOCRAT,25-29,,BLACK,PROT/CHRIST,OMITS,,,OMITS,,,0.537
NATIONAL WHITE,14.0,1.0,9.0,SECOND CALL,18-24,HISP,MALE,GORE,APPROVE,FAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,HONEST,CLINTON,SOMEONEELSE,ALWYSLGL,BETTER,APP/FAV,YES,,DEMOCRAT,RURAL,SOMCOL/ASSOC,NONE,ONCEAWEEK,15-30K,NO,NO,LIBERAL,18-64,,,NATIONAL,COMPLETE,SOUTH,18-29,18-24,DEMOCRAT,18-24,YES,BLACK,NONE,RIGHTDIR,,,PERSONALQUAL,,,0.537
NATIONAL WHITE,14.0,1.0,10.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,HONEST,CLINTON,NONE,ALWYSILL,WORSE,APP/FAV,NO,,DEMOCRAT,RURAL,NOHS,OTHERCHRIST,AFEWAYEAR,LESS15K,NO,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,NO,BLACK,PROT/CHRIST,WRONGTRACK,,,ISSUES,,,0.545
NATIONAL YELLOW,14.0,1.0,11.0,SECOND CALL,18-24,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,EDUCATION,STRONGLEADER,CLINTON,ME,ALWYSILL,SAME,APP/UNFAV,YES,,REPUBLCN,RURAL,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,15-30K,YES,YES,MODERATE,18-64,,,NATIONAL,COMPLETE,SOUTH,18-29,18-24,REPUBLICAN,18-24,NO,WHITE,PROT/CHRIST,WRONGTRACK,,,ISSUES,EDUCATION,STRONGLEADER,0.271
NATIONAL YELLOW,14.0,1.0,12.0,SECOND CALL,40-44,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,EDUCATION,EXPERIENCE,CLINTON,ME,MOSTLGL,SAME,APP/FAV,YES,,REPUBLCN,RURAL,COLGRAD,CATHOLIC,ONCEAWEEK,,YES,YES,LIBERAL,18-64,,,NATIONAL,COMPLETE,SOUTH,30-44,40-49,REPUBLICAN,40-49,NO,BLACK,CATHOLIC,RIGHTDIR,,,PERSONALQUAL,EDUCATION,EXPERIENCE,0.53
