VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPMI,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,MCSUPP,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,GUN,WEIGHT
STATE ONLY,23.0,1.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,NO,PEROT,SOMEONEELSE,GOREDID,SAME,DIS/UNFAV,NO,REPUBLCN,RURAL,HSGRAD,ELSE,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,45-59,50-59,REPUBLICAN,50-64,OTHER,YES,ONLYBUSH,BOTH,ISSUES,,,OPPOSE,0.625
STATE ONLY,23.0,1.0,2.0,SECOND CALL,65-74,,MALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,TAXES,HONEST,NO,DOLE,NONE,NEITHERDID,WORSE,DIS/UNFAV,YES,REPUBLCN,RURAL,POSTGRAD,PROTESTANT,NEVER,50-75K,YES,YES,CONSERV,65+,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,NO,ONLYBUSH,NEITHER,ISSUES,,,OPPOSE,1.5190000000000001
STATE ONLY,23.0,1.0,3.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,STABENOW,APPROVE,FAVORABLE,GORE,YES,MORE,SMCITY/RURAL,SOCIALSECUR,COMPLEXISSUE,NO,CLINTON,SOMEONEELSE,BUSHDID,BETTER,APP/FAV,YES,INDEPEND,RURAL,HSGRAD,ELSE,NEVER,15-30K,NO,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,30-44,30-39,IND/OTHER,30-39,OTHER,YES,ONLYGORE,BOTH,ISSUES,,,SUPPORT,0.594
STATE ONLY,23.0,1.0,4.0,SECOND CALL,50-59,WHITE,MALE,GORE,STABENOW,APPROVE,OMITS,GORE,NO,LESS,SMCITY/RURAL,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,NONE,OMITS,SAME,OMITS,YES,DEMOCRAT,RURAL,COLGRAD,NONE,NEVER,,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHWEST,45-59,50-59,DEMOCRAT,50-64,NONE,NO,OMITS,NEITHER,PERSONALQUAL,,,OPPOSE,0.976
STATE ONLY,23.0,1.0,5.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,STABENOW,APPROVE,FAVORABLE,GORE,NO,MORE,SMCITY/RURAL,HEALTHCARE,OMITS,NO,CLINTON,SOMEONEELSE,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,RURAL,SOMCOL/ASSOC,NONE,NEVER,50-75K,YES,NO,LIBERAL,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,30-44,30-39,DEMOCRAT,30-39,NONE,NO,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,OPPOSE,0.93
STATE ONLY,23.0,1.0,6.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,HEALTHCARE,EXPERIENCE,YES,DOLE,NONE,GOREDID,SAME,DIS/UNFAV,NO,REPUBLCN,RURAL,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,NO,ONLYBUSH,ONLYGORE,ISSUES,,,SUPPORT,0.625
STATE ONLY,23.0,1.0,7.0,SECOND CALL,30-39,WHITE,MALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,TAXES,HONEST,YES,DOLE,NONE,NEITHERDID,WORSE,DIS/UNFAV,YES,INDEPEND,RURAL,POSTGRAD,OTHERCHRIST,ONCEAWEEK,15-30K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHWEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,NO,BOTH,ONLYGORE,PERSONALQUAL,,,OPPOSE,0.656
STATE ONLY,23.0,1.0,8.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,ABRAHAM,APPROVE,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,SOCIALSECUR,HONEST,NO,PEROT,NONE,BOTHDID,BETTER,APP/UNFAV,NO,REPUBLCN,RURAL,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,NO,BOTH,BOTH,PERSONALQUAL,,,OMITS,0.978
STATE ONLY,23.0,1.0,9.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,ABRAHAM,APPROVE,UNFAVORABLE,GORE,YES,MORE,SMCITY/RURAL,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,NONE,BOTHDID,BETTER,APP/UNFAV,NO,INDEPEND,RURAL,HSGRAD,PROTESTANT,NEVER,15-30K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHWEST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,NO,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,SUPPORT,0.614
STATE ONLY,23.0,1.0,10.0,SECOND CALL,50-59,WHITE,MALE,BUSH,ABRAHAM,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,OMITS,OMITS,NO,DOLE,NONE,BOTHDID,BETTER,DIS/UNFAV,NO,INDEPEND,RURAL,SOMCOL/ASSOC,NONE,NEVER,50-75K,YES,YES,CONSERV,18-64,OMITS,STATE,COMPLETE,SOUTHWEST,45-59,50-59,IND/OTHER,50-64,NONE,YES,BOTH,OMITS,PERSONALQUAL,,,OPPOSE,0.656
