VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,BUSHWIN,PRESKNOW,SAYANY,ISSVQUAL,GOREWIN,VNS1,VNS2,WEIGHT
STATE ONLY,18.0,3.0,1.0,FIRST CALL,1410.0,40-44,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,OMITS,YES,DOLE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,OVER100K,YES,YES,CONSERV,18-64,OMITS,STATE,COMPLETE,SOUTHCENTRAL,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,EXCITED,ONLYBUSH,ONLYGORE,PERSONALQUAL,SCARED,,,1.41
STATE ONLY,18.0,3.0,2.0,FIRST CALL,1751.0,60-64,WHITE,MALE,BUSH,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,MEDICARE/RX,HONEST,YES,CLINTON,OMITS,SAME,APP/UNFAV,NO,DEMOCRAT,RURAL,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,50-75K,YES,NO,CONSERV,18-64,OTHRPROGRAMS,STATE,COMPLETE,SOUTHCENTRAL,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,OPTIMIST,ONLYGORE,BOTH,ISSUES,CONCERND,,,1.7510000000000001
STATE ONLY,18.0,3.0,3.0,FIRST CALL,1406.0,45-49,WHITE,FEMALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,LESS,SMCITY/RURAL,EDUCATION,HONEST,YES,CLINTON,BOTHDID,BETTER,APP/UNFAV,YES,DEMOCRAT,RURAL,POSTGRAD,PROTESTANT,MORETHAN1AWK,75-100K,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCENTRAL,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,SCARED,BOTH,NEITHER,ISSUES,EXCITED,,,1.4060000000000001
STATE ONLY,18.0,3.0,4.0,FIRST CALL,1751.0,75+,WHITE,MALE,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,HEALTHCARE,CARES,YES,CLINTON,GOREDID,SAME,DIS/UNFAV,NO,DEMOCRAT,RURAL,HSGRAD,PROTESTANT,ONCEAWEEK,30-50K,YES,NO,MODERATE,65+,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCENTRAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,OPTIMIST,BOTH,ONLYGORE,PERSONALQUAL,CONCERND,,,1.7510000000000001
STATE ONLY,18.0,3.0,5.0,FIRST CALL,1310.0,40-44,WHITE,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,ECON/JOBS,CARES,NO,CLINTON,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,RURAL,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHCENTRAL,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,SCARED,ONLYGORE,BOTH,ISSUES,OPTIMIST,,,1.31
STATE ONLY,18.0,3.0,6.0,FIRST CALL,1312.0,30-39,WHITE,MALE,BUSH,BEFORE,OMITS,OMITS,OMITS,LESS,SMCITY/RURAL,TAXES,COMPLEXISSUE,NO,DOLE,NEITHERDID,SAME,OMITS,YES,REPUBLCN,RURAL,HSGRAD,,OMITS,,YES,YES,,18-64,OMITS,STATE,COMPLETE,SOUTHCENTRAL,30-44,30-39,REPUBLICAN,30-39,,EXCITED,ONLYBUSH,ONLYGORE,PERSONALQUAL,SCARED,,,1.312
STATE ONLY,18.0,3.0,7.0,FIRST CALL,1312.0,45-49,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,GOODJUDGMENT,YES,DOLE,NEITHERDID,SAME,DIS/UNFAV,YES,REPUBLCN,RURAL,HSGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCENTRAL,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,OPTIMIST,BOTH,BOTH,ISSUES,CONCERND,,,1.312
STATE ONLY,18.0,3.0,8.0,FIRST CALL,1310.0,45-49,WHITE,MALE,GORE,BEFORE,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,WORLDAFFAIRS,HONEST,NO,DOLE,BOTHDID,SAME,APP/UNFAV,YES,REPUBLCN,RURAL,HSGRAD,PROTESTANT,AFEWAYEAR,50-75K,NO,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCENTRAL,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,CONCERND,BOTH,BOTH,ISSUES,OPTIMIST,,,1.31
STATE ONLY,18.0,3.0,9.0,FIRST CALL,1410.0,30-39,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,OMITS,YES,DOLE,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,RURAL,COLGRAD,PROTESTANT,AFEWAMONTH,75-100K,YES,YES,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,EXCITED,BOTH,ONLYGORE,PERSONALQUAL,SCARED,,,1.41
STATE ONLY,18.0,3.0,10.0,FIRST CALL,1410.0,30-39,WHITE,FEMALE,BUSH,LAST.3DAYS,APPROVE,FAVORABLE,BUSH,LESS,SMCITY/RURAL,EDUCATION,HONEST,NO,CLINTON,GOREDID,BETTER,APP/FAV,YES,INDEPEND,RURAL,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCENTRAL,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,OPTIMIST,BOTH,ONLYGORE,PERSONALQUAL,CONCERND,,,1.41
STATE ONLY,18.0,3.0,11.0,FIRST CALL,1312.0,30-39,WHITE,MALE,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,WORLDAFFAIRS,STRONGLEADER,YES,PEROT,NEITHERDID,BETTER,DIS/UNFAV,YES,DEMOCRAT,RURAL,SOMCOL/ASSOC,ELSE,ONCEAWEEK,75-100K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHCENTRAL,30-44,30-39,DEMOCRAT,30-39,OTHER,EXCITED,ONLYBUSH,BOTH,PERSONALQUAL,CONCERND,,,1.312
STATE ONLY,18.0,3.0,12.0,SECOND CALL,1198.0,30-39,WHITE,FEMALE,NADER,LAST.3DAYS,APPROVE,FAVORABLE,WOULDNOTVOTE,LESS,SMCITY/RURAL,EDUCATION,CARES,NO,NOVOTE,OMITS,WORSE,APP/FAV,NO,INDEPEND,RURAL,HSGRAD,ELSE,NEVER,50-75K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCENTRAL,30-44,30-39,IND/OTHER,30-39,OTHER,CONCERND,NEITHER,BOTH,ISSUES,CONCERND,,,1.198
STATE ONLY,18.0,3.0,13.0,SECOND CALL,1751.0,60-64,WHITE,MALE,BUSH,LASTWEEK,APPROVE,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,SOCIALSECUR,COMPLEXISSUE,NO,CLINTON,BOTHDID,SAME,APP/UNFAV,YES,DEMOCRAT,RURAL,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCENTRAL,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,OPTIMIST,NEITHER,BOTH,ISSUES,OPTIMIST,,,1.7510000000000001
STATE ONLY,18.0,3.0,14.0,SECOND CALL,1406.0,30-39,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,OMITS,STRONGLEADER,YES,DOLE,NEITHERDID,BETTER,APP/FAV,NO,REPUBLCN,RURAL,HSGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,OPTIMIST,ONLYGORE,NEITHER,ISSUES,EXCITED,,,1.4060000000000001
STATE ONLY,18.0,3.0,15.0,SECOND CALL,1751.0,60-64,WHITE,MALE,BUSH,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,SOCIALSECUR,OMITS,OMITS,CLINTON,BOTHDID,SAME,DIS/UNFAV,NO,DEMOCRAT,RURAL,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHCENTRAL,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,OPTIMIST,BOTH,BOTH,OMITS,SCARED,,,1.7510000000000001
STATE ONLY,18.0,3.0,16.0,SECOND CALL,1874.0,60-64,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,HEALTHCARE,HONEST,NO,CLINTON,BOTHDID,BETTER,APP/FAV,YES,INDEPEND,RURAL,HSGRAD,PROTESTANT,AFEWAYEAR,75-100K,YES,NO,MODERATE,18-64,OTHRPROGRAMS,STATE,COMPLETE,SOUTHCENTRAL,60+,60+,IND/OTHER,50-64,PROT/CHRIST,CONCERND,ONLYGORE,ONLYBUSH,PERSONALQUAL,EXCITED,,,1.874
STATE ONLY,18.0,3.0,17.0,THIRD CALL,1287.0,25-29,BLACK,FEMALE,GORE,LASTWEEK,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,NO,CLINTON,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,RURAL,HSGRAD,OTHERCHRIST,NEVER,30-50K,NO,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHCENTRAL,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,CONCERND,BOTH,BOTH,PERSONALQUAL,EXCITED,,,1.287
STATE ONLY,18.0,3.0,18.0,THIRD CALL,1312.0,45-49,WHITE,MALE,BUSH,BEFORE,OMITS,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,OMITS,CLINTON,BOTHDID,BETTER,OMITS,YES,DEMOCRAT,RURAL,,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHCENTRAL,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,OPTIMIST,ONLYBUSH,ONLYGORE,ISSUES,CONCERND,,,1.312
STATE ONLY,18.0,3.0,19.0,THIRD CALL,1312.0,40-44,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,STRONGLEADER,NO,DOLE,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,RURAL,COLGRAD,PROTESTANT,ONCEAWEEK,50-75K,NO,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCENTRAL,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,EXCITED,ONLYBUSH,ONLYGORE,ISSUES,SCARED,,,1.312
STATE ONLY,18.0,3.0,20.0,THIRD CALL,1410.0,30-39,WHITE,FEMALE,BUSH,LAST.MONTH,APPROVE,FAVORABLE,BUSH,MORE,SMCITY/RURAL,MEDICARE/RX,CARES,NO,CLINTON,GOREDID,SAME,APP/FAV,YES,INDEPEND,RURAL,HSGRAD,OTHERCHRIST,AFEWAMONTH,15-30K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCENTRAL,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,EXCITED,ONLYBUSH,BOTH,PERSONALQUAL,CONCERND,,,1.41
STATE ONLY,18.0,3.0,21.0,THIRD CALL,1312.0,30-39,WHITE,MALE,BUSH,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,GOREDID,BETTER,APP/UNFAV,YES,DEMOCRAT,RURAL,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,50-75K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,SOUTHCENTRAL,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,EXCITED,ONLYBUSH,ONLYGORE,ISSUES,SCARED,,,1.312
STATE ONLY,18.0,3.0,22.0,THIRD CALL,1310.0,50-59,WHITE,MALE,GORE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,LESS,SMCITY/RURAL,SOCIALSECUR,GOODJUDGMENT,YES,CLINTON,BUSHDID,BETTER,APP/FAV,YES,DEMOCRAT,RURAL,HSGRAD,OTHERCHRIST,ONCEAWEEK,75-100K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCENTRAL,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,SCARED,ONLYGORE,ONLYGORE,PERSONALQUAL,CONCERND,,,1.31
STATE ONLY,18.0,3.0,23.0,THIRD CALL,1861.0,25-29,WHITE,FEMALE,BUSH,BEFORE,APPROVE,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,SOCIALSECUR,HONEST,YES,DOLE,NEITHERDID,SAME,APP/UNFAV,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,15-30K,NO,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,SOUTHCENTRAL,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,EXCITED,ONLYBUSH,ONLYGORE,PERSONALQUAL,SCARED,,,1.861
STATE ONLY,18.0,3.0,24.0,THIRD CALL,1410.0,30-39,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,HONEST,YES,CLINTON,BOTHDID,BETTER,DIS/UNFAV,NO,REPUBLCN,RURAL,HSGRAD,OTHERCHRIST,ONCEAWEEK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,SOUTHCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,EXCITED,BOTH,ONLYGORE,PERSONALQUAL,CONCERND,,,1.41
STATE ONLY,18.0,3.0,25.0,THIRD CALL,1879.0,60-64,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,SOCIALSECUR,HONEST,YES,NOVOTE,BOTHDID,SAME,DIS/UNFAV,YES,INDEPEND,RURAL,HSGRAD,PROTESTANT,MORETHAN1AWK,,NO,NO,MODERATE,18-64,OMITS,STATE,COMPLETE,SOUTHCENTRAL,60+,60+,IND/OTHER,50-64,PROT/CHRIST,CONCERND,ONLYBUSH,ONLYGORE,PERSONALQUAL,SCARED,,,1.879
