VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,HOU,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,FINSIT,JOBPERS,WORK,ROTH,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,TIMEDES,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,8.0,2.0,1.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,CARPER,MINNER,APPROVE,FAVORABLE,MILLER,GORE,MORE,SUBURBS,MEDICARE/RX,EXPERIENCE,CLINTON,BETTER,APP/FAV,YES,NO,DEMOCRAT,SUBURBS,COLGRAD,OTHERCHRIST,ONCEAWEEK,50-75K,NO,NO,LIBERAL,18-64,OTHRPROGRAMS,BEFORE,STATE,COMPLETE,KENTSUSS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,BOTH,PERSONALQUAL,,,0.525
STATE ONLY,8.0,2.0,2.0,FIRST CALL,65-74,WHITE,,BUSH,ROTH,MINNER,OMITS,OMITS,CASTLE,OMITS,LESS,SUBURBS,ECON/JOBS,GOODJUDGMENT,OMITS,OMITS,,,NO,,SUBURBS,,,OMITS,,,,,65+,OMITS,LAST.MONTH,STATE,NOTCOMPLETE,KENTSUSS,60+,60+,,65+,,OMITS,OMITS,OMITS,,,1.18
STATE ONLY,8.0,2.0,3.0,FIRST CALL,65-74,WHITE,MALE,GORE,CARPER,MINNER,APPROVE,FAVORABLE,CASTLE,GORE,MORE,SUBURBS,WORLDAFFAIRS,HONEST,CLINTON,BETTER,APP/FAV,NO,NO,REPUBLCN,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,15-30K,YES,NO,MODERATE,65+,SOCIALSECURI,LASTWEEK,STATE,COMPLETE,KENTSUSS,60+,60+,REPUBLICAN,65+,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,1.044
STATE ONLY,8.0,2.0,4.0,FIRST CALL,40-44,WHITE,MALE,BUSH,ROTH,BURRIS,DISAPPR,UNFAVORABLE,CASTLE,BUSH,LESS,SUBURBS,TAXES,HONEST,DOLE,SAME,DIS/UNFAV,YES,NO,REPUBLCN,SUBURBS,SOMCOL/ASSOC,CATHOLIC,AFEWAMONTH,50-75K,YES,YES,CONSERV,18-64,SOCIALSECURI,BEFORE,STATE,COMPLETE,KENTSUSS,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,ONLYBUSH,ONLYBUSH,PERSONALQUAL,,,0.902
STATE ONLY,8.0,2.0,5.0,FIRST CALL,45-49,WHITE,MALE,GORE,ROTH,BURRIS,OMITS,OMITS,CASTLE,OMITS,LESS,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,OMITS,OMITS,,,NO,,SUBURBS,,,OMITS,,,,,18-64,OMITS,LASTWEEK,STATE,NOTCOMPLETE,KENTSUSS,45-59,40-49,,40-49,,OMITS,OMITS,OMITS,,,0.787
STATE ONLY,8.0,2.0,6.0,FIRST CALL,40-44,WHITE,MALE,BUSH,CARPER,MINNER,OMITS,OMITS,MILLER,OMITS,MORE,SUBURBS,HEALTHCARE,COMPLEXISSUE,OMITS,OMITS,,,YES,,SUBURBS,,,OMITS,,,,,18-64,OMITS,LAST.MONTH,STATE,NOTCOMPLETE,KENTSUSS,30-44,40-49,,40-49,,OMITS,OMITS,OMITS,,,0.8260000000000001
STATE ONLY,8.0,2.0,7.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,CARPER,MINNER,DISAPPR,UNFAVORABLE,MILLER,BUSH,LESS,SUBURBS,WORLDAFFAIRS,CARES,PEROT,BETTER,DIS/UNFAV,YES,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,AFEWAYEAR,15-30K,NO,YES,MODERATE,18-64,SOCIALSECURI,LAST.MONTH,STATE,COMPLETE,KENTSUSS,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.668
STATE ONLY,8.0,2.0,8.0,FIRST CALL,30-39,BLACK,MALE,GORE,CARPER,MINNER,OMITS,OMITS,CASTLE,OMITS,MORE,SUBURBS,WORLDAFFAIRS,EXPERIENCE,OMITS,OMITS,,,YES,,SUBURBS,,,OMITS,,,,,18-64,OMITS,BEFORE,STATE,NOTCOMPLETE,KENTSUSS,30-44,30-39,,30-39,,OMITS,OMITS,OMITS,,,0.738
STATE ONLY,8.0,2.0,9.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,CARPER,MINNER,APPROVE,FAVORABLE,CASTLE,GORE,MORE,SUBURBS,SOCIALSECUR,COMPLEXISSUE,CLINTON,BETTER,APP/FAV,YES,YES,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,SOCIALSECURI,BEFORE,STATE,COMPLETE,KENTSUSS,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,0.663
STATE ONLY,8.0,2.0,10.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,CARPER,MINNER,APPROVE,FAVORABLE,CASTLE,GORE,MORE,SUBURBS,ECON/JOBS,CARES,CLINTON,BETTER,APP/FAV,YES,YES,DEMOCRAT,SUBURBS,COLGRAD,OTHERCHRIST,AFEWAYEAR,15-30K,NO,YES,MODERATE,18-64,SOCIALSECURI,LASTWEEK,STATE,COMPLETE,KENTSUSS,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,BOTH,ONLYBUSH,ISSUES,,,0.678
STATE ONLY,8.0,2.0,11.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,ROTH,MINNER,APPROVE,UNFAVORABLE,CASTLE,BUSH,LESS,SUBURBS,SOCIALSECUR,HONEST,DOLE,SAME,APP/UNFAV,YES,NO,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,BEFORE,STATE,COMPLETE,KENTSUSS,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,0.747
STATE ONLY,8.0,2.0,12.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,ROTH,BURRIS,OMITS,OMITS,CASTLE,OMITS,LESS,SUBURBS,MEDICARE/RX,HONEST,OMITS,OMITS,,,NO,,SUBURBS,,,OMITS,,,,,65+,OMITS,BEFORE,STATE,NOTCOMPLETE,KENTSUSS,60+,60+,,65+,,OMITS,OMITS,OMITS,,,0.932
STATE ONLY,8.0,2.0,13.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,CARPER,MINNER,DISAPPR,UNFAVORABLE,CASTLE,BUSH,OMITS,SUBURBS,HEALTHCARE,STRONGLEADER,NOVOTE,SAME,DIS/UNFAV,YES,YES,INDEPEND,SUBURBS,HSGRAD,NONE,NEVER,50-75K,NO,YES,MODERATE,18-64,CUTFEDINCTAX,LAST.MONTH,STATE,COMPLETE,KENTSUSS,30-44,30-39,IND/OTHER,30-39,NONE,ONLYBUSH,ONLYGORE,ISSUES,,,0.765
STATE ONLY,8.0,2.0,14.0,FIRST CALL,65-74,WHITE,MALE,BUSH,ROTH,,OMITS,OMITS,CASTLE,OMITS,LESS,SUBURBS,WORLDAFFAIRS,STRONGLEADER,OMITS,OMITS,,,NO,,SUBURBS,,,OMITS,,,,,65+,OMITS,LAST.MONTH,STATE,NOTCOMPLETE,KENTSUSS,60+,60+,,65+,,OMITS,OMITS,OMITS,,,1.167
STATE ONLY,8.0,2.0,15.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,ROTH,MINNER,APPROVE,UNFAVORABLE,CASTLE,GORE,OMITS,SUBURBS,EDUCATION,EXPERIENCE,CLINTON,BETTER,APP/UNFAV,YES,NO,DEMOCRAT,SUBURBS,POSTGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,NO,MODERATE,18-64,SOCIALSECURI,BEFORE,STATE,COMPLETE,KENTSUSS,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,BOTH,PERSONALQUAL,,,0.65
STATE ONLY,8.0,2.0,16.0,FIRST CALL,30-39,WHITE,MALE,GORE,ROTH,MINNER,OMITS,OMITS,MILLER,OMITS,LESS,SUBURBS,ECON/JOBS,HONEST,OMITS,OMITS,,,NO,,SUBURBS,,,OMITS,,,,,18-64,OMITS,BEFORE,STATE,NOTCOMPLETE,KENTSUSS,30-44,30-39,,30-39,,OMITS,OMITS,OMITS,,,0.7010000000000001
STATE ONLY,8.0,2.0,17.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,CARPER,MINNER,APPROVE,FAVORABLE,MILLER,GORE,OMITS,SUBURBS,WORLDAFFAIRS,CARES,CLINTON,SAME,APP/FAV,NO,YES,DEMOCRAT,SUBURBS,HSGRAD,PROTESTANT,OMITS,LESS15K,NO,NO,MODERATE,65+,SOCIALSECURI,BEFORE,STATE,COMPLETE,KENTSUSS,60+,60+,DEMOCRAT,65+,PROT/CHRIST,ONLYGORE,BOTH,PERSONALQUAL,,,0.74
STATE ONLY,8.0,2.0,18.0,SECOND CALL,40-44,WHITE,FEMALE,NADER,CARPER,MINNER,APPROVE,UNFAVORABLE,CASTLE,WOULDNOTVOTE,MORE,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,SAME,APP/UNFAV,YES,NO,DEMOCRAT,SUBURBS,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,LASTWEEK,STATE,COMPLETE,KENTSUSS,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.47200000000000003
STATE ONLY,8.0,2.0,19.0,SECOND CALL,50-59,WHITE,MALE,BUSH,ROTH,BURRIS,DISAPPR,UNFAVORABLE,MILLER,BUSH,LESS,SUBURBS,TAXES,GOODJUDGMENT,DOLE,WORSE,DIS/UNFAV,NO,NO,INDEPEND,SUBURBS,HSGRAD,OTHERCHRIST,AFEWAYEAR,15-30K,NO,NO,MODERATE,18-64,REDUCNATDEBT,LAST.MONTH,STATE,COMPLETE,KENTSUSS,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,ONLYBUSH,ONLYGORE,ISSUES,,,0.79
