VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,HOU,XWAY2000,PROPSD,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,42.0,1.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,CLINTON,WORSE,DIS/UNFAV,INDEPEND,PROTESTANT,LESS15K,,18-64,STATE,NORTHEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.603
STATE ONLY,42.0,1.0,2.0,FIRST CALL,,WHITE,,BUSH,DISAPPR,UNFAVORABLE,,OMITS,,DOLE,SAME,DIS/UNFAV,,PROTESTANT,,,,STATE,NORTHEST,,,,,PROT/CHRIST,,,0.765
STATE ONLY,42.0,1.0,3.0,FIRST CALL,,WHITE,MALE,BUSH,DISAPPR,OMITS,THUNE,BUSH,NO,DOLE,SAME,OMITS,REPUBLCN,PROTESTANT,15-30K,MODERATE,,STATE,NORTHEST,,,REPUBLICAN,,PROT/CHRIST,,,0.9450000000000001
STATE ONLY,42.0,1.0,4.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,OMITS,WORSE,DIS/UNFAV,DEMOCRAT,PROTESTANT,LESS15K,MODERATE,18-64,STATE,NORTHEST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.6930000000000001
STATE ONLY,42.0,1.0,5.0,FIRST CALL,45-49,WHITE,MALE,BUSH,APPROVE,FAVORABLE,THUNE,BUSH,NO,CLINTON,BETTER,APP/FAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,18-64,STATE,NORTHEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.9450000000000001
STATE ONLY,42.0,1.0,6.0,FIRST CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,THUNE,GORE,YES,CLINTON,WORSE,APP/FAV,DEMOCRAT,ELSE,50-75K,LIBERAL,18-64,STATE,NORTHEST,30-44,40-49,DEMOCRAT,40-49,OTHER,,,0.762
STATE ONLY,42.0,1.0,7.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,STATE,NORTHEST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.603
STATE ONLY,42.0,1.0,8.0,FIRST CALL,60-64,WHITE,,BUSH,APPROVE,FAVORABLE,THUNE,BUSH,YES,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,,MODERATE,18-64,STATE,NORTHEST,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.842
STATE ONLY,42.0,1.0,9.0,FIRST CALL,,WHITE,FEMALE,BUSH,OMITS,OMITS,,OMITS,,OMITS,OMITS,OMITS,,,,,,STATE,NORTHEST,,,,,,,,0.765
STATE ONLY,42.0,1.0,10.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,NO,PEROT,WORSE,DIS/UNFAV,INDEPEND,PROTESTANT,LESS15K,MODERATE,18-64,STATE,NORTHEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.863
STATE ONLY,42.0,1.0,11.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,SAME,DIS/UNFAV,REPUBLCN,CATHOLIC,15-30K,MODERATE,65+,STATE,NORTHEST,60+,60+,REPUBLICAN,65+,CATHOLIC,,,0.771
STATE ONLY,42.0,1.0,12.0,FIRST CALL,,WHITE,FEMALE,BUSH,OMITS,OMITS,,OMITS,,OMITS,OMITS,OMITS,,,,,,STATE,NORTHEST,,,,,,,,0.765
STATE ONLY,42.0,1.0,13.0,SECOND CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,THUNE,BUSH,YES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,STATE,NORTHEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.66
STATE ONLY,42.0,1.0,14.0,SECOND CALL,40-44,WHITE,MALE,BUSH,APPROVE,FAVORABLE,THUNE,BUSH,NO,PEROT,BETTER,APP/FAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,18-64,STATE,NORTHEST,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.9450000000000001
