VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,INCOME,REL7,PHIL3,OVER65,RELG6,LOGO,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,45.0,9.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,50-75K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.0130000000000001
STATE ONLY,45.0,9.0,2.0,FIRST CALL,50-59,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,PEROT,SAME,DIS/UNFAV,REPUBLCN,15-30K,CATHOLIC,CONSERV,18-64,CATHOLIC,NO,STATE,EAST/OGDEN,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,,,1.041
STATE ONLY,45.0,9.0,3.0,FIRST CALL,50-59,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,,MORMON/LDS,CONSERV,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.041
STATE ONLY,45.0,9.0,4.0,FIRST CALL,40-44,WHITE,MALE,BUSH,HATCH,ORTON,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,50-75K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.081
STATE ONLY,45.0,9.0,5.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,75-100K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,YES,STATE,EAST/OGDEN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.0130000000000001
STATE ONLY,45.0,9.0,6.0,FIRST CALL,18-24,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,OMITS,SAME,DIS/UNFAV,REPUBLCN,30-50K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.982
STATE ONLY,45.0,9.0,7.0,FIRST CALL,65-74,WHITE,MALE,BUSH,HOWELL,ORTON,DISAPPR,UNFAVORABLE,BUSH,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,50-75K,MORMON/LDS,CONSERV,65+,MORMON/LDS,NO,STATE,EAST/OGDEN,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.3920000000000001
STATE ONLY,45.0,9.0,8.0,FIRST CALL,45-49,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,50-75K,MORMON/LDS,CONSERV,18-64,MORMON/LDS,NO,STATE,EAST/OGDEN,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.041
STATE ONLY,45.0,9.0,9.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,FAVORABLE,BUSH,NOVOTE,BETTER,DIS/FAV,INDEPEND,LESS15K,PROTESTANT,CONSERV,18-64,PROT/CHRIST,NO,STATE,EAST/OGDEN,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.0130000000000001
STATE ONLY,45.0,9.0,10.0,FIRST CALL,60-64,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,SAME,DIS/UNFAV,REPUBLCN,15-30K,PROTESTANT,CONSERV,18-64,PROT/CHRIST,YES,STATE,EAST/OGDEN,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,1.191
STATE ONLY,45.0,9.0,11.0,FIRST CALL,50-59,WHITE,MALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,30-50K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,NO,STATE,EAST/OGDEN,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.041
STATE ONLY,45.0,9.0,12.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,HATCH,LEAVITT,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,75-100K,OTHERCHRIST,MODERATE,18-64,PROT/CHRIST,YES,STATE,EAST/OGDEN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.0130000000000001
