VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,ISSUE,X6VOTE,UNION4,FINSIT,JOBPERS,WORK,PARTYID,EDUC,RELIGION,INCOME,MARRIED,CHILD,PHIL3,OVER65,LOGO,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,21.0,4.0,1.0,FIRST CALL,45-49,WHITE,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,ME,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,OVER100K,YES,YES,MODERATE,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.247
STATE ONLY,21.0,4.0,2.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,HEALTHCARE,NOVOTE,NONE,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,NONE,30-50K,NO,NO,LIBERAL,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,18-29,18-24,DEMOCRAT,18-24,NONE,,,1.2550000000000001
STATE ONLY,21.0,4.0,3.0,FIRST CALL,60-64,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,SOCIALSECUR,CLINTON,SOMEONEELSE,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,75-100K,YES,NO,CONSERV,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.239
STATE ONLY,21.0,4.0,4.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,DOLE,NONE,BETTER,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,NO,NO,CONSERV,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,1.317
STATE ONLY,21.0,4.0,5.0,FIRST CALL,40-44,BLACK,MALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,BETTER,APP/FAV,YES,DEMOCRAT,POSTGRAD,OTHERCHRIST,OVER100K,YES,YES,MODERATE,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.07
STATE ONLY,21.0,4.0,6.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,SARBANES,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,NONE,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,ELSE,15-30K,YES,YES,MODERATE,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,45-59,40-49,DEMOCRAT,40-49,OTHER,,,1.117
STATE ONLY,21.0,4.0,7.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,SARBANES,OMITS,OMITS,GORE,EDUCATION,CLINTON,NONE,BETTER,OMITS,YES,DEMOCRAT,COLGRAD,ELSE,50-75K,YES,YES,LIBERAL,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,30-44,40-49,DEMOCRAT,40-49,OTHER,,,1.301
STATE ONLY,21.0,4.0,8.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,NONE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,YES,YES,CONSERV,18-64,YES,STATE,COMPLETE,BALTSUBURBAN,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.366
STATE ONLY,21.0,4.0,9.0,SECOND CALL,60-64,BLACK,MALE,GORE,SARBANES,OMITS,OMITS,OMITS,SOCIALSECUR,OMITS,NONE,OMITS,,NO,,,,,YES,NO,,18-64,,STATE,NOTCOMPLETE,BALTSUBURBAN,60+,60+,,50-64,,,,1.239
STATE ONLY,21.0,4.0,10.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,RAPPAPORT,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,PEROT,ME,SAME,DIS/UNFAV,YES,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,YES,NO,CONSERV,18-64,NO,STATE,COMPLETE,BALTSUBURBAN,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.366
