VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,HOU,XWAY2000,GOVTDO,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,PARTYID,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,TRACK,PRESKNOW,FTVOTER,SAYANY,ISSVQUAL,VNS1,VNS2,GAY,CLINPRES,NEC,FEC,CLINECON,WEIGHT
NATIONAL WHITE,44.0,3.0,1.0,FIRST CALL,2002.0,30-39,WHITE,FEMALE,BUSH,HUTCHISON,APPROVE,UNFAVORABLE,REP,BUSH,LESS,ECON/JOBS,LIKEABLE,NO,NOVOTE,NONE,MOSTILL,WORSE,APP/UNFAV,YES,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,30-50K,YES,YES,CONSERV,18-64,,NATIONAL,COMPLETE,WEST,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,WRONGTRACK,,YES,,PERSONALQUAL,,,NO,NEITHER,NOTGOOD,WORSE,SOMEWHATRESP,2.0020000000000002
NATIONAL WHITE,44.0,3.0,2.0,FIRST CALL,3470.0,30-39,HISP,FEMALE,GORE,KELLY,DISAPPR,UNFAVORABLE,DEM,GORE,MORE,MEDICARE/RX,OMITS,YES,NOVOTE,NONE,MOSTILL,WORSE,DIS/UNFAV,YES,DEMOCRAT,NOHS,ELSE,AFEWAMONTH,15-30K,YES,YES,LIBERAL,18-64,,NATIONAL,COMPLETE,WEST,30-44,30-39,DEMOCRAT,30-39,YES,HISP,OTHER,WRONGTRACK,,NO,,ISSUES,,,NO,NEITHER,NOTGOOD,WORSE,NOTTOORESPON,3.47
NATIONAL WHITE,44.0,3.0,3.0,FIRST CALL,2731.0,65-74,WHITE,MALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,OTHER,BUSH,LESS,WORLDAFFAIRS,HONEST,NO,DOLE,NONE,MOSTLGL,SAME,DIS/UNFAV,YES,DEMOCRAT,COLGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,NO,CONSERV,65+,,NATIONAL,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,PERSONALQUAL,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,2.731
NATIONAL YELLOW,44.0,3.0,4.0,FIRST CALL,3481.0,75+,WHITE,MALE,GORE,KELLY,APPROVE,UNFAVORABLE,DEM,GORE,LESS,WORLDAFFAIRS,GOODJUDGMENT,YES,DOLE,NONE,ALWYSILL,SAME,APP/UNFAV,NO,DEMOCRAT,NOHS,PROTESTANT,ONCEAWEEK,15-30K,YES,NO,CONSERV,65+,,NATIONAL,COMPLETE,WEST,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,ISSUES,WORLDAFFAIRS,GOODJUDGMENT,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,3.481
NATIONAL YELLOW,44.0,3.0,5.0,FIRST CALL,2002.0,50-59,WHITE,FEMALE,BUSH,HUTCHISON,DISAPPR,UNFAVORABLE,REP,BUSH,LESS,SOCIALSECUR,HONEST,NO,PEROT,NONE,MOSTILL,SAME,DIS/UNFAV,YES,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,30-50K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,WEST,45-59,50-59,DEMOCRAT,50-64,NO,WHITE,PROT/CHRIST,WRONGTRACK,,NO,,ISSUES,SOCIALSECUR,HONEST,NO,NEITHER,NOTGOOD,BETTER,VERYRESPONSI,2.0020000000000002
NATIONAL YELLOW,44.0,3.0,6.0,FIRST CALL,2106.0,40-44,WHITE,MALE,BUSH,HUTCHISON,APPROVE,UNFAVORABLE,REP,BUSH,LESS,TAXES,STRONGLEADER,NO,DOLE,NONE,MOSTLGL,SAME,APP/UNFAV,YES,INDEPEND,COLGRAD,PROTESTANT,ONCEAWEEK,,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,WEST,30-44,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,RIGHTDIR,,NO,,ISSUES,TAXES,STRONGLEADER,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,2.106
NATIONAL GREY,44.0,3.0,7.0,FIRST CALL,2106.0,30-39,WHITE,MALE,BUSH,HUTCHISON,,,REP,,,,,,,,,,,,DEMOCRAT,COLGRAD,,,75-100K,,,CONSERV,18-64,CUTFEDINCTAX,NATIONAL,COMPLETE,WEST,30-44,30-39,DEMOCRAT,30-39,,WHITE,,,ONLYBUSH,,ONLYGORE,,,,,,,,,2.106
NATIONAL GREY,44.0,3.0,8.0,FIRST CALL,3481.0,60-64,WHITE,MALE,GORE,KELLY,,,DEM,,,,,,,,,,,,DEMOCRAT,HSGRAD,,,LESS15K,,,MODERATE,18-64,SOCIALSECURI,NATIONAL,COMPLETE,WEST,60+,60+,DEMOCRAT,50-64,NO,WHITE,,,BOTH,,BOTH,,,,,,,,,3.481
NATIONAL GREY,44.0,3.0,9.0,FIRST CALL,2106.0,50-59,WHITE,MALE,BUSH,HUTCHISON,,,DEM,,,,,,,,,,,,REPUBLCN,HSGRAD,,,30-50K,,,MODERATE,18-64,SOCIALSECURI,NATIONAL,COMPLETE,WEST,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,,,BOTH,,BOTH,,,,,,,,,2.106
NATIONAL PINK,44.0,3.0,10.0,FIRST CALL,2781.0,65-74,WHITE,FEMALE,GORE,,,,DEM,,,,,OMITS,,NONE,,,,NO,,,,,,,,,65+,,NATIONAL,NOTCOMPLETE,WEST,60+,60+,,65+,NO,WHITE,,,,NO,,,,,,,,,,2.781
NATIONAL PINK,44.0,3.0,11.0,FIRST CALL,3307.0,60-64,WHITE,FEMALE,GORE,KELLY,,,DEM,,,,,NO,,NONE,,,,NO,DEMOCRAT,,ELSE,,LESS15K,YES,NO,MODERATE,18-64,,NATIONAL,COMPLETE,WEST,60+,60+,DEMOCRAT,50-64,NO,WHITE,OTHER,,,NO,,,,,,,,,,3.307
NATIONAL PINK,44.0,3.0,12.0,FIRST CALL,2686.0,30-39,WHITE,MALE,GORE,KELLY,,,REP,,,,,NO,,NONE,,,,YES,DEMOCRAT,,OTHERCHRIST,,15-30K,YES,YES,MODERATE,18-64,,NATIONAL,COMPLETE,WEST,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,PROT/CHRIST,,,NO,,,,,,,,,,2.686
