VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,PROPCO20,PROPCO22,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,MEXICAN,QRACE,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,6.0,1.0,1.0,FIRST CALL,45-49,HISP,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,YES,WORLDAFFAIRS,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,NONE,30-50K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,45-59,40-49,DEMOCRAT,40-49,YES,BLACK,NONE,,,0.584
STATE ONLY,6.0,1.0,2.0,FIRST CALL,25-29,OTHER,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NO,OMITS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,15-30K,CONSERV,18-64,STATE,COMPLETE,DENVR/BOULDR,18-29,25-29,REPUBLICAN,25-29,NO,OTHER,CATHOLIC,,,1.164
STATE ONLY,6.0,1.0,3.0,FIRST CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NO,EDUCATION,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,75-100K,CONSERV,65+,STATE,COMPLETE,DENVR/BOULDR,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,,,1.601
STATE ONLY,6.0,1.0,4.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,YES,ECON/JOBS,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,30-50K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,,,1.077
STATE ONLY,6.0,1.0,5.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NO,SOCIALSECUR,OMITS,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,,18-64,STATE,COMPLETE,DENVR/BOULDR,60+,60+,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,,1.565
STATE ONLY,6.0,1.0,6.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,YES,WORLDAFFAIRS,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,MODERATE,65+,STATE,COMPLETE,DENVR/BOULDR,60+,60+,REPUBLICAN,65+,NO,WHITE,CATHOLIC,,,1.841
STATE ONLY,6.0,1.0,7.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,YES,EDUCATION,YES,NOVOTE,BETTER,APP/FAV,INDEPEND,HSGRAD,OTHERCHRIST,LESS15K,LIBERAL,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,30-39,IND/OTHER,30-39,NO,WHITE,PROT/CHRIST,,,0.748
STATE ONLY,6.0,1.0,8.0,FIRST CALL,65-74,WHITE,MALE,GORE,DISAPPR,FAVORABLE,GORE,NO,YES,OMITS,NO,CLINTON,BETTER,DIS/FAV,ELSE,,PROTESTANT,50-75K,MODERATE,65+,STATE,COMPLETE,DENVR/BOULDR,60+,60+,IND/OTHER,65+,NO,WHITE,PROT/CHRIST,,,1.305
STATE ONLY,6.0,1.0,9.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,NO,NO,WORLDAFFAIRS,YES,NOVOTE,BETTER,APP/FAV,ELSE,SOMCOL/ASSOC,ELSE,15-30K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,18-29,18-24,IND/OTHER,18-24,NO,WHITE,OTHER,,,1.139
STATE ONLY,6.0,1.0,10.0,FIRST CALL,30-39,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,YES,EDUCATION,YES,NOVOTE,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,15-30K,LIBERAL,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.598
STATE ONLY,6.0,1.0,11.0,FIRST CALL,30-39,HISP,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,YES,EDUCATION,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,30-39,DEMOCRAT,30-39,YES,HISP,CATHOLIC,,,0.598
STATE ONLY,6.0,1.0,12.0,FIRST CALL,75+,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,NO,ECON/JOBS,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,HSGRAD,ELSE,15-30K,MODERATE,65+,STATE,COMPLETE,DENVR/BOULDR,60+,60+,DEMOCRAT,65+,NO,WHITE,OTHER,,,1.112
STATE ONLY,6.0,1.0,13.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,YES,EDUCATION,NO,CLINTON,BETTER,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,30-39,IND/OTHER,30-39,NO,WHITE,PROT/CHRIST,,,1.105
STATE ONLY,6.0,1.0,14.0,SECOND CALL,30-39,OTHER,MALE,BUCHANAN,APPROVE,UNFAVORABLE,WOULDNOTVOTE,YES,YES,EDUCATION,NO,PEROT,SAME,APP/UNFAV,ELSE,HSGRAD,ELSE,30-50K,LIBERAL,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,30-39,IND/OTHER,30-39,NO,OTHER,OTHER,,,0.343
STATE ONLY,6.0,1.0,15.0,SECOND CALL,18-24,HISP,FEMALE,GORE,DISAPPR,UNFAVORABLE,GORE,NO,NO,ECON/JOBS,NO,CLINTON,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,DENVR/BOULDR,18-29,18-24,IND/OTHER,18-24,YES,HISP,CATHOLIC,,,0.618
STATE ONLY,6.0,1.0,16.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,YES,EDUCATION,YES,NOVOTE,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,30-50K,LIBERAL,18-64,STATE,COMPLETE,DENVR/BOULDR,18-29,18-24,DEMOCRAT,18-24,NO,WHITE,PROT/CHRIST,,,0.906
STATE ONLY,6.0,1.0,17.0,SECOND CALL,75+,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,YES,ECON/JOBS,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,LESS15K,MODERATE,65+,STATE,COMPLETE,DENVR/BOULDR,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,,,1.246
STATE ONLY,6.0,1.0,18.0,SECOND CALL,30-39,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,NO,TAXES,NO,NOVOTE,SAME,DIS/UNFAV,INDEPEND,HSGRAD,NONE,30-50K,LIBERAL,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,30-39,IND/OTHER,30-39,NO,WHITE,NONE,,,0.9380000000000001
STATE ONLY,6.0,1.0,19.0,SECOND CALL,40-44,HISP,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,YES,EDUCATION,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,,,0.584
STATE ONLY,6.0,1.0,20.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,YES,OMITS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,30-44,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,,,1.077
STATE ONLY,6.0,1.0,21.0,SECOND CALL,45-49,HISP,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,,OMITS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,45-59,40-49,DEMOCRAT,40-49,YES,HISP,CATHOLIC,,,0.5670000000000001
STATE ONLY,6.0,1.0,22.0,SECOND CALL,50-59,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,YES,WORLDAFFAIRS,NO,DOLE,SAME,APP/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,DENVR/BOULDR,45-59,50-59,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,,,1.1
