VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,PROPSC,GOVTDO,ISSLOTT,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
NATIONAL WHITE,41.0,1.0,1.0,FIRST CALL,60-64,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,LIBERAL,18-64,NATIONAL,COMPLETE,COLUMBIA,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.275
NATIONAL WHITE,41.0,1.0,2.0,FIRST CALL,18-24,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,,LESS,,SOCIALSECUR,YES,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,15-30K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.186
NATIONAL WHITE,41.0,1.0,3.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,,WORLDAFFAIRS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.168
NATIONAL WHITE,41.0,1.0,4.0,FIRST CALL,30-39,OTHER,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,,TAXES,NO,DOLE,SAME,DIS/UNFAV,ELSE,COLGRAD,PROTESTANT,,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.203
NATIONAL YELLOW,41.0,1.0,5.0,FIRST CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,,SOCIALSECUR,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,,MODERATE,65+,NATIONAL,COMPLETE,COLUMBIA,60+,60+,REPUBLICAN,65+,PROT/CHRIST,SOCIALSECUR,STRONGLEADER,0.28
NATIONAL YELLOW,41.0,1.0,6.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,,OMITS,YES,DOLE,WORSE,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,OMITS,GOODJUDGMENT,0.181
NATIONAL YELLOW,41.0,1.0,7.0,FIRST CALL,50-59,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,YES,MORE,,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,INDEPEND,COLGRAD,NONE,OVER100K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,50-59,IND/OTHER,50-64,NONE,ECON/JOBS,CARES,0.225
NATIONAL YELLOW,41.0,1.0,8.0,FIRST CALL,50-59,,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,,ECON/JOBS,YES,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,ECON/JOBS,HONEST,0.181
NATIONAL GREY,41.0,1.0,9.0,FIRST CALL,25-29,WHITE,MALE,GORE,,,,YES,,,,,,,,DEMOCRAT,SOMCOL/ASSOC,,30-50K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,18-29,25-29,DEMOCRAT,25-29,,,,0.221
NATIONAL GREY,41.0,1.0,10.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,,,,YES,,,,,,,,DEMOCRAT,SOMCOL/ASSOC,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,DEMOCRAT,30-39,,,,0.199
NATIONAL GREY,41.0,1.0,11.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,,,,YES,,,,,,,,INDEPEND,SOMCOL/ASSOC,,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,IND/OTHER,30-39,,,,0.211
NATIONAL GREY,41.0,1.0,12.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,,,,NO,,,,,,,,REPUBLCN,SOMCOL/ASSOC,,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,40-49,REPUBLICAN,40-49,,,,0.181
NATIONAL PINK,41.0,1.0,13.0,FIRST CALL,30-39,WHITE,MALE,BUSH,,,,NO,,,,NO,,,,REPUBLCN,,PROTESTANT,75-100K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.203
NATIONAL PINK,41.0,1.0,14.0,FIRST CALL,30-39,BLACK,MALE,GORE,,,,YES,,,,NO,,,,DEMOCRAT,,ELSE,15-30K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,DEMOCRAT,30-39,OTHER,,,0.225
NATIONAL PINK,41.0,1.0,15.0,FIRST CALL,50-59,WHITE,MALE,BUSH,,,,YES,,,,NO,,,,INDEPEND,,PROTESTANT,50-75K,CONSERV,18-64,NATIONAL,COMPLETE,COLUMBIA,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.198
NATIONAL PINK,41.0,1.0,16.0,FIRST CALL,30-39,WHITE,MALE,BUSH,,,,NO,,,,NO,,,,INDEPEND,,PROTESTANT,30-50K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.203
NATIONAL WHITE,41.0,1.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,OMITS,OMITS,OMITS,YES,LESS,,WORLDAFFAIRS,NO,OMITS,OMITS,,,,,,,18-64,NATIONAL,NOTCOMPLETE,COLUMBIA,30-44,30-39,,30-39,,,,0.176
NATIONAL WHITE,41.0,1.0,18.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,LESS,,ECON/JOBS,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,50-75K,MODERATE,18-64,NATIONAL,COMPLETE,COLUMBIA,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.199
