VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,HOU,XWAY2000,ISSUE,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,FORESTS,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,27.0,2.0,1.0,FIRST CALL,45-49,WHITE,FEMALE,NADER,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,WOULDNOTVOTE,OMITS,NOVOTE,WORSE,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,LESS15K,MODERATE,18-64,OMITS,STATE,COMPLETE,EAST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.642
STATE ONLY,27.0,2.0,2.0,FIRST CALL,65-74,WHITE,,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,WORLDAFFAIRS,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,65+,HURTSTATE,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,65+,CATHOLIC,,,0.9
STATE ONLY,27.0,2.0,3.0,FIRST CALL,40-44,WHITE,,BUSH,BURNS,MARTZ,OMITS,OMITS,REHBERG,BUSH,WORLDAFFAIRS,DOLE,BETTER,OMITS,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.7010000000000001
STATE ONLY,27.0,2.0,4.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,SCHWEITZER,OKEEFE,DISAPPR,UNFAVORABLE,REHBERG,BUSH,SOCIALSECUR,PEROT,WORSE,DIS/UNFAV,ELSE,SOMCOL/ASSOC,OTHERCHRIST,OVER100K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.837
STATE ONLY,27.0,2.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,OTHER,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,EDUCATION,DOLE,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.515
STATE ONLY,27.0,2.0,6.0,FIRST CALL,50-59,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.724
STATE ONLY,27.0,2.0,7.0,FIRST CALL,75+,WHITE,,GORE,SCHWEITZER,OKEEFE,APPROVE,FAVORABLE,KEENAN,GORE,OMITS,CLINTON,BETTER,APP/FAV,DEMOCRAT,NOHS,NONE,LESS15K,,65+,HELPSTATE,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,NONE,,,1.599
STATE ONLY,27.0,2.0,8.0,FIRST CALL,50-59,WHITE,MALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,ECON/JOBS,DOLE,WORSE,DIS/UNFAV,REPUBLCN,,PROTESTANT,30-50K,CONSERV,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.724
STATE ONLY,27.0,2.0,9.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,BURNS,MARTZ,DISAPPR,UNFAVORABLE,REHBERG,BUSH,HEALTHCARE,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,15-30K,MODERATE,18-64,HURTSTATE,STATE,COMPLETE,EAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.7010000000000001
STATE ONLY,27.0,2.0,10.0,FIRST CALL,75+,,FEMALE,BUSH,SCHWEITZER,OKEEFE,OMITS,OMITS,REHBERG,BUSH,ECON/JOBS,DOLE,OMITS,OMITS,REPUBLCN,HSGRAD,ELSE,LESS15K,,65+,OMITS,STATE,COMPLETE,EAST,60+,60+,REPUBLICAN,65+,OTHER,,,1.04
