VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,QUAL,RELRIGHT,X6VOTE,FINSIT,JOBPERS,GORETN,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,43.0,14.0,1.0,FIRST CALL,50-59,WHITE,MALE,GORE,CLARK,APPROVE,UNFAVORABLE,GORE,LESS,SOCIALSECUR,HONEST,YES,CLINTON,BETTER,APP/UNFAV,NOTTOOIMP,DEMOCRAT,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.579
STATE ONLY,43.0,14.0,2.0,FIRST CALL,50-59,WHITE,MALE,GORE,CLARK,APPROVE,FAVORABLE,GORE,MORE,MEDICARE/RX,EXPERIENCE,NO,CLINTON,BETTER,APP/FAV,SOMEWHAT,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.579
STATE ONLY,43.0,14.0,3.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,MEDICARE/RX,HONEST,NO,DOLE,SAME,DIS/UNFAV,NOTATALL,REPUBLCN,HSGRAD,PROTESTANT,75-100K,CONSERV,65+,STATE,COMPLETE,CENTRAL/WEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,1.538
STATE ONLY,43.0,14.0,4.0,FIRST CALL,,WHITE,MALE,GORE,,APPROVE,OMITS,GORE,OMITS,OMITS,OMITS,YES,CLINTON,BETTER,OMITS,OMITS,DEMOCRAT,,CATHOLIC,,,,STATE,COMPLETE,CENTRAL/WEST,,,DEMOCRAT,,CATHOLIC,,,1.718
STATE ONLY,43.0,14.0,5.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,OTHER,APPROVE,UNFAVORABLE,GORE,OMITS,EDUCATION,STRONGLEADER,NO,CLINTON,BETTER,APP/UNFAV,NOTATALL,INDEPEND,POSTGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,4.871
STATE ONLY,43.0,14.0,6.0,FIRST CALL,30-39,WHITE,,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,HONEST,YES,DOLE,SAME,DIS/UNFAV,NOTATALL,REPUBLCN,NOHS,PROTESTANT,75-100K,CONSERV,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,1.7570000000000001
STATE ONLY,43.0,14.0,7.0,FIRST CALL,65-74,WHITE,MALE,BUSH,FRIST,OMITS,OMITS,OMITS,LESS,SOCIALSECUR,HONEST,NO,OMITS,OMITS,,NOTATALL,,,,,,65+,STATE,NOTCOMPLETE,CENTRAL/WEST,60+,60+,,65+,,,,1.649
STATE ONLY,43.0,14.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,FRIST,APPROVE,UNFAVORABLE,BUSH,LESS,TAXES,CARES,NO,PEROT,SAME,APP/UNFAV,NOTATALL,INDEPEND,SOMCOL/ASSOC,CATHOLIC,75-100K,CONSERV,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,1.639
STATE ONLY,43.0,14.0,9.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,FRIST,APPROVE,UNFAVORABLE,BUSH,MORE,TAXES,HONEST,NO,CLINTON,BETTER,APP/UNFAV,NOTTOOIMP,REPUBLCN,HSGRAD,PROTESTANT,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,1.639
STATE ONLY,43.0,14.0,10.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,HONEST,YES,DOLE,SAME,DIS/UNFAV,NOTATALL,REPUBLCN,COLGRAD,PROTESTANT,OVER100K,CONSERV,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,1.639
STATE ONLY,43.0,14.0,11.0,FIRST CALL,45-49,WHITE,MALE,BUSH,FRIST,OMITS,OMITS,OMITS,LESS,WORLDAFFAIRS,HONEST,YES,OMITS,OMITS,,NOTATALL,,,,,,18-64,STATE,NOTCOMPLETE,CENTRAL/WEST,45-59,40-49,,40-49,,,,1.7570000000000001
STATE ONLY,43.0,14.0,12.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,CLARK,APPROVE,FAVORABLE,GORE,LESS,SOCIALSECUR,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,NOTTOOIMP,DEMOCRAT,HSGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.474
STATE ONLY,43.0,14.0,13.0,FIRST CALL,50-59,BLACK,MALE,GORE,,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,STRONGLEADER,NO,CLINTON,BETTER,APP/FAV,VERYIMP,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,COMPLETE,CENTRAL/WEST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.567
STATE ONLY,43.0,14.0,14.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,OMITS,EXPERIENCE,NO,NOVOTE,SAME,DIS/UNFAV,NOTATALL,REPUBLCN,HSGRAD,ELSE,30-50K,MODERATE,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,REPUBLICAN,30-39,OTHER,,,1.639
STATE ONLY,43.0,14.0,15.0,SECOND CALL,30-39,WHITE,MALE,BUSH,FRIST,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,STRONGLEADER,NO,DOLE,BETTER,DIS/UNFAV,SOMEWHAT,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,CENTRAL/WEST,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.7570000000000001
