VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,ABORTION,FINSIT,JOBPERS,WORK,MIGRATGA,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,11.0,1.0,1.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,MILLER,DISAPPR,UNFAVORABLE,GORE,LESS,SMCITY/RURAL,EDUCATION,HONEST,YES,DOLE,MOSTILL,SAME,DIS/UNFAV,YES,YES,REPUBLCN,RURAL,POSTGRAD,PROTESTANT,MORETHAN1AWK,75-100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOUTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,NEITHER,BOTH,PERSONALQUAL,,,0.847
STATE ONLY,11.0,1.0,2.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,OMITS,HONEST,YES,CLINTON,MOSTILL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,RURAL,POSTGRAD,OTHERCHRIST,MORETHAN1AWK,50-75K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYBUSH,PERSONALQUAL,,,0.65
STATE ONLY,11.0,1.0,3.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,HONEST,YES,PEROT,ALWYSILL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,RURAL,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,50-75K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.611
STATE ONLY,11.0,1.0,4.0,FIRST CALL,30-39,WHITE,MALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,TAXES,HONEST,NO,DOLE,MOSTILL,SAME,DIS/UNFAV,YES,YES,REPUBLCN,RURAL,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,30-50K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,0.545
STATE ONLY,11.0,1.0,5.0,FIRST CALL,60-64,WHITE,MALE,GORE,MILLER,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,SOCIALSECUR,EXPERIENCE,NO,CLINTON,ALWYSLGL,BETTER,APP/FAV,YES,NO,DEMOCRAT,RURAL,POSTGRAD,PROTESTANT,ONCEAWEEK,75-100K,YES,NO,LIBERAL,18-64,OMITS,STATE,COMPLETE,NORTH/SOUTH,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,0.983
STATE ONLY,11.0,1.0,6.0,FIRST CALL,30-39,WHITE,MALE,GORE,MILLER,APPROVE,UNFAVORABLE,GORE,LESS,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,NO,CLINTON,ALWYSLGL,SAME,APP/UNFAV,NO,NO,DEMOCRAT,RURAL,SOMCOL/ASSOC,PROTESTANT,NEVER,LESS15K,NO,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,NEITHER,BOTH,ISSUES,,,0.754
STATE ONLY,11.0,1.0,7.0,FIRST CALL,25-29,WHITE,MALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,MORE,SMCITY/RURAL,EDUCATION,EXPERIENCE,NO,CLINTON,ALWYSILL,BETTER,DIS/UNFAV,YES,NO,DEMOCRAT,RURAL,HSGRAD,OTHERCHRIST,AFEWAYEAR,30-50K,YES,YES,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,BOTH,BOTH,ISSUES,,,0.47100000000000003
STATE ONLY,11.0,1.0,8.0,FIRST CALL,30-39,WHITE,MALE,BUSH,MATTINGLY,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,OMITS,LIKEABLE,YES,NOVOTE,MOSTILL,BETTER,DIS/UNFAV,YES,NO,ELSE,RURAL,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOUTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,0.545
STATE ONLY,11.0,1.0,9.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,MILLER,OMITS,OMITS,GORE,LESS,SMCITY/RURAL,MEDICARE/RX,OMITS,NO,CLINTON,MOSTILL,SAME,OMITS,YES,NO,INDEPEND,RURAL,NOHS,ELSE,AFEWAYEAR,30-50K,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOUTH,30-44,40-49,IND/OTHER,40-49,OTHER,OMITS,BOTH,OMITS,,,0.65
STATE ONLY,11.0,1.0,10.0,SECOND CALL,50-59,WHITE,MALE,BUSH,MILLER,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,WORLDAFFAIRS,HONEST,NO,DOLE,MOSTILL,BETTER,DIS/UNFAV,YES,NO,REPUBLCN,RURAL,SOMCOL/ASSOC,PROTESTANT,AFEWAMONTH,50-75K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,BOTH,NEITHER,ISSUES,,,0.579
