VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,FINSIT,JOBPERS,WORK,ROBB,PARTYID,UNFAIRVA,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,TIMEVAS,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,47.0,2.0,1.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,ROBB,OMITS,OMITS,OMITS,MORE,SMCITY/RURAL,HEALTHCARE,COMPLEXISSUE,NO,OMITS,OMITS,OMITS,,RIGHTAMT,,ALLENDID,10-50K,,,OMITS,OVER100K,,,LIBERAL,18-64,OMITS,BEFORE,STATE,COMPLETE,EST/RICHMOND,30-44,40-49,,40-49,,OMITS,OMITS,OMITS,,,1.149
STATE ONLY,47.0,2.0,2.0,FIRST CALL,30-39,WHITE,MALE,GORE,ROBB,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,EDUCATION,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,YES,RIGHTAMT,DEMOCRAT,ALLENDID,10-50K,POSTGRAD,NONE,NEVER,50-75K,YES,YES,MODERATE,18-64,REDUCNATDEBT,BEFORE,STATE,COMPLETE,EST/RICHMOND,30-44,30-39,DEMOCRAT,30-39,NONE,ONLYGORE,ONLYBUSH,ISSUES,,,1.082
STATE ONLY,47.0,2.0,3.0,FIRST CALL,45-49,ASIAN,FEMALE,NADER,ROBB,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,EDUCATION,HONEST,NO,CLINTON,BETTER,APP/UNFAV,YES,OMITS,DEMOCRAT,BOTHDID,10-50K,POSTGRAD,NONE,AFEWAYEAR,OVER100K,YES,YES,LIBERAL,18-64,REDUCNATDEBT,LAST.MONTH,STATE,COMPLETE,EST/RICHMOND,45-59,40-49,DEMOCRAT,40-49,NONE,ONLYGORE,BOTH,ISSUES,,,0.523
STATE ONLY,47.0,2.0,4.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,ALLEN,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,ECON/JOBS,GOODJUDGMENT,YES,DOLE,SAME,DIS/UNFAV,YES,TOOOFTEN,REPUBLCN,NEITHERDID,10-50K,COLGRAD,PROTESTANT,MORETHAN1AWK,,YES,NO,MODERATE,18-64,CUTFEDINCTAX,BEFORE,STATE,COMPLETE,EST/RICHMOND,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,ONLYBUSH,NEITHER,ISSUES,,,1.623
STATE ONLY,47.0,2.0,5.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,ROBB,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,ECON/JOBS,EXPERIENCE,NO,CLINTON,BETTER,APP/FAV,NO,RIGHTAMT,DEMOCRAT,ALLENDID,10-50K,COLGRAD,PROTESTANT,OMITS,75-100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,BEFORE,STATE,COMPLETE,EST/RICHMOND,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,1.723
STATE ONLY,47.0,2.0,6.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,ROBB,DISAPPR,UNFAVORABLE,BUSH,LESS,SMCITY/RURAL,WORLDAFFAIRS,HONEST,NO,DOLE,BETTER,DIS/UNFAV,YES,RIGHTAMT,REPUBLCN,ALLENDID,10-50K,POSTGRAD,OTHERCHRIST,AFEWAYEAR,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,BEFORE,STATE,COMPLETE,EST/RICHMOND,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,1.116
STATE ONLY,47.0,2.0,7.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,ROBB,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,TAXES,COMPLEXISSUE,NO,NOVOTE,BETTER,APP/UNFAV,YES,RIGHTAMT,INDEPEND,BOTHDID,10-50K,COLGRAD,PROTESTANT,AFEWAYEAR,50-75K,NO,NO,MODERATE,18-64,REDUCNATDEBT,LASTWEEK,STATE,COMPLETE,EST/RICHMOND,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,ONLYGORE,NEITHER,PERSONALQUAL,,,1.055
STATE ONLY,47.0,2.0,8.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,ROBB,APPROVE,FAVORABLE,GORE,MORE,SMCITY/RURAL,WORLDAFFAIRS,COMPLEXISSUE,NO,CLINTON,BETTER,APP/FAV,YES,RIGHTAMT,DEMOCRAT,ALLENDID,10-50K,COLGRAD,OTHERCHRIST,AFEWAMONTH,30-50K,NO,NO,LIBERAL,18-64,SOCIALSECURI,BEFORE,STATE,COMPLETE,EST/RICHMOND,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,ONLYGORE,ONLYBUSH,ISSUES,,,1.119
STATE ONLY,47.0,2.0,9.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,ROBB,APPROVE,UNFAVORABLE,GORE,MORE,SMCITY/RURAL,OMITS,COMPLEXISSUE,NO,CLINTON,BETTER,APP/UNFAV,YES,TOOOFTEN,DEMOCRAT,ALLENDID,10-50K,POSTGRAD,CATHOLIC,AFEWAMONTH,OVER100K,YES,NO,MODERATE,18-64,REDUCNATDEBT,BEFORE,STATE,COMPLETE,EST/RICHMOND,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,ONLYGORE,ONLYBUSH,ISSUES,,,1.149
STATE ONLY,47.0,2.0,10.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,ALLEN,DISAPPR,FAVORABLE,BUSH,MORE,SMCITY/RURAL,TAXES,STRONGLEADER,NO,CLINTON,SAME,DIS/FAV,YES,TOOOFTEN,REPUBLCN,ROBBDID,10-50K,COLGRAD,PROTESTANT,AFEWAYEAR,30-50K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,LAST.3DAYS,STATE,COMPLETE,EST/RICHMOND,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,BOTH,ONLYBUSH,ISSUES,,,0.994
