ID,ABORT2,ABORTION,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAK14,BREAK14B,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,CHRISTIEPRES,CLIMATECHANGE,CONGRESS,CONGRESS4,CUBAN3,EBOLA14,ECONBETT,ECONDIR,ECONFAIR,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FINSIT2,FOLLOW14,FOLLOW14B,FOROBAMAH,GAY,GEOCODE,GOV,GOVTDO10,HCLINPRES,HEALTHCARE14,HILLVREP,HOU,IMMDEPORT,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,JBUSHPRES,LANDPHONE,LATINO,LIFE,MARCHILD,MARIJUANALAW,MARRIED,NEC,NEC2,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PAULPRES,PERRYPRES,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QRACEAK,QRACEHI,QTYPE,RACE,RACEAI,RACEAK,RACEREL14,RCONGANG,RCONGANG2,REGION,REL5,RELIGN10,RELWHITE,SAMESEXM12,SEN,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TERRWORR,TERWORR2,TRACK,TRUSTGOV,TRUSTGOVB,UNIONHH12,VERSION,VETVOTER,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,WRKWOMEN4,WEIGHT
65979.0,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,,Not complete,,,,Call 1,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,Government should do more to solve problems,,,,The Democratic candidate,,,,,,,,,,,,,No,,,,,,,,,,,,,45+,18-64,,,,,,,,,,,22.0,,,White,White,,,National questionnaire,White,White,,,,,West,,,,,,Male,White men,,Suburbs,Suburbs,, Utah,,,,Election day exit poll,,,Generally going in the right direction,,,,Version 4,,,,,,,,,,,0.93077540397644
58247.0,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Not complete,,,,Call 1,3.0,,,,,,,,,,,,,,,,,,,,,,To express opposition to Barack Obama,,4.0,,,,,,The Democratic candidate,,,,,,,,,,,,,No,,,,,,,,,,,,,45+,65+,,,,,,,,,,,24.0,,,White,White,,,National questionnaire,White,White,,,,,Midwest,,,,,,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,,Missouri,,,,Election day exit poll,,,,,,,Version 2,,,,,No,Non-working men,,,All others,Non-working men,1.1499308347702
51611.0,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,,Not complete,,,,Call 1,2.0,No,Only regular land-line phone service,,,,,,,,,,,,,,,,,,Extremely closely,Extremely or very closely,,,1.0,,,,,,The Democratic candidate,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,45+,18-64,,,,,,,,,,,95.0,,,White,White,,,National questionnaire,White,White,,,,,Midwest,,,,,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",,Indiana,,,,Election day exit poll,,,,,,,Version 5,,,,,,,,,,,0.704596519470215
51565.0,,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Not complete,,,,Call 1,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,Government should do more to solve problems,,,,The Democratic candidate,,,,,,,,,,,,,No,,,,,,,,,,,,,18-44,18-64,,,,,,,,,,,95.0,,,White,White,,,National questionnaire,White,White,,,,,Midwest,,,,,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",,Indiana,,,,Election day exit poll,,,Generally going in the right direction,,,,Version 4,,,,,,,,,,,0.689241468906403
75055.0,,,,,,,,,,,,,,,Not complete,,,,Call 2,9.0,Yes,Only cell phone service,,,,,,,,,,,,,,,,,,Very closely,Extremely or very closely,,,5.0,,,,,,The Democratic candidate,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,White,White,,,National questionnaire,White,White,,,,,Midwest,,,,,,Male,White men,,Suburbs,Suburbs,,Indiana,,,,Election day exit poll,,,,,,,Version 5,,,,,,,,,,,1.26533770561218
68742.0,,,65+,60+,65 or over,45+,60+,65+,,,,,,,Complete,,,,Call 2,2.0,,,,,Yes,,,,,,,Favors the wealthy,High school graduate,No college degree,High school graduate or less,,Omit,Unfavorable,,,,,,1.0,,Government should do more to solve problems,,,,The Democratic candidate,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000",,,,,,,Better than life today,,Illegal,,,,,,,,,,45+,65+,,Democrat,,,Democrat,Democratic Women,,,,Moderate,95.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,National questionnaire,,,,Stayed about the same,,,Midwest,,,,No,,Female,,,"Cities 50,000-500,000","Cities over 50,000",,Indiana,,,,Election day exit poll,,,Omit,,,,Version 4,,,,,,,,,,,0.597608745098114
58953.0,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,Call 1,3.0,,,,,Yes,,,,,,,Is fair to most Americans,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Favorable,,,,,,2.0,,Government should do more to solve problems,,,,The Democratic candidate,Offered a chance to apply for legal status,,,,,,,,,,,,No,Better than life today,,Omit,,,,,,,,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,,Liberal,27.0,Liberal Democrats,Liberal Democrats,White,White,,,National questionnaire,White,White,,Gotten better,,,Midwest,,,,Yes,,Male,White men,,Suburbs,Suburbs,,Missouri,,,,Election day exit poll,,,Generally going in the right direction,,,,Version 4,,,,,,,,,,,0.985655069351196
51799.0,Illegal,Illegal in all cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,More than once a week,Weekly,Catholic/Attend weekly,Complete,,,Yes,Call 1,2.0,,,,,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,About the same,,,,,1.0,,,,,It depends,The Democratic candidate,,,,,,,,,,,,,,,,,Yes,,,,,,,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Moderate,95.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,,,National questionnaire,White,White,,,,,Midwest,Catholic,Catholic,Catholic,,,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",,Indiana,,,,Election day exit poll,,,,Most of the time,Just about always or most of the time,No,Version 3,,White Catholics,,White Born-again/Evangelical Christians,,,No,All others,,,0.644591450691223
10383.0,,,65+,60+,65 or over,45+,60+,65+,,,,,,,Complete,,,,,4.0,,,,,Yes,,,,,,,Favors the wealthy,College graduate,College graduate,More than High school graduate,,Favorable,Unfavorable,,,,,,5.0,,Government should do more to solve problems,,,,The Democratic candidate,Offered a chance to apply for legal status,,,,,,,,,,,,,Better than life today,,Legal,,,,,,,,,,45+,65+,,Democrat,,,Democrat,Democratic Women,,,,Liberal,-1.0,Liberal Democrats,Liberal Democrats,,,,,National questionnaire,,,,Gotten worse,,,West,,,,Yes,,Female,,,Suburbs,Suburbs,,Washington,,,,Telephone survey,,,Generally going in the right direction,,,,Version 4,,,,,,,,,,,0.886669456958771
9788.0,Legal,Legal in all cases,45-65,60+,60-64,45+,60+,50-64,,,,A few times a year,Occasionally,All others,Complete,,,No,,2.0,,,No,,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,,,,Better,,,,,2.0,,,,,It depends,The Democratic candidate,,,,,,,,,,,,,,,All others,,Yes,,,,,,,,,45+,18-64,Women without children,Independent/Something else,,,Independent,Independent Women,,,,Moderate,-1.0,Moderate/Liberal Republicans,Moderate Independents,,,,,National questionnaire,,,,,,,West,Protestant/Other Non-Catholic Christian,Other christian,,,,Female,,Married women,Suburbs,Suburbs,, Utah,,,,Telephone survey,,,,Only some of the time,Only some of the time or never,Yes,Version 3,,,,All others,,,No,,,,1.1875776052475
