ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENVT10,GOVVT10,HOUVT10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,CHILD,GOVTDO10,HEALTHCARE10,NECWORRY,OBAMA4,TEAPARTY,TRACK,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,WHNCLINC,XTEAPARTYID,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
901003.0, Vermont,19.0,Call 3,Complete,Election day exit poll,0.676765024662018,Did not vote,Peter Shumlin,Did not vote,Male,White,18-24,Independent,Liberal,"Under $30,000",Some college/assoc. degree,No,,Omit,,Very worried,Somewhat disapprove,Somewhat oppose,,Other,Non black male,White men,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,Worried,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,Oppose,Yes,Non-Tea Party supporters and Independents/Something else,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,2.0,East,Version 1,Town,Rural,Rural,Upscale,5401.0
873482.0, Vermont,19.0,Call 1,Complete,Election day exit poll,1.05902647972107,Did not vote,Brian Dubie,Did not vote,Male,White,50-59,Republican,Conservative,"$50,000-$74,999",College graduate,No,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,No,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,2.0,East,Version 2,Town,Rural,Rural,Upscale,5401.0
873024.0, Vermont,19.0,Call 1,Complete,Election day exit poll,0.734432339668274,Did not vote,Peter Shumlin,Peter Welch,Female,White,45-49,Independent,Liberal,"$50,000-$74,999",Postgraduate study,No,,Government should do more to solve problems,,Somewhat worried,Somewhat disapprove,Strongly oppose,,Other,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,Worried,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,Oppose,No,Non-Tea Party supporters and Independents/Something else,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,2.0,East,Version 1,Town,Rural,Rural,Upscale,5401.0
890152.0, Vermont,19.0,Call 2,Complete,Election day exit poll,0.794672071933746,Patrick Leahy,Peter Shumlin,,Female,White,25-29,Independent,Liberal,"Under $30,000",Some college/assoc. degree,No,,,,,,,,,Non black female,White women,18-29,18-29,18-44,18-29,25-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,Yes,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,2.0,East,Version 2,Town,Rural,Rural,Upscale,5401.0
890446.0, Vermont,19.0,Call 2,Complete,Election day exit poll,1.34904849529266,Patrick Leahy,Brian Dubie,Did not vote,Male,White,30-39,,Moderate,,College graduate,No,,,Omit,,,Omit,Omit,Obama,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,White,,Omit,,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,2.0,East,Version 3,Town,Rural,Rural,Upscale,5401.0
890498.0, Vermont,19.0,Call 2,Complete,Election day exit poll,0.935561895370483,Patrick Leahy,Peter Shumlin,Peter Welch,Female,White,50-59,Independent,Liberal,,Postgraduate study,No,,,Expand it,,,Strongly oppose,Generally going in the right direction,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,Oppose,,Non-Tea Party supporters and Independents/Something else,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,2.0,East,Version 3,Town,Rural,Rural,Upscale,5401.0
874105.0, Vermont,19.0,Call 1,Complete,Election day exit poll,0.980967342853546,Patrick Leahy,Peter Shumlin,Peter Welch,Male,White,25-29,Democrat,Liberal,,College graduate,No,,,Expand it,,,Strongly oppose,Generally going in the right direction,Obama,Non black male,White men,18-29,18-29,18-44,18-29,25-29,White 18-29,College graduate,More than High school graduate,White college degree,,,,,,,,,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,,Oppose,,Non-Tea Party supporters and Democrats,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,2.0,East,Version 3,Town,Rural,Rural,Upscale,5401.0
874046.0, Vermont,19.0,Call 1,Complete,Election day exit poll,0.980967342853546,Patrick Leahy,Peter Shumlin,Peter Welch,Male,Hispanic,25-29,Democrat,Liberal,,College graduate,Yes,,,Expand it,,,Strongly oppose,Seriously off on the wrong track,Obama,Non black male,Latino men,18-29,18-29,18-44,18-29,25-29,Latino 18-29,College graduate,More than High school graduate,Non white college degree,,,,,,,,,Democrat,Democratic Men,Non White Democrats,Liberal Democrats,White,,Oppose,,Non-Tea Party supporters and Democrats,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,2.0,East,Version 3,Town,Rural,Rural,Upscale,5401.0
890293.0, Vermont,19.0,Call 2,Complete,Election day exit poll,0.964824855327606,Patrick Leahy,Peter Shumlin,Peter Welch,Female,White,65 or over,Democrat,Liberal,,Postgraduate study,No,,,Expand it,,,Strongly oppose,Generally going in the right direction,Obama,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,,,,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,,Oppose,,Non-Tea Party supporters and Democrats,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,2.0,East,Version 3,Town,Rural,Rural,Upscale,5401.0
873960.0, Vermont,19.0,Call 1,Complete,Election day exit poll,1.04669260978699,Patrick Leahy,Peter Shumlin,Peter Welch,Male,White,65 or over,Independent,Liberal,,College graduate,No,,,Expand it,,,Strongly oppose,Seriously off on the wrong track,Obama,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,Oppose,,Non-Tea Party supporters and Independents/Something else,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,2.0,East,Version 3,Town,Rural,Rural,Upscale,5401.0
