ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENOH10,GOVOH10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,CHILD,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FORECLOSE,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,HEALTHFAM,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,STIMULUS,TEAPARTY,TEAREAS,TIMESEN10,TRACK,UNIONHH10,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,XTEAPARTYID,DECLINE10,ECONBLAME,NAFTAOH,FORECLOSE2,WRKWOMEN,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
884404.0,Ohio,28.0,Call 2,Complete,Election day exit poll,0.991079866886139,Lee Fisher,Ted Strickland,Male,White,45-49,Independent,Moderate,,High school graduate,No,,,,,,,,,,Expand it,,,,,,Spending to create jobs,,Made no difference,Somewhat oppose,,,Generally going in the right direction,,Omit,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Oppose,,,,Non-Tea Party supporters and Independents/Something else,,Omit,,,,National questionnaire,Suburbs,Suburbs,7.0,4.0,Midwest,Version 3,Suburb,80s Suburbs,Urban Perimeter,Very upscale,43147.0
906454.0,Ohio,101.0,Call 3,Complete,Election day exit poll,1.52443718910217,Rob Portman,Ted Strickland,Male,White,60-64,Independent,Conservative,,College graduate,,,,,,,,,,,Repeal it,,,,,,Reducing the budget deficit,,Made no difference,Somewhat support,,,Seriously off on the wrong track,,Omit,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Support,,,,Tea Party supporters,,George W. Bush,,,,National questionnaire,Suburbs,Suburbs,13.0,2.0,Midwest,Version 3,Suburb,60s Suburbs,Urban Perimeter,Upscale,44319.0
904459.0,Ohio,102.0,Call 3,Complete,Election day exit poll,0.917165398597717,,Ted Strickland,Male,White,50-59,,,,Some college/assoc. degree,No,,I like my candidate but with reservations,Omit,Omit,Worse,,Omit,Angry,,,,,,,,Omit,,,,Omit,,,,Omit,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,Negative,,,,,,,,White,,,,,,,,Taken more jobs from Ohio,,,State questionnaire,Suburbs,Suburbs,14.0,2.0,Midwest,Version 2,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,44221.0
905559.0,Ohio,7.0,Call 3,Complete,Election day exit poll,0.833741366863251,,John Kasich,Female,White,50-59,,,,No high school diploma,No,,I strongly favor my candidate,Unfavorable,Unfavorable,Omit,,To express opposition to Barack Obama,Omit,,,,,,,,Omit,,,,Omit,,,,Omit,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,,Omit,,,,,,,,White,,,,,,,,Omit,,,State questionnaire,Suburbs,Suburbs,1.0,5.0,Midwest,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,45014.0
871489.0,Ohio,92.0,Call 1,Complete,Election day exit poll,1.4768967628479,Other,Other,Female,White,65 or over,Republican,,,,No,,I strongly favor my candidate,Omit,Favorable,Omit,,Omit,"Dissatisfied, but not angry",,,,,,,,Omit,,,,Omit,,,,Omit,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,,,,,,,,,,Negative,,,,Republican,Republican Women,White Republicans,,White,,,,,,,,Had no effect on jobs in Ohio,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,16.0,2.0,Midwest,Version 2,Suburb,Rural,Rural,Upscale,44646.0
870924.0,Ohio,38.0,Call 1,Complete,Election day exit poll,1.10787129402161,,Ted Strickland,Male,White,65 or over,Independent,Moderate,,High school graduate,,,Omit,Omit,Omit,Worse,,Omit,Omit,,,,,,,,Spending to create jobs,,,,Omit,,,,Omit,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,Omit,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,,,,Omit,,,State questionnaire,"Cities over 500,000","Cities over 50,000",15.0,4.0,Midwest,Version 2,Suburb,Urban,Urban Core,Very downscale,43207.0
870066.0,Ohio,102.0,Call 1,Complete,Election day exit poll,1.28825688362122,Rob Portman,Ted Strickland,Male,White,65 or over,,,,Some college/assoc. degree,No,,I like my candidate but with reservations,Omit,Omit,Omit,,To express support for Barack Obama,"Dissatisfied, but not angry",,,,,,,,Spending to create jobs,,,,Omit,,,,Omit,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,,,Negative,,,,,,,,White,,,,,,,,Taken more jobs from Ohio,,,State questionnaire,Suburbs,Suburbs,14.0,2.0,Midwest,Version 2,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,44221.0
884359.0,Ohio,49.0,Call 2,Complete,Election day exit poll,1.32550239562988,Rob Portman,Ted Strickland,Female,White,65 or over,Independent,Moderate,,High school graduate,No,,I strongly favor my candidate,Unfavorable,Unfavorable,Worse,,Barack Obama was not a factor,Angry,,,,,,,,Spending to create jobs,,,,The Tea Party movement was not a factor,,,,Omit,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,Negative,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,,,,Taken more jobs from Ohio,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,5.0,Midwest,Version 2,High Density Urban,Urban,Urban Core,Upscale,45211.0
904088.0,Ohio,18.0,Call 3,Complete,Election day exit poll,0.950269341468811,Lee Fisher,Ted Strickland,Female,Black,45-49,Democrat,Moderate,,High school graduate,No,,I like my candidate but with reservations,Omit,Unfavorable,Worse,,To express support for Barack Obama,"Satisfied, but not enthusiastic",,,,,,,,Reducing the budget deficit,,,,Against the Tea Party movement,,,,Omit,,Black female,Black women,45-65,30-59,45+,45-59,40-49,Black 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,,,Positive,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,,,,,,Created more jobs in Ohio,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",11.0,1.0,Midwest,Version 2,High Density Urban,Urban,Urban Core,Very downscale,44104.0
885470.0,Ohio,84.0,Call 2,Complete,Election day exit poll,0.905024886131287,Lee Fisher,Ted Strickland,Female,White,18-24,Democrat,Moderate,,High school graduate,No,,I like my candidate but with reservations,Favorable,Unfavorable,Better,,To express support for Barack Obama,"Satisfied, but not enthusiastic",,,,,,,,Reducing the budget deficit,,,,Omit,,,,Omit,,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,High school graduate or less,White no college degree,,,,,,,Positive,,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,,,,,,,Had no effect on jobs in Ohio,,,State questionnaire,Suburbs,Suburbs,7.0,4.0,Midwest,Version 2,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,43113.0
