ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENWI10,GOVWI10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,CHILD,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,QUALSEN10,RELIGN10,TEAPARTY,TIMESEN10,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,REL5,WHITEREL,TEAPARENTS,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,XTEAPARTYID,FEINLIB,JOHNMONEY,JOHNMONEY2,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
899216.0,Wisconsin,1.0,Call 2,Not complete,Election day exit poll,1.32133197784424,Russ Feingold,Tom Barrett,Female,White,65 or over,,,,High school graduate,No,,,,,,,,,,,,,Has the right experience,,,In the last three days,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,White,,,,,In the last month,In the last week,,,,,,State questionnaire,Rural,Small Cities/Rural,7.0,5.0,Midwest,Version 1,Low Density Rural,Rural,Rural,Downscale,54868.0
913441.0,Wisconsin,26.0,Call 3,Not complete,Election day exit poll,1.24817967414856,Russ Feingold,Tom Barrett,Male,White,,,,,College graduate,No,,,,,,,,,,,,,Has the right experience,,,Before that,,,Non black male,White men,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,Before that,In the last month or earlier,,,,,,State questionnaire,Suburbs,Suburbs,7.0,5.0,Midwest,Version 1,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,54864.0
894819.0,Wisconsin,59.0,Call 2,Not complete,Election day exit poll,0.85306042432785,Russ Feingold,Tom Barrett,Female,Hispanic,50-59,,,,Some college/assoc. degree,Yes,,,,,,,,,,,,,Has the right experience,,,Before that,,,Non black female,Latino women,45-65,30-59,45+,45-59,50-64,Latino 45-54,No college degree,More than High school graduate,Non white no college degree,,,,,,,,,,,,,,,Hispanic/Latino,,,,,Before that,In the last month or earlier,,,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,1.0,Midwest,Version 1,Extremely High Density Urban,Urban,Urban Core,Very downscale,53204.0
894805.0,Wisconsin,40.0,Call 2,Not complete,Election day exit poll,1.2229790687561,Russ Feingold,Tom Barrett,Male,White,60-64,,,,College graduate,No,,,,,,,,,,,,,Has the right experience,,,Before that,,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,Before that,In the last month or earlier,,,,,,State questionnaire,Rural,Small Cities/Rural,8.0,4.0,Midwest,Version 1,Low Density Rural,Rural,Rural,Very downscale,54201.0
878676.0,Wisconsin,64.0,Call 1,Not complete,Election day exit poll,0.653300285339355,Russ Feingold,Tom Barrett,Female,Black,65 or over,,,,No high school diploma,No,,,,,,,,,,,,,Understands the needs of people like me,,,Before that,,,Black female,Black women,65+,60+,45+,60+,65+,Black 65+,No college degree,High school graduate or less,Non white no college degree,,,,,,,,,,,,,,,Black,,,,,Before that,In the last month or earlier,,,,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,Midwest,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,53154.0
880014.0,Wisconsin,66.0,Call 1,Not complete,Election day exit poll,0.463164448738098,Russ Feingold,Tom Barrett,Male,White,50-59,,,,College graduate,No,,,,,,,,,,,,,Can bring needed change,,,Before that,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,Before that,In the last month or earlier,,,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,1.0,Midwest,Version 1,High Density Urban,Urban,Urban Core,Upscale,53222.0
878324.0,Wisconsin,40.0,Call 1,Not complete,Election day exit poll,1.2229790687561,Russ Feingold,Tom Barrett,Male,White,65 or over,,,,Postgraduate study,No,,,,,,,,,,,,,Understands the needs of people like me,,,Before that,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,Before that,In the last month or earlier,,,,,,State questionnaire,Rural,Small Cities/Rural,8.0,4.0,Midwest,Version 1,Low Density Rural,Rural,Rural,Very downscale,54201.0
878170.0,Wisconsin,40.0,Call 1,Not complete,Election day exit poll,1.2229790687561,Russ Feingold,Tom Barrett,Male,White,60-64,,,,Some college/assoc. degree,No,,,,,,,,,,,,,Has the right experience,,,Before that,,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,White,,,,,Before that,In the last month or earlier,,,,,,State questionnaire,Rural,Small Cities/Rural,8.0,4.0,Midwest,Version 1,Low Density Rural,Rural,Rural,Very downscale,54201.0
882657.0,Wisconsin,105.0,Call 1,Not complete,Election day exit poll,1.1586754322052,Russ Feingold,Tom Barrett,Male,Black,25-29,,,,Postgraduate study,,,,,,,,,,,,,,Understands the needs of people like me,,,In the last week,,,Black male,Black men,18-29,18-29,18-44,18-29,25-29,Black 18-29,College graduate,More than High school graduate,Non white college degree,,,,,,,,,,,,,,,Black,,,,,In the last month,In the last week,,,,,,State questionnaire,Suburbs,Suburbs,5.0,2.0,Midwest,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale,53051.0
877200.0,Wisconsin,101.0,Call 1,Not complete,Election day exit poll,1.22617506980896,Russ Feingold,Tom Barrett,Male,White,65 or over,,,,,No,,,,,,,,,,,,,,,,,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,,,,,,,,,,,,,,,,,,White,,,,,,,,,,,,National questionnaire,Suburbs,Suburbs,5.0,2.0,Midwest,Version 1,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,53040.0
