ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENWV10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,SENCNTL,TEAPARTY,TIMESEN10,UNIONHH10,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,WHTEVANG,XTEAPARTYID,COALHH,GUNOWNER,MANCHJOB,MANCHJOB2,WRKWOMEN,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
874774.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.727133870124817,Joe Manchin,Male,White,50-59,Democrat,Moderate,,Some college/assoc. degree,No,Yes,I like my candidate but with reservations,Favorable,Unfavorable,About the same,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,Spending to create jobs,,Does not matter to me,,,Yes,Didn't vote,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,Negative,,,,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,,,,,White Born-again/Evangelical Christians,,,Yes,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
875301.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.866888761520386,John Raese,Male,White,30-39,Independent,Moderate,,Some college/assoc. degree,No,Yes,I strongly favor my candidate,Unfavorable,Favorable,Worse,To express opposition to Barack Obama,Angry,,,,,,Reducing the budget deficit,,The Republican Party,,,No,Didn't vote,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,,,,,,Negative,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,White Born-again/Evangelical Christians,,,Yes,Somewhat disapprove,Disapprove,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
874888.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.727133870124817,Joe Manchin,Male,White,45-49,Republican,Moderate,,Postgraduate study,No,No,I like my candidate but with reservations,Unfavorable,Favorable,Worse,Barack Obama was not a factor,Angry,,,,,,Reducing the budget deficit,,The Republican Party,,,No,McCain,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,,,,,All others,,,Yes,Strongly approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
908816.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.866888761520386,John Raese,Male,White,50-59,Republican,Conservative,,High school graduate,No,Yes,I strongly favor my candidate,Unfavorable,Favorable,About the same,To express opposition to Barack Obama,Angry,,,,,,Reducing the budget deficit,,The Republican Party,,,No,McCain,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,Negative,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,,,White Born-again/Evangelical Christians,,,Yes,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
908676.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.832682013511658,John Raese,Female,White,50-59,Republican,Moderate,,Some college/assoc. degree,No,Yes,I like my candidate but with reservations,Omit,Favorable,About the same,To express opposition to Barack Obama,"Satisfied, but not enthusiastic",,,,,,Spending to create jobs,,The Republican Party,,,Yes,McCain,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,Positive,,,,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,,White Born-again/Evangelical Christians,,,Yes,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
908543.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.866888761520386,John Raese,Male,White,50-59,Republican,Liberal,,High school graduate,No,No,I like my candidate but with reservations,Unfavorable,Favorable,Worse,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,Spending to create jobs,,The Republican Party,,,Yes,McCain,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,Negative,,,,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,,,,,All others,,,Yes,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
876047.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.962486803531647,John Raese,Female,White,65 or over,Independent,Moderate,,Some college/assoc. degree,No,No,I strongly favor my candidate,Unfavorable,Favorable,About the same,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,Reducing the budget deficit,,The Republican Party,,,No,McCain,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,,Negative,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,All others,,,Yes,Strongly approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
875376.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.866888761520386,John Raese,Male,White,50-59,Republican,Conservative,,Some college/assoc. degree,No,No,I like my candidate but with reservations,Unfavorable,Favorable,Worse,To express opposition to Barack Obama,Angry,,,,,,Spending to create jobs,,The Republican Party,,,No,McCain,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,Negative,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,,,All others,,,Yes,Strongly approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
875212.0,West Virginia,71.0,Call 1,Complete,Election day exit poll,0.866888761520386,John Raese,Male,White,50-59,Independent,Conservative,,College graduate,No,No,I like my candidate but with reservations,Unfavorable,Favorable,Worse,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,Reducing the budget deficit,,The Republican Party,,,No,McCain,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,All others,,,Yes,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
907279.0,West Virginia,71.0,Call 3,Complete,Election day exit poll,0.832682013511658,John Raese,Female,White,50-59,Republican,Moderate,,Some college/assoc. degree,No,Yes,I like my candidate but with reservations,Omit,Favorable,About the same,To express opposition to Barack Obama,"Satisfied, but not enthusiastic",,,,,,Spending to create jobs,,The Republican Party,,,Yes,McCain,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,Positive,,,,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,,White Born-again/Evangelical Christians,,,Yes,Somewhat approve,Approve,,State questionnaire,Suburbs,Suburbs,1.0,2.0,East,Version 2,Town,60s Suburbs,Urban Perimeter,Downscale,26767.0
