ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,GOVTX10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,CHILD,DESCRIBG10,FAVDEM2,FAVREP2,FAVPALIN2,FAVROMN2,FINSIT2,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,PRIORITY,STIMULUS,TEAPARTY,TIMEGOV10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,TIMEGOVMTH,TIMEGOVWK,WHNCLINC,WHTEVANG,XTEAPARTYID,FAVBUSH,IMMDEPORT,IMMLAW,LATINOS,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
865428.0,Texas,50005.0,,Complete,Telephone survey,1.46123969554901,Bill White,Male,Hispanic,50-59,Something else,Conservative,"$50,000-$74,999",No high school diploma,Yes,,,,,,,,About the same,"Satisfied, but not enthusiastic",,,The economy,,,,,,,,Non black male,Latino men,45-65,30-59,45+,45-59,50-64,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,,Positive,The economy,,,Independent/Something else,Independent Men,All others,Independents/Something else,Hispanic/Latino,,,,,No,,,,,,Yes,National questionnaire,English,Suburbs,Suburbs,,6.0,South,Version 2,Low Density Rural,,Urban Perimeter,Downscale,79928.0
863573.0,Texas,50151.0,,Complete,Telephone survey,0.703611612319946,Rick Perry,Female,White,65 or over,Independent,Conservative,"$50,000-$74,999",College graduate,No,,No,I like my candidate but with reservations,,,,,,,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Very worried,Strongly disapprove,,Hurt the economy,Strongly support,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Women without children,,The economy,Worried,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Do not have children,Support,,,No,,Tea Party supporters,,,The federal government,No,State questionnaire,English,Suburbs,Suburbs,26.0,2.0,South,Version 1,Suburb,,High-Growth Suburban Perimeter,Upscale,76210.0
863418.0,Texas,50100.0,,Complete,Telephone survey,0.781860709190369,Bill White,Female,White,65 or over,Democrat,Moderate,,Some college/assoc. degree,No,,No,I strongly favor my candidate,,,,,,,Government should do more to solve problems,Leave it as is,The war in Afghanistan,Somewhat worried,Strongly approve,,Omit,Strongly oppose,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,,Women without children,,Something else,Worried,Approve,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,Do not have children,Oppose,,,,,Non-Tea Party supporters and Democrats,,,State government,No,State questionnaire,English,Suburbs,Suburbs,17.0,5.0,South,Version 1,Low Density Rural,,Low-Growth Suburban Perimeter,Upscale,76033.0
863784.0,Texas,50151.0,,Complete,Telephone survey,2.01632046699524,Bill White,Male,Black,45-49,Independent,Conservative,,High school graduate,No,Yes,No,,Favorable,Unfavorable,Unfavorable,Omit,About the same,"Dissatisfied, but not angry",,,,,,Spending to create jobs,,,Before that,Obama,Black male,Black men,45-65,30-59,45+,45-59,40-49,Black 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,,Men without children,Negative,,,,Independent/Something else,Independent Men,All others,Independents/Something else,Black,,,Before that,In the last month or earlier,,All others,,Unfavorable,Offered a chance to apply for legal status,,No,State questionnaire,English,Suburbs,Suburbs,26.0,2.0,South,Version 2,Suburb,,High-Growth Suburban Perimeter,Upscale,76210.0
863970.0,Texas,50151.0,,Complete,Telephone survey,2.04818296432495,Rick Perry,Male,White,50-59,Independent,Conservative,,Some college/assoc. degree,No,Yes,No,,Unfavorable,Favorable,Favorable,Favorable,Worse,Angry,,,,,,Cutting taxes,,,Before that,McCain,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,Men without children,Negative,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,Before that,In the last month or earlier,,White Born-again/Evangelical Christians,,Favorable,Deported to the country they came from,,No,State questionnaire,English,Suburbs,Suburbs,26.0,2.0,South,Version 2,Suburb,,High-Growth Suburban Perimeter,Upscale,76210.0
865794.0,Texas,50100.0,,Complete,Telephone survey,1.2146134376525901,Rick Perry,Female,White,30-39,Republican,Conservative,,High school graduate,No,,,,,,,,,,,Repeal it,,,,Omit,Hurt the economy,Omit,,McCain,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,Omit,,,,,,,,,No,National questionnaire,Spanish,Suburbs,Suburbs,17.0,5.0,South,Version 3,Low Density Rural,,Low-Growth Suburban Perimeter,Upscale,76033.0
863985.0,Texas,50137.0,,Complete,Telephone survey,0.342838704586029,Bill White,Male,Hispanic,65 or over,Democrat,Moderate,,No high school diploma,Yes,Yes,No,,Favorable,Favorable,Favorable,Favorable,Worse,"Satisfied, but not enthusiastic",,,,,,Spending to create jobs,,,In the last month,Other,Non black male,Latino men,65+,60+,45+,60+,65+,Latino 65+,No college degree,High school graduate or less,Non white no college degree,,,,,,Men without children,Positive,,,,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,American Indian,,,In the last month,In the last month or earlier,,All others,,Favorable,Offered a chance to apply for legal status,,Yes,State questionnaire,English,Suburbs,Suburbs,23.0,6.0,South,Version 2,Low Density Rural,,Urban Perimeter,Downscale,79928.0
879260.0,Texas,115.0,Call 1,Not complete,Election day exit poll,0.594918251037598,Bill White,Female,White,18-24,,,,,No,,,,,,,,,,,,,,,,,,,,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,,,,,,,,,,,,,,,,,,White,,,,,,,,,,,No,National questionnaire,English,Rural,Small Cities/Rural,19.0,5.0,South,Version 2,Extremely Low Density Rural,Rural,Rural,Downscale,76450.0
878503.0,Texas,115.0,Call 1,Complete,Election day exit poll,0.627689480781555,Bill White,Female,White,65 or over,Independent,Conservative,"Under $30,000",Some college/assoc. degree,No,Yes,No,,Unfavorable,Omit,,,,,,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Women without children,,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,Yes,White Born-again/Evangelical Christians,,,,,No,National questionnaire,English,Rural,Small Cities/Rural,19.0,5.0,South,Version 4,Extremely Low Density Rural,Rural,Rural,Downscale,76450.0
866231.0,Texas,50000.0,,Complete,Telephone survey,1.5734828710556,Rick Perry,Male,Other,40-44,Republican,Conservative,"$75,000-$99,999",Some college/assoc. degree,No,Yes,Yes,,Unfavorable,Omit,,,,,,,,,,,,,,,Non black male,All other races,30-44,30-59,18-44,30-44,40-49,Other,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,Dads - Men with children,,,,,Republican,Republican Men,All others,Conservative Republicans,Other,,,,,No,All others,,,,,No,National questionnaire,English,"Cities 10,000-50,000",Small Cities/Rural,,1.0,South,Version 4,Low Density Rural,Rural,Rural,Downscale,75803.0
