ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENDE10,HOUDE10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,DESCRIBS10,FAVDEM2,FAVREP2,FAVPALIN2,FAVROMN2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,QUALSEN10,TEAPARTY,TEAREAS,UNFAIRDE10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,UNFAIRCOONS,UNFAIRODON,WHNCLINC,XTEAPARTYID,CASTCOONS,FAVBIDEN2,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
866023.0,Delaware,50000.0,,Complete,Telephone survey,0.0,Christopher Coons,John Carney,Male,Black,50-59,Democrat,Liberal,"$30,000-$49,999",Some college/assoc. degree,No,,Favorable,Unfavorable,,,,,,,,,,,,,,,,Black male,Black men,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,,,,Democrat,Democratic Men,Non White Democrats,Liberal Democrats,Black,,,,No,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",,1.0,East,Version 4,High Density Urban,Urban,Urban Core,Very downscale,19801.0
870692.0,Delaware,43.0,Call 1,Complete,Election day exit poll,0.638383209705353,Christopher Coons,John Carney,Female,Black,45-49,Democrat,Moderate,"$100,000-$199,999",Some college/assoc. degree,No,,,,,,,,,Government should do more to solve problems,,Health care,Not too worried,Strongly approve,,Strongly oppose,,,Obama,Black female,Black women,45-65,30-59,45+,45-59,40-49,Black 45-54,No college degree,More than High school graduate,Non white no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,,Something else,Not worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,Oppose,,,No,Non-Tea Party supporters and Democrats,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,19720.0
869993.0,Delaware,43.0,Call 1,Complete,Election day exit poll,0.640653669834137,Christopher Coons,John Carney,Female,White,50-59,Something else,Conservative,"$50,000-$74,999",Some college/assoc. degree,No,,,,,,,,,Government should do more to solve problems,,The economy,Not too worried,Strongly approve,,Strongly oppose,,,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,The economy,Not worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Oppose,,,No,Non-Tea Party supporters and Independents/Something else,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,19720.0
870783.0,Delaware,43.0,Call 1,Complete,Election day exit poll,0.640653669834137,Christopher Coons,John Carney,Female,White,50-59,Democrat,Moderate,"$100,000-$199,999",Some college/assoc. degree,No,,,,,,,,,Government should do more to solve problems,,Omit,Very worried,Strongly approve,,Strongly oppose,,,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,Omit,Worried,Approve,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,Oppose,,,No,Non-Tea Party supporters and Democrats,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,19720.0
870237.0,Delaware,43.0,Call 1,Complete,Election day exit poll,0.640653669834137,Christopher Coons,John Carney,Female,White,50-59,Democrat,Liberal,"$100,000-$199,999",Postgraduate study,No,,,,,,,,,Government should do more to solve problems,,Health care,Somewhat worried,Strongly approve,,Strongly oppose,,,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,Something else,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Oppose,,,No,Non-Tea Party supporters and Democrats,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,19720.0
870127.0,Delaware,43.0,Call 1,Complete,Election day exit poll,0.640653669834137,Christopher Coons,John Carney,Female,White,40-44,Republican,Moderate,"$50,000-$74,999",Postgraduate study,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,,The economy,Very worried,Somewhat disapprove,,Somewhat oppose,,,Obama,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,The economy,Worried,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,Oppose,,,No,Non-Tea Party supporters and Republicans,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,19720.0
869930.0,Delaware,43.0,Call 1,Complete,Election day exit poll,0.719122231006622,Christopher Coons,John Carney,Male,White,50-59,Democrat,Liberal,"$100,000-$199,999",College graduate,No,,,,,,,,,Government should do more to solve problems,,The economy,Not too worried,Strongly approve,,Strongly oppose,,,Obama,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,The economy,Not worried,Approve,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,Oppose,,,No,Non-Tea Party supporters and Democrats,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,19720.0
869831.0,Delaware,43.0,Call 1,Not complete,Election day exit poll,0.719122231006622,Christopher Coons,John Carney,Male,White,50-59,,,,,No,,,,,,,,,,,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,,,,,,,,,,,,,,,,,White,,,,,,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,19720.0
870892.0,Delaware,43.0,Call 1,Not complete,Election day exit poll,0.719122231006622,Christopher Coons,John Carney,Male,White,50-59,,,,,No,,,,,,,,,,,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,,,,,,,,,,,,,,,,,White,,,,,,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,19720.0
870606.0,Delaware,43.0,Call 1,Complete,Election day exit poll,0.719122231006622,Christopher Coons,John Carney,Male,White,50-59,Independent,Moderate,"$100,000-$199,999",College graduate,No,,,,,,,,,Government should do more to solve problems,,The economy,Somewhat worried,Somewhat approve,,Strongly oppose,,,Obama,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,The economy,Worried,Approve,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Oppose,,,No,Non-Tea Party supporters and Independents/Something else,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,19720.0
