ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENAR10,GOVAR10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,CHILD,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,PRIORITY,STIMULUS,TEAPARTY,TIMESEN10,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,WHTEVANG,XTEAPARTYID,FAVBCLIN,LINCLIB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
859466.0,Arkansas,50006.0,,Complete,Telephone survey,1.68082940578461,John Boozman,Jim Keet,Male,White,60-64,Independent,Conservative,,College graduate,No,Yes,No,,,,,,,Government is doing too many things better left to businesses and individuals,Repeal it,Illegal immigration,Very worried,Strongly disapprove,,Made no difference,Strongly support,Before that,,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Men without children,,Something else,Worried,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Do not have children,Support,Before that,In the last month or earlier,,White Born-again/Evangelical Christians,Tea Party supporters,,,State questionnaire,Suburbs,Suburbs,2.0,2.0,South,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,72034.0
859455.0,Arkansas,50006.0,,Complete,Telephone survey,2.20801496505737,John Boozman,Mike Beebe,Female,White,60-64,Republican,Conservative,"$75,000-$99,999",Some college/assoc. degree,No,No,No,,,,,,,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Somewhat worried,Strongly disapprove,,Hurt the economy,Somewhat support,Before that,,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Women without children,,The economy,Worried,Disapprove,Republican,Republican Women,White Republicans,Conservative Republicans,White,Do not have children,Support,Before that,In the last month or earlier,No,All others,Tea Party supporters,,,State questionnaire,Suburbs,Suburbs,2.0,2.0,South,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,72034.0
859274.0,Arkansas,50006.0,,Complete,Telephone survey,1.61257565021515,John Boozman,Jim Keet,Female,Black,30-39,Independent,Conservative,"$50,000-$74,999",Postgraduate study,No,Yes,Yes,,,,,,,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Somewhat worried,Somewhat disapprove,,Hurt the economy,Somewhat support,Before that,,,Black female,Black women,30-44,30-59,18-44,30-44,30-39,Black 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,Moms - Women with children,,The economy,Worried,Disapprove,Independent/Something else,Independent Women,All others,Independents/Something else,Black,Tea Party supporters and Moms,Support,Before that,In the last month or earlier,No,All others,Tea Party supporters,,,State questionnaire,Suburbs,Suburbs,2.0,2.0,South,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,72034.0
859433.0,Arkansas,50006.0,,Complete,Telephone survey,2.20801496505737,John Boozman,Mike Beebe,Female,White,65 or over,Independent,Conservative,"$75,000-$99,999",Postgraduate study,No,Yes,No,,,,,,,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Somewhat worried,Somewhat disapprove,,Made no difference,Neutral,Before that,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Women without children,,The economy,Worried,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Do not have children,Neutral,Before that,In the last month or earlier,No,White Born-again/Evangelical Christians,Non-Tea Party supporters and Independents/Something else,,,State questionnaire,Suburbs,Suburbs,2.0,2.0,South,Version 1,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,72034.0
859577.0,Arkansas,50006.0,,Complete,Telephone survey,1.74697136878967,John Boozman,Jim Keet,Male,White,60-64,Independent,Moderate,,Some college/assoc. degree,No,,No,I strongly favor my candidate,Favorable,Unfavorable,Worse,Barack Obama was not a factor,Enthusiastic,,,,,,Cutting taxes,,,,No,Obama,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,Men without children,Positive,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,,,,Favorable,About right,State questionnaire,Suburbs,Suburbs,2.0,2.0,South,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,72034.0
859539.0,Arkansas,50006.0,,Complete,Telephone survey,2.10281300544739,Blanche Lincoln,Mike Beebe,Female,White,65 or over,Democrat,Moderate,,Postgraduate study,No,,No,I like my candidate but with reservations,Favorable,Unfavorable,About the same,Barack Obama was not a factor,"Satisfied, but not enthusiastic",,,,,,Reducing the budget deficit,,,,No,Obama,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,Women without children,Positive,,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,,,,,,,Favorable,Omit,State questionnaire,Suburbs,Suburbs,2.0,2.0,South,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,72034.0
859579.0,Arkansas,50006.0,,Complete,Telephone survey,2.02302145957947,Blanche Lincoln,Mike Beebe,Male,Black,50-59,Independent,Conservative,,High school graduate,No,,No,I dislike the other candidate,Unfavorable,Unfavorable,Worse,Barack Obama was not a factor,"Dissatisfied, but not angry",,,,,,Spending to create jobs,,,,No,Obama,Black male,Black men,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,,Men without children,Negative,,,,Independent/Something else,Independent Men,All others,Independents/Something else,Black,,,,,,,,Unfavorable,About right,State questionnaire,Suburbs,Suburbs,2.0,2.0,South,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,72034.0
859519.0,Arkansas,50006.0,,Complete,Telephone survey,2.08865809440613,John Boozman,Mike Beebe,Female,White,50-59,Something else,Conservative,,College graduate,No,,Yes,I like my candidate but with reservations,Unfavorable,Favorable,Worse,Barack Obama was not a factor,Angry,,,,,,Reducing the budget deficit,,,,No,McCain,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Moms - Women with children,Negative,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,,,,Unfavorable,Too liberal,State questionnaire,Suburbs,Suburbs,2.0,2.0,South,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,72034.0
859540.0,Arkansas,50006.0,,Complete,Telephone survey,1.74455273151398,John Boozman,Jim Keet,Female,White,60-64,Independent,Conservative,,Some college/assoc. degree,No,,No,I dislike the other candidate,Unfavorable,Favorable,About the same,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,Reducing the budget deficit,,,,No,McCain,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,Women without children,Negative,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,,,,Unfavorable,About right,State questionnaire,Suburbs,Suburbs,2.0,2.0,South,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,72034.0
897475.0,Arkansas,53.0,Call 2,Not complete,Election day exit poll,0.871026456356049,Blanche Lincoln,,Male,Black,30-39,,,,,No,,,,,,,,,Omit,,,,,,,,In the last three days,,,Black male,Black men,30-44,30-59,18-44,30-44,30-39,Black 30-44,,,,,,,,,,,,,,,,,,Black,,,In the last month,In the last week,,,,,,State questionnaire,Rural,Small Cities/Rural,4.0,5.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,72104.0
