ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENPA10,GOVPA10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,CHILD,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,HEALTHFAM,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,RELIGN10,SENCNTL,TEAPARTY,TEAREAS,TIMESEN10,TRACK,UNIONHH10,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,REL5,WHITEREL,TEAPARENTS,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,XTEAPARTYID,PRINCIPLES,SAMESEXM,SPECTOOM,WRKWOMEN,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
891045.0,Pennsylvania,106.0,Call 2,Complete,Election day exit poll,0.907871961593628,Pat Toomey,Tom Corbett,Female,White,60-64,,,,High school graduate,No,,Omit,Omit,Omit,About the same,Omit,Omit,,,,,,,,Omit,,,Omit,,Omit,,,,Omit,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,,Omit,,,,,,,,White,,,,,,,,,Omit,No,,,State questionnaire,Suburbs,Suburbs,12.0,5.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale
910849.0,Pennsylvania,3.0,Call 3,Complete,Election day exit poll,1.3444629907608,Pat Toomey,Tom Corbett,Female,White,,Republican,,,College graduate,No,,I dislike the other candidate,Unfavorable,Favorable,Worse,Omit,Omit,,,,,,,,Omit,,,The Republican Party,,Omit,,,,Omit,,Non black female,White women,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,,Omit,,,,Republican,Republican Women,White Republicans,,White,,,,,,,,,Stick to their principles no matter what,No,,,State questionnaire,Suburbs,Suburbs,18.0,5.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale
865758.0,Pennsylvania,50014.0,,Complete,Telephone survey,0.0,Joe Sestak,Dan Onorato,Male,White,,Democrat,Moderate,,High school graduate,No,,,,,,,,,Repeal it,,,,,,Spending to create jobs,,,,Neutral,,,Omit,,Omit,,Non black male,White men,,,,,,,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,,,,Neutral,,,,Non-Tea Party supporters and Democrats,,No,,,National questionnaire,Rural,Small Cities/Rural,3.0,5.0,East,Version 3,Low Density Rural,Rural,Rural,Downscale
890791.0,Pennsylvania,106.0,Call 2,Complete,Election day exit poll,0.587308466434479,Joe Sestak,Tom Corbett,Female,White,65 or over,,Moderate,,High school graduate,No,,Omit,Omit,Omit,Omit,Barack Obama was not a factor,"Dissatisfied, but not angry",,,,,,,,Spending to create jobs,,,Omit,,Against the Tea Party movement,,,,Omit,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,Negative,,,,,,,,White,,,,,,,,,Make compromises to get things done,No,,,State questionnaire,Suburbs,Suburbs,12.0,5.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale
913638.0,Pennsylvania,49.0,Call 3,Complete,Election day exit poll,0.810128450393677,Joe Sestak,Dan Onorato,Female,Other,45-49,Democrat,Moderate,,Postgraduate study,No,,,,,,,,,Leave it as is,,,,,,Reducing the budget deficit,,,,Strongly oppose,,,Seriously off on the wrong track,,Omit,,Non black female,All other races,45-65,30-59,45+,45-59,40-49,Other,College graduate,More than High school graduate,Non white college degree,,,,,,,,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Other,,,,Oppose,,,,Non-Tea Party supporters and Democrats,,No,,,National questionnaire,Suburbs,Suburbs,7.0,2.0,East,Version 3,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale
909601.0,Pennsylvania,72.0,Call 3,Complete,Election day exit poll,0.838907063007355,Pat Toomey,Tom Corbett,Male,Hispanic,50-59,Republican,Conservative,,Some college/assoc. degree,Yes,,I like my candidate but with reservations,Unfavorable,Favorable,Worse,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,,,Reducing the budget deficit,,,The Republican Party,,The Tea Party movement was not a factor,,,,Omit,,Non black male,Latino men,45-65,30-59,45+,45-59,50-64,Latino 45-54,No college degree,More than High school graduate,Non white no college degree,,,,,,,Negative,,,,Republican,Republican Men,All others,Conservative Republicans,White,,,,,,,,,Stick to their principles no matter what,No,,,State questionnaire,Suburbs,Suburbs,10.0,3.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale
908841.0,Pennsylvania,72.0,Call 3,Complete,Election day exit poll,0.933828711509705,Joe Sestak,Dan Onorato,Female,White,40-44,Republican,Moderate,,Postgraduate study,No,,Omit,Favorable,Omit,About the same,Omit,"Dissatisfied, but not angry",,,,,,,,Reducing the budget deficit,,,Omit,,Omit,,,,Omit,,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,,Negative,,,,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,,,,,,Stick to their principles no matter what,Yes,,,State questionnaire,Suburbs,Suburbs,10.0,3.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale
909260.0,Pennsylvania,3.0,Call 3,Complete,Election day exit poll,1.0734384059906,,Tom Corbett,Male,White,65 or over,Democrat,Conservative,"$50,000-$74,999",Some college/assoc. degree,No,,,,,,,Angry,,,You will be worse off,,,,Strongly disapprove,,Can bring needed change,Catholic,,Somewhat support,,,Seriously off on the wrong track,,Omit,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,Negative,,,Disapprove,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,Catholic,Catholic,,Support,,,No,Tea Party supporters,,,Pat Toomey,,State questionnaire,Suburbs,Suburbs,18.0,5.0,East,Version 3,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale
890524.0,Pennsylvania,94.0,Call 2,Not complete,Election day exit poll,0.856923758983612,Joe Sestak,,Female,Black,,,,,,No,,I strongly favor my candidate,,,,,,,,,,,,,,,,Omit,,,,,,Omit,,Black female,Black women,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",2.0,1.0,East,Version 2,Extremely High Density Urban,Urban,Urban Core,Very downscale
890411.0,Pennsylvania,22.0,Call 2,Complete,Election day exit poll,0.699506163597107,Joe Sestak,,Female,White,65 or over,Republican,Moderate,"Under $30,000",Postgraduate study,No,,,,,,,"Dissatisfied, but not angry",,,You will be worse off,,,,Somewhat approve,,Can bring needed change,Protestant,,Omit,,,Seriously off on the wrong track,,Omit,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,Negative,,,Approve,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,Protestant/Other Non-Catholic Christian,Protestant/Other Christian,,Omit,,,No,,,,Omit,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,9.0,4.0,East,Version 3,Town,Rural,Rural,Very downscale
