ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENLA10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,TEAPARTY,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,WHNCLINC,XTEAPARTYID,FAVMELAN,FAVVITTER,HURRICANE,OILSPILL,HURRICANE2,OILSPILL2,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
914060.0, Louisiana,15.0,Call 3,Complete,Election day exit poll,1.11628246307373,,Female,Black,40-44,Something else,,,College graduate,No,,,,,,,,Black female,Black women,30-44,30-59,18-44,30-44,40-49,Black 30-44,College graduate,More than High school graduate,Non white college degree,,,,,,,,,Independent/Something else,Independent Women,All others,Independents/Something else,Black,,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,2.0,South,Version 4,Low Density Rural,Urban,Urban Core,Upscale,70607.0
914684.0, Louisiana,15.0,Call 3,Complete,Election day exit poll,0.992522358894348,,Female,White,65 or over,Republican,,,High school graduate,No,,Repeal it,,,,Strongly support,Didn't vote,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,,,Republican,Republican Women,White Republicans,,White,Support,,Tea Party supporters,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,2.0,South,Version 3,Low Density Rural,Urban,Urban Core,Upscale,70607.0
893425.0, Louisiana,15.0,Call 2,Complete,Election day exit poll,1.27319288253784,,Female,Hispanic,60-64,Something else,,,Postgraduate study,Yes,,Expand it,,,,Strongly oppose,Omit,Non black female,Latino women,45-65,60+,45+,60+,50-64,Latino 45-54,College graduate,More than High school graduate,Non white college degree,,,,,,,,,Independent/Something else,Independent Women,All others,Independents/Something else,Black,Oppose,,Non-Tea Party supporters and Independents/Something else,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,2.0,South,Version 3,Low Density Rural,Urban,Urban Core,Upscale,70607.0
875397.0, Louisiana,95.0,Call 1,Complete,Election day exit poll,0.803263604640961,,Female,Hispanic,45-49,Democrat,Liberal,"$100,000-$199,999",High school graduate,Yes,Government should do more to solve problems,,The war in Afghanistan,Very worried,Somewhat approve,Somewhat support,Obama,Non black female,Latino women,45-65,30-59,45+,45-59,40-49,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,Something else,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,White,Support,No,Tea Party supporters,,,,,,,National questionnaire,Suburbs,Suburbs,1.0,4.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,70433.0
914768.0, Louisiana,15.0,Call 3,Complete,Election day exit poll,0.992522358894348,,Female,White,65 or over,Democrat,Moderate,,High school graduate,No,,Leave it as is,,,,Strongly oppose,Omit,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,Oppose,,Non-Tea Party supporters and Democrats,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,2.0,South,Version 3,Low Density Rural,Urban,Urban Core,Upscale,70607.0
893366.0, Louisiana,95.0,Call 2,Complete,Election day exit poll,0.803263604640961,,Female,White,45-49,Republican,Conservative,"Under $30,000",Some college/assoc. degree,No,,,The economy,,,,,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,The economy,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,Yes,,,,,,,,National questionnaire,Suburbs,Suburbs,1.0,4.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,70433.0
875017.0, Louisiana,15.0,Call 1,Complete,Election day exit poll,1.0163049697876,,Male,White,18-24,Independent,Liberal,,Postgraduate study,No,,Expand it,,,,Somewhat support,Other,Non black male,White men,18-29,18-29,18-44,18-29,18-24,White 18-29,College graduate,More than High school graduate,White college degree,,,,,,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Support,,Tea Party supporters,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,2.0,South,Version 3,Low Density Rural,Urban,Urban Core,Upscale,70607.0
875725.0, Louisiana,95.0,Call 1,Complete,Election day exit poll,0.916174471378326,,Female,White,65 or over,Democrat,Moderate,"$50,000-$74,999",Some college/assoc. degree,No,,,The economy,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,The economy,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,No,,,,,,,,National questionnaire,Suburbs,Suburbs,1.0,4.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,70433.0
874739.0, Louisiana,71.0,Call 1,Complete,Election day exit poll,1.08516836166382,Did not vote,Male,White,50-59,Something else,Conservative,"$75,000-$99,999",Postgraduate study,No,Government is doing too many things better left to businesses and individuals,Repeal it,Illegal immigration,Very worried,Strongly disapprove,Strongly support,McCain,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Something else,Worried,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Support,No,Tea Party supporters,Unfavorable,Unfavorable,No severe hardship,No severe hardship,No severe hardship,No severe hardship,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,1.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,71203.0
894202.0, Louisiana,86.0,Call 2,Complete,Election day exit poll,1.5537269115448,Did not vote,Female,Black,65 or over,Democrat,Liberal,,,No,Government should do more to solve problems,Expand it,The economy,Very worried,Strongly approve,Strongly oppose,Obama,Black female,Black women,65+,60+,45+,60+,65+,Black 65+,,,,,,,,,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Black,Oppose,,Non-Tea Party supporters and Democrats,Unfavorable,Favorable,A severe hardship but you have recovered,No severe hardship,Caused a severe hardship,No severe hardship,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,7.0,2.0,South,Version 1,Suburb,Rural,Rural,Downscale,70570.0
