ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENHI10,GOVHI10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,TEAPARTY,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEHI,TEAPARTY3,WHNCLINC,XTEAPARTYID,LINGLE2,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
920025.0,Hawaii,44.0,Call 3,Complete,Election day exit poll,0.566757142543793,,Did not vote,Female,Asian,18-24,Independent,Liberal,"$200,000 or more",,No,Government should do more to solve problems,Expand it,The war in Afghanistan,Omit,Somewhat disapprove,Strongly support,No,Obama,Non black female,All other races,18-29,18-29,18-44,18-29,18-24,Other,,,,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,Something else,Omit,Disapprove,Independent/Something else,Independent Women,All others,Independents/Something else,Asian,Support,,Tea Party supporters,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
919838.0,Hawaii,24.0,Call 3,Complete,Election day exit poll,0.648663878440857,Did not vote,Did not vote,Male,Hispanic,30-39,Democrat,Moderate,"$30,000-$49,999",College graduate,Yes,Government should do more to solve problems,Repeal it,The war in Afghanistan,Somewhat worried,Somewhat disapprove,Neutral,No,Obama,Non black male,Latino men,30-44,30-59,18-44,30-44,30-39,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Something else,Worried,Disapprove,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Other,Neutral,No,Non-Tea Party supporters and Democrats,Approve,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
915740.0,Hawaii,44.0,Call 2,Complete,Election day exit poll,1.62807655334473,Daniel Inouye,Did not vote,Female,White,60-64,Democrat,Liberal,"$30,000-$49,999",Postgraduate study,No,Government is doing too many things better left to businesses and individuals,Expand it,The economy,Somewhat worried,Strongly approve,Strongly oppose,No,Obama,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,The economy,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Approve,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
920039.0,Hawaii,44.0,Call 3,Complete,Election day exit poll,1.34003078937531,Daniel Inouye,,Male,White,50-59,Independent,Liberal,"Under $30,000",College graduate,No,Government should do more to solve problems,Expand it,Omit,Very worried,Omit,Strongly oppose,No,Omit,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Omit,Worried,Omit,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
915460.0,Hawaii,44.0,Call 2,Complete,Election day exit poll,0.618149161338806,,Neil Abercrombie,Female,White,65 or over,Independent,,"$50,000-$74,999",High school graduate,No,Government should do more to solve problems,Expand it,Omit,Somewhat worried,Strongly approve,Omit,No,Obama,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Omit,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Omit,No,,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
919836.0,Hawaii,43.0,Call 3,Complete,Election day exit poll,0.573419034481049,,Neil Abercrombie,Female,White,50-59,Independent,Conservative,"$75,000-$99,999",Some college/assoc. degree,No,Government is doing too many things better left to businesses and individuals,Repeal it,Health care,Somewhat worried,Somewhat disapprove,Neutral,No,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Something else,Worried,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Neutral,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,2.0,1.0,West,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
892652.0,Hawaii,24.0,Call 1,Complete,Election day exit poll,0.621589362621307,Did not vote,Neil Abercrombie,Male,Asian,30-39,Independent,Moderate,"$50,000-$74,999",College graduate,No,Government should do more to solve problems,Expand it,The economy,Somewhat worried,Strongly approve,Somewhat oppose,Yes,Obama,Non black male,All other races,30-44,30-59,18-44,30-44,30-39,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,The economy,Worried,Approve,Independent/Something else,Independent Men,All others,Independents/Something else,Asian,Oppose,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96789.0
919739.0,Hawaii,22.0,Call 3,Complete,Election day exit poll,0.995494663715363,Did not vote,Neil Abercrombie,Female,Hispanic,65 or over,Democrat,Conservative,"$200,000 or more",High school graduate,,Government should do more to solve problems,Expand it,Health care,Somewhat worried,Strongly approve,Strongly oppose,Yes,Obama,Non black female,Latino women,65+,60+,45+,60+,65+,Latino 65+,No college degree,High school graduate or less,Non white no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,Something else,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Hispanic/Latino,Oppose,No,Non-Tea Party supporters and Democrats,Approve,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Upscale,96797.0
915249.0,Hawaii,44.0,Call 2,Complete,Election day exit poll,0.618149161338806,Did not vote,Neil Abercrombie,Female,White,65 or over,Democrat,Liberal,"$30,000-$49,999",College graduate,No,Government should do more to solve problems,Expand it,The war in Afghanistan,Somewhat worried,Strongly approve,Strongly oppose,No,Obama,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Something else,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Oppose,No,Non-Tea Party supporters and Democrats,Disapprove,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,West,Version 1,Town,Rural,Rural,Downscale,96714.0
913259.0,Hawaii,10.0,Call 2,Complete,Election day exit poll,0.730029404163361,,Neil Abercrombie,Female,Other,65 or over,Independent,Moderate,"Under $30,000",High school graduate,,Government is doing too many things better left to businesses and individuals,Omit,Health care,Somewhat worried,Somewhat disapprove,Neutral,No,Obama,Non black female,All other races,65+,60+,45+,60+,65+,Other,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Something else,Worried,Disapprove,Independent/Something else,Independent Women,All others,Independents/Something else,Native Hawaiian,Neutral,No,Non-Tea Party supporters and Independents/Something else,Disapprove,State questionnaire,Suburbs,Suburbs,1.0,1.0,West,Version 1,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96816.0
