ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENIL10,GOVIL10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,DESCRIBS10B,FAVDEM2,FAVREP2,FINSIT2,FORECLOSE,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,RELIGN10,SENCNTL,STIMULUS,TEAPARTY,TIMESEN10,TRACK,UNFAIRIL,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,REL5,WHITEREL,TEAPARTY3,TIMESENMTH10,TIMESENWK10,UNFAIRGIAN,UNFAIRKIRK,WHNCLINC,XTEAPARTYID,HONEST10IL,IMPCORR,FORECLOSE2,HONESTGIAN,HONESTKIRK,IMPCORR2,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
872903.0, Illinois,32.0,Call 1,Complete,Election day exit poll,0.884260892868042,Mark Kirk,Bill Brady,Female,White,60-64,Republican,Conservative,,College graduate,No,I strongly favor my candidate,Omit,Favorable,Better,,To express support for Barack Obama,"Dissatisfied, but not angry",,,,,,,Reducing the budget deficit,,,The Republican Party,Helped the economy,,,,Both of them,,Omit,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,,,Alexi Giannoulias did,Mark Kirk did,,,,,,,,,State questionnaire,English,Suburbs,Suburbs,16.0,3.0,Midwest,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,60156.0
905482.0, Illinois,32.0,Call 3,Complete,Election day exit poll,0.961924910545349,Mark Kirk,Bill Brady,Female,White,25-29,Independent,Liberal,,High school graduate,No,I strongly favor my candidate,Omit,Omit,Worse,,Barack Obama was not a factor,Enthusiastic,,,,,,,Omit,,,Omit,Omit,,,,Omit,,Other,Non black female,White women,18-29,18-29,18-44,18-29,25-29,White 18-29,No college degree,High school graduate or less,White no college degree,,,,,,Positive,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,,Omit,Omit,,,,,,,,,State questionnaire,English,Suburbs,Suburbs,16.0,3.0,Midwest,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,60156.0
904609.0, Illinois,32.0,Call 3,Complete,Election day exit poll,1.00134515762329,Mark Kirk,Bill Brady,Male,White,65 or over,Republican,Conservative,"$75,000-$99,999",Some college/assoc. degree,No,,,,,Very worried,,Angry,,,,No,,Strongly disapprove,,Can bring needed change,,,,,,Seriously off on the wrong track,,,Other,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Negative,,,Disapprove,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,,,,,,No,,Neither of them,,Worried,Alexi Giannoulias is not,Mark Kirk is not,,State questionnaire,English,Suburbs,Suburbs,16.0,3.0,Midwest,Version 3,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,60156.0
891572.0, Illinois,32.0,Call 2,Complete,Election day exit poll,1.60630309581757,Other,Other,Female,White,65 or over,Something else,Conservative,"Under $30,000",Some college/assoc. degree,No,,,,,Somewhat worried,,Angry,,,,Yes,,Strongly disapprove,,Can bring needed change,Protestant,,,,,Seriously off on the wrong track,,,Other,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Negative,,,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Protestant/Other Non-Catholic Christian,Protestant/Other Christian,,,,,,Yes,,Neither of them,,Worried,Alexi Giannoulias is not,Mark Kirk is not,,State questionnaire,English,Suburbs,Suburbs,16.0,3.0,Midwest,Version 3,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,60156.0
891882.0, Illinois,32.0,Call 2,Complete,Election day exit poll,1.00134515762329,Mark Kirk,Bill Brady,Male,White,60-64,Republican,Conservative,,Postgraduate study,No,I like my candidate but with reservations,Unfavorable,Favorable,Worse,,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,,Spending to create jobs,,,The Republican Party,Made no difference,,,,Both of them,,McCain,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,,,,Alexi Giannoulias did,Mark Kirk did,,,,,,,,,State questionnaire,English,Suburbs,Suburbs,16.0,3.0,Midwest,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,60156.0
891976.0, Illinois,32.0,Call 2,Complete,Election day exit poll,0.918079018592834,Mark Kirk,Bill Brady,Male,White,40-44,,Conservative,,Some college/assoc. degree,No,I strongly favor my candidate,Unfavorable,Favorable,Worse,,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,,Spending to create jobs,,,The Republican Party,Made no difference,,,,Neither of them,,McCain,Non black male,White men,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,More than High school graduate,White no college degree,,,,,,Negative,,,,,,,,White,,,,,,Alexi Giannoulias did not,Mark Kirk did not,,,,,,,,,State questionnaire,English,Suburbs,Suburbs,16.0,3.0,Midwest,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,60156.0
905226.0, Illinois,32.0,Call 3,Complete,Election day exit poll,0.810730814933777,Mark Kirk,Bill Brady,Female,White,30-39,Democrat,Moderate,,College graduate,No,I like my candidate but with reservations,Favorable,Favorable,About the same,,Barack Obama was not a factor,"Dissatisfied, but not angry",,,,,,,Spending to create jobs,,,The Republican Party,Made no difference,,,,Both of them,,McCain,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,,,,,Alexi Giannoulias did,Mark Kirk did,,,,,,,,,State questionnaire,English,Suburbs,Suburbs,16.0,3.0,Midwest,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,60156.0
905087.0, Illinois,32.0,Call 3,Complete,Election day exit poll,0.498230576515198,,Rich Whitney,Male,White,60-64,Independent,Moderate,,Some college/assoc. degree,No,I dislike the other candidates,Unfavorable,Unfavorable,About the same,,Barack Obama was not a factor,Angry,,,,,,,Reducing the budget deficit,,,Does not matter to me,Made no difference,,,,Both of them,,McCain,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,Negative,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,,Alexi Giannoulias did,Mark Kirk did,,,,,,,,,State questionnaire,English,Suburbs,Suburbs,16.0,3.0,Midwest,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,60156.0
872195.0, Illinois,32.0,Call 1,Complete,Election day exit poll,0.884260892868042,Mark Kirk,Bill Brady,Female,White,60-64,Independent,Conservative,,Some college/assoc. degree,No,I like my candidate but with reservations,Unfavorable,Favorable,Worse,,To express opposition to Barack Obama,Angry,,,,,,,Reducing the budget deficit,,,The Republican Party,Made no difference,,,,Both of them,,McCain,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,Negative,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,,Alexi Giannoulias did,Mark Kirk did,,,,,,,,,State questionnaire,English,Suburbs,Suburbs,16.0,3.0,Midwest,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,60156.0
872606.0, Illinois,32.0,Call 1,Complete,Election day exit poll,0.884260892868042,Mark Kirk,Bill Brady,Female,White,65 or over,Republican,Moderate,,High school graduate,No,I strongly favor my candidate,Unfavorable,Favorable,About the same,,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,,Reducing the budget deficit,,,The Republican Party,Made no difference,,,,Both of them,,McCain,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Negative,,,,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,,,Alexi Giannoulias did,Mark Kirk did,,,,,,,,,State questionnaire,English,Suburbs,Suburbs,16.0,3.0,Midwest,Version 2,Suburb,No Answer,High-Growth Suburban Perimeter,Upscale,60156.0
