ID,PRSMN20,SENMN20,WEIGHT,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,COVIDHARDSHIP,COVIDHARDSHIP2,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVBLM,FAVPRES20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,LATINO,LGBT,MARCHILD,MARRIED,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,POLICEEVENTS20,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,VERSION,VOTE2016,VOTEMETHOD,WHNCLINC,WORK,WORKSEX,WRKWOMEN,WRKWOMEN4
151259.0,Joe Biden,,0.14131342571,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,8.0,,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,For your candidate,4.0,Joe Biden,Joe Biden,,,,,,,,No,,,,Poor,Not so good or poor,Yes,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,132.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,National questionnaire,White,White,White,,,Midwest,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,,,,,,,,,Version 2,Hillary Clinton,Election day,,Yes,Working women,Working women,Working women
139827.0,Joe Biden,,0.1222168249,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,Call 2,6.0,,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Omit,,Only Trump,Favorable,About the same,,4.0,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",Crime and safety,No,,,,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Moderate,A sign of broader problems,141.0,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,Black,Black,State questionnaire,Black,Non-white,Black,,,Midwest,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,Yes,Both of them do,Yes,In the last few days,In the last month,In the last week,,,Version 1,,Election day,No,Yes,Working women,Working women,Working women
141597.0,Joe Biden,,0.11911261631,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 2,8.0,No,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,No financial hardship at all,No financial hardship at all,Election day,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,Favorable,,,,Against his opponent,4.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Not so good,Not so good or poor,Yes,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Liberal,,33.0,Moderate/Liberal Republicans,Liberal Independents,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,Midwest,Male,White men,Non married men,Suburbs,Suburbs,Minnesota,White suburban men,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,Didn't vote,Election day,,,,,
141556.0,Joe Biden,,0.13703256552,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,All others,All others,Complete,Call 2,8.0,No,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,A moderate financial hardship,A severe financial hardship or a moderate financial hardship,Election day,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,Favorable,,,,For your candidate,4.0,Joe Biden,Joe Biden,,,,,,,,No,Yes,All others,No,Poor,Not so good or poor,Yes,Women without children,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Something else,All others,Liberal,,33.0,Moderate/Liberal Republicans,Liberal Independents,,Other,American Indian,State questionnaire,Other,Non-white,American Indian,One of many important problems,The most important problem or one of many important problems,Midwest,Female,All other races,Non married women,Suburbs,Suburbs,Minnesota,Other,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,Didn't vote,Election day,,,,,
141407.0,Joe Biden,,0.11177441066,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,All others,All others,Complete,Call 2,5.0,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,A moderate financial hardship,A severe financial hardship or a moderate financial hardship,Election day,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,1.0,,,,,,,,,,No,,,,,,,,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Liberal,,67.0,Liberal Democrats,Liberal Democrats,,Other,Asian,National questionnaire,Asian,Non-white,Asian,The most important problem,The most important problem or one of many important problems,Midwest,Female,All other races,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 3,,Election day,,,,,
141208.0,Joe Biden,,0.39416264681,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 2,5.0,,,,,,,,Election day,Omit,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,Against his opponent,1.0,Joe Biden,Omit,,,,,,,,Yes,,,,Poor,Not so good or poor,Yes,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,All others,Liberal,,67.0,Moderate/Liberal Republicans,Liberal Independents,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,Midwest,Male,Latino men,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,,,,,,,,,Version 2,Didn't vote,Election day,,No,Non-working men,All others,Non-working men
141167.0,Joe Biden,,0.39416264681,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Not complete,Call 2,5.0,,,,,,,,Election day,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,1.0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,67.0,,,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,Midwest,Male,Latino men,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,,,,,,,,,Version 2,,Election day,,No,Non-working men,All others,Non-working men
132665.0,Joe Biden,,0.09321096179,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,3.0,,,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,,Only Biden,Unfavorable,About the same,,1.0,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Racial inequality,No,,,,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,All others,Moderate,A sign of broader problems,59.0,Moderate/Liberal Republicans,Moderate Independents,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,,,Midwest,Male,Black men,,Suburbs,Suburbs,Minnesota,Other,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 1,,Election day,No,,,All others,
140406.0,Joe Biden,,0.06063360043,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Call 2,3.0,No,Omit,Omit,Very confident or somewhat confident,Very confident,No financial hardship at all,No financial hardship at all,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,Favorable,,,,Against his opponent,1.0,Omit,Omit,,,,,,,,Yes,No,All others,No,Good,Excellent or good,Yes,Women without children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Something else,All others,Moderate,,83.0,Moderate/Liberal Republicans,Moderate Independents,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,One of many important problems,The most important problem or one of many important problems,Midwest,Female,Latino women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,Version 2,Didn't vote,Election day,,,,,
140353.0,Joe Biden,,0.19085285854,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,All others,All others,Complete,Call 2,2.0,,,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Favorable,,Both of them,Favorable,Worse today,,2.0,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and non white",The economy,No,,,,,,,,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Something else,All others,Moderate,A sign of broader problems,136.0,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,Other,Other,State questionnaire,Other,Non-white,Other,,,Midwest,Female,All other races,,Suburbs,Suburbs,Minnesota,Other,Election day exit poll,Yes,Only Joe Biden does,No,In the last few days,In the last month,In the last week,,,Version 1,,Election day,No,No,Non-working women,All others,Non-working women
