ID,WEIGHT,PRSVA20,SENVA20,ABORT2,ABORTION,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVBLM,FAVPRES20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,LATINO,LGBT,MARCHILD,MARRIED,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,VERSION,VETVOTER,VOTEMETHOD,WHNCLINC,WHTEVANG
53220.0,3.14573520101,Joe Biden,Mark Warner,Legal,Legal in most cases,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,10.0,No,Somewhat badly,Somewhat badly or very badly,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,Favorable,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Poor,Not so good or poor,No,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Married women,Suburbs,Suburbs, Virginia,White suburban women,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53221.0,2.92053207152,Joe Biden,Mark Warner,Legal,Legal in all cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,,5.0,Yes,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,Favorable,,,,Against his opponent,2.0,Joe Biden,Joe Biden,,,,,,,,No,No,Married with children,Yes,Poor,Not so good or poor,No,Men with children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53222.0,5.48845136018,Joe Biden,Mark Warner,Omit,Omit,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,,1.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,Favorable,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Not so good,Not so good or poor,No,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Non married women,Suburbs,Suburbs, Virginia,White suburban women,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,White Born-again/Evangelical Christians
53223.0,3.03471873882,Joe Biden,Mark Warner,Legal,Legal in most cases,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,7.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,Favorable,,,,Omit,2.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Not so good,Not so good or poor,No,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Married women,Rural,Small Cities/Rural, Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53224.0,4.10239198082,Joe Biden,Mark Warner,Legal,Legal in all cases,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,11.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,Favorable,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Not so good,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Male,White men,Married men,Suburbs,Suburbs, Virginia,White suburban men,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,Yes,By mail,,All others
53225.0,1.47120238067,Joe Biden,Mark Warner,Legal,Legal in all cases,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,10.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,Favorable,,,,For your candidate,5.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Poor,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,White,White,The most important problem,The most important problem or one of many important problems,South,Male,White men,Non married men,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,Yes,By mail,,All others
53226.0,4.62201516276,Joe Biden,Mark Warner,Legal,Legal in all cases,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,No,,5.0,Yes,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,Favorable,,,,Against his opponent,2.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Poor,Not so good or poor,No,Men with children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Male,White men,Non married men,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53227.0,4.79729740297,Joe Biden,Mark Warner,Legal,Legal in all cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,,3.0,Yes,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,Favorable,,,,For your candidate,3.0,Joe Biden,Joe Biden,,,,,,,,No,No,Married with children,Yes,Good,Excellent or good,No,Women with children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,White Born-again/Evangelical Christians
53228.0,1.59624714224,Joe Biden,Mark Warner,Legal,Legal in most cases,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,2.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,Favorable,,,,Against his opponent,3.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Poor,Not so good or poor,Yes,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53229.0,4.00481889302,Joe Biden,Mark Warner,Legal,Legal in most cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,,8.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,Favorable,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Poor,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Male,White men,Non married men,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,By mail,,All others
53230.0,8.64601828915,Joe Biden,Mark Warner,Legal,Legal in most cases,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Yes,,4.0,No,Very badly,Somewhat badly or very badly,,,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,Favorable,,,,For your candidate,3.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Not so good,Not so good or poor,No,Men without children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Male,Black men,Married men,Suburbs,Suburbs, Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,Yes,By mail,,All others
53231.0,5.52569994903,Joe Biden,Mark Warner,Illegal,Illegal in all cases,65+,60+,75 or older,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Yes,,2.0,No,Somewhat badly,Somewhat badly or very badly,,,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,Favorable,,,,Omit,3.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Not so good,Not so good or poor,No,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,Not a problem at all,A minor problem or not a problem at all,South,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,Version 2,No,By mail,,All others
