ID,WEIGHT,PRSNH20,SENNH20,GOVNH20,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVPRES20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,LATINO,LGBT,MARCHILD,MARRIED,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,VERSION,VOTE2016,VOTEMETHOD,WHNCLINC,WORK,WORKSEX,WRKWOMEN,WRKWOMEN4,ZIPCODE
129473.0,0.16348709686,Joe Biden,,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 1,1.0,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Only Biden,Unfavorable,About the same,,4.0,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Omit,No,,,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,66.0,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,State questionnaire,White,White,White,,,East,Female,White women,,Suburbs,Suburbs,New Hampshire,White suburban women,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 1,,Election day,No,No,Non-working women,All others,Non-working women,3038.0
129304.0,0.04401041091,Joe Biden,,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Not complete,Call 1,1.0,,,,,,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,1.0,,,,,,,,,,No,,,,,,,,,,,,,,,69.0,,,,White,White,State questionnaire,White,White,White,,,East,Male,White men,,Suburbs,Suburbs,New Hampshire,White suburban men,Election day exit poll,,,,Before that,Before that,Before that,,,Version 1,,Election day,,,,,,3820.0
137327.0,0.23140256482,Joe Biden,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 2,2.0,,,,,,Election day,Omit,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Omit,Omit,Omit,Worse today,,2.0,,,,,,,,,Crime and safety,No,,,,,,,,,,,,,,,191.0,,,Can unite the country,White,White,State questionnaire,White,White,White,,,East,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Other,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 1,,Election day,,Yes,Working women,Working women,Working women,3062.0
131760.0,0.042858831,Joe Biden,,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 1,2.0,Yes,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Somewhat confident,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,Against his opponent,3.0,Joe Biden,Omit,,,,,,,,No,No,Married with children,Yes,Good,Excellent or good,No,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,291.0,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,Female,White women,Married women,Rural,Small Cities/Rural,New Hampshire,Other,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,Version 2,Hillary Clinton,Election day,,,,,,3287.0
74677.0,0.1711086107,Joe Biden,,,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,All others,All others,Complete,,2.0,,,,,,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Unfavorable,Only Trump,Favorable,Better today,,3.0,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and non white",The economy,No,,,,,,,,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Something else,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,Is a strong leader,Other,Other,State questionnaire,Other,Non-white,Other,,,East,Male,All other races,,Rural,Small Cities/Rural,New Hampshire,Other,Telephone survey,No,Only Donald Trump does,Yes,Before that,Before that,Before that,,,Version 1,,By mail,No,No,Non-working men,All others,Non-working men,3221.0
147524.0,0.03811613828,Joe Biden,,,,,,,,,,,,Complete,Call 3,2.0,,,,,,Election day,Omit,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Omit,Omit,Omit,Omit,,3.0,,,,,,,,,The coronavirus pandemic,,,,,,,,,,,,,,,,121.0,,,Is a strong leader,Other,Other,State questionnaire,Other,Non-white,Other,,,East,Male,All other races,,Suburbs,Suburbs,New Hampshire,Other,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 1,,Election day,No,,,All others,,3244.0
148335.0,0.06218509721,Donald Trump,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Call 3,1.0,No,Omit,Omit,Omit,Omit,Election day,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Omit,1.0,Donald Trump,Donald Trump,,,,,,,,Yes,Yes,All others,No,Excellent,Excellent or good,Yes,,Republican,Non-black non-Democrat,All Republicans,,Republican,All others,,69.0,,,,Other,Black,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,The most important problem,The most important problem or one of many important problems,East,,,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,,,,,Strongly or somewhat approve,Strongly approve,Version 2,Donald Trump,Election day,,,,,,3820.0
136020.0,0.03911020016,Donald Trump,,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 2,2.0,Yes,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Somewhat confident,Election day,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,Omit,3.0,Donald Trump,Donald Trump,,,,,,,,Yes,No,Married with children,Yes,Good,Excellent or good,No,Women with children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Independent,All others,Moderate,182.0,Moderate/Liberal Republicans,Moderate Independents,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,A minor problem,A minor problem or not a problem at all,East,Female,Latino women,Married women,Suburbs,Suburbs,New Hampshire,Other,Election day exit poll,,,,,,,Strongly or somewhat approve,Strongly approve,Version 2,Donald Trump,Election day,,,,,,3055.0
134539.0,0.0719001121,,Jeanne Shaheen,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,Call 2,1.0,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",,,,,,Favorable,Only Biden,Unfavorable,Worse today,,2.0,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",Omit,,,,,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Liberal,170.0,Liberal Democrats,Liberal Democrats,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,East,Female,Latino women,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Other,Election day exit poll,Yes,Only Joe Biden does,No,Omit,Omit,Omit,,,Version 1,,Election day,,No,Non-working women,All others,Non-working women,3103.0
74640.0,0.9187758614,Joe Biden,Jeanne Shaheen,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,1.0,,,,,,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,Neither of them,Unfavorable,Worse today,,5.0,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",The coronavirus pandemic,No,,,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,State questionnaire,White,White,White,,,East,Male,White men,,Suburbs,Suburbs,New Hampshire,White suburban men,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 1,,Early in-person,Yes,Yes,Working men,All others,Working men,3851.0
126774.0,0.27831540841,Joe Biden,Jeanne Shaheen,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,2.0,,Omit,Omit,Omit,Omit,Election day,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,For your candidate,3.0,Joe Biden,Joe Biden,,,,,,,,No,,,,Poor,Not so good or poor,No,,,,,,,,,182.0,,,,White,White,State questionnaire,White,White,White,Omit,Omit,East,Female,White women,,Suburbs,Suburbs,New Hampshire,White suburban women,Election day exit poll,,,,,,,Omit,Omit,Version 2,Omit,Election day,,,,,,3055.0
150352.0,0.13613208911,Joe Biden,Jeanne Shaheen,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 3,1.0,No,Somewhat badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,Election day,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Against his opponent,4.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Good,Excellent or good,Yes,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,137.0,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,Male,White men,Non married men,Suburbs,Suburbs,New Hampshire,White suburban men,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,Didn't vote,Election day,,,,,,3848.0
146717.0,0.06368868603,Joe Biden,Jeanne Shaheen,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Not complete,Call 3,2.0,,,,,,Election day,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Against his opponent,5.0,,,,,,,,,,No,,,,,,Yes,,,,,,,,,211.0,,,,White,White,State questionnaire,White,White,White,,,East,Male,White men,,Rural,Small Cities/Rural,New Hampshire,Other,Election day exit poll,,,,,,,,,Version 2,,Election day,,,,,,3582.0
146209.0,0.06334812343,Joe Biden,Jeanne Shaheen,,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Not complete,Call 3,1.0,,,,,,Election day,,,,,,,,,,,For your candidate,1.0,,,,,,,,,,No,,,,,,No,,,,,,,,,74.0,,,,White,White,State questionnaire,White,White,White,,,East,Female,White women,,Suburbs,Suburbs,New Hampshire,White suburban women,Election day exit poll,,,,,,,,,Version 2,,Election day,,,,,,3820.0
146021.0,0.2631182438,Joe Biden,Jeanne Shaheen,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Call 3,1.0,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Only Biden,Unfavorable,About the same,,2.0,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Racial inequality,Yes,,,,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Liberal,170.0,Liberal Democrats,Liberal Democrats,Can unite the country,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,East,Female,Latino women,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Other,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 1,,Election day,No,Yes,Working women,Working women,Working women,3103.0
150005.0,0.12721706603,Donald Trump,Jeanne Shaheen,,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 3,1.0,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Unfavorable,Omit,Omit,Better today,,4.0,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",The economy,,,,,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Liberal,137.0,Liberal Democrats,Liberal Democrats,Is a strong leader,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,East,Male,Latino men,,Suburbs,Suburbs,New Hampshire,Other,Election day exit poll,No,Neither of them do,No,Before that,Before that,Before that,,,Version 1,,Election day,No,Yes,Working men,All others,Working men,3848.0
127665.0,0.07677838657,,Corky Messner,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 1,2.0,Yes,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Very confident,Election day,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,For your candidate,3.0,Donald Trump,Donald Trump,,,,,,,,No,No,Married with children,Yes,Good,Excellent or good,No,Men with children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,121.0,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,Male,White men,Married men,Suburbs,Suburbs,New Hampshire,White suburban men,Election day exit poll,,,,,,,Strongly or somewhat approve,Somewhat approve,Version 2,Donald Trump,Election day,,,,,,3244.0
147717.0,0.03710992184,Donald Trump,Corky Messner,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,1.0,,,,,,Election day,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Unfavorable,Only Trump,Favorable,,,1.0,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",The economy,No,,,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,161.0,Independent/Something else,Conservative Republicans,Can unite the country,White,White,National questionnaire,White,White,White,,,East,Male,White men,,Suburbs,Suburbs,New Hampshire,White suburban men,Election day exit poll,,,,,,,,,Version 1,,Election day,Yes,,,,,3823.0
