ID,WEIGHT,PRSKY20,SENKY20,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVMCGRATH,FAVMCONL,FAVPRES20,FAVSENKY20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,LATINO,LGBT,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,POLICEEVENTS20,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,VERSION,VETVOTER,VOTEMETHOD,WHNCLINC,WHTEVANG
60899.0,0.08571662597,Joe Biden,,45-65,60+,60-64,45+,60+,50-64,,,,Complete,,,3.0,No,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,,,,,,,,,,Omit,4.0,Omit,Omit,,,,,,,,No,No,Poor,Not so good or poor,No,Men without children,Democrat,,,Democratic men,Democrat,,Moderate,A sign of broader problems,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,State questionnaire,,,,The most important problem,The most important problem or one of many important problems,South,Male,,"Cities over 500,000","Cities over 50,000",Kentucky,Other,Telephone survey,,,,,,,Omit,Omit,Version 2,No,Early in-person,,
121736.0,0.11245588888,Joe Biden,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,Latino 60+,Latino 45-64,Not complete,,Call 1,3.0,,,,,,Election day,,,,,,,,,,,,,,,4.0,,,,,,,,,,Yes,,,,No,,,,,,,,,,54.0,,,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,South,Male,Latino men,"Cities over 500,000","Cities over 50,000",Kentucky,Other,Election day exit poll,,,,,,,,,Version 2,,Election day,,
147530.0,0.12201625699,Joe Biden,,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Yes,Call 3,2.0,No,Somewhat badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,Election day,,,,,,,,,,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,,,,,,,Yes,No,Good,Excellent or good,Yes,Women without children,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,A sign of broader problems,110.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Other,,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,One of many important problems,The most important problem or one of many important problems,South,Female,Latino women,"Cities 50,000-500,000","Cities over 50,000",Kentucky,Other,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,Version 2,No,Election day,,All others
144071.0,0.14905794322,Joe Biden,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Not complete,,Call 3,3.0,,,,,,Election day,,,,,,,,,,,,,About the same,,4.0,,,,,,,,,,No,,,,,,,,,,,,,,64.0,,,,White,White,State questionnaire,White,White,White,,,South,Female,White women,"Cities over 500,000","Cities over 50,000",Kentucky,Other,Election day exit poll,,,,Before that,Before that,Before that,,,Version 1,,Election day,,
143858.0,0.1997665076,Joe Biden,,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Call 3,5.0,Yes,Somewhat badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,Election day,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,For your candidate,1.0,Joe Biden,Donald Trump,,,,,,,,No,Yes,Not so good,Not so good or poor,No,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Moderate,Isolated events,105.0,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,Version 2,Yes,Election day,,White Born-again/Evangelical Christians
147716.0,0.33799118777,Joe Biden,,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,Call 3,2.0,No,Somewhat badly,Somewhat badly or very badly,Not very confident or not at all confident,Not very confident,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,Omit,5.0,Joe Biden,Joe Biden,,,,,,,,No,No,Poor,Not so good or poor,No,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,A sign of broader problems,110.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Female,Black women,"Cities 50,000-500,000","Cities over 50,000",Kentucky,Other,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,No,Election day,,All others
145730.0,0.3457398765,Joe Biden,,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,No,Call 3,6.0,Yes,,,,,Election day,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,Omit,,2.0,,,,,,,,,,No,No,,,,Men with children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,,,24.0,,,,Black,Black,National questionnaire,Black,Non-white,Black,,,South,Male,Black men,Suburbs,Suburbs,Kentucky,Other,Election day exit poll,No,Neither of them do,No,In October,In the last month,Before that,,,Version 4,No,Election day,,All others
60584.0,0.36357371562,Joe Biden,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,2.0,,,,,,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Unfavorable,Unfavorable,Omit,Only Trump,Omit,Favorable,Better today,,5.0,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Racial inequality,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,,Independent/Something else,Conservative Republicans,Is a strong leader,White,White,State questionnaire,White,White,White,,,South,Male,White men,Suburbs,Suburbs,Kentucky,White suburban men,Telephone survey,Yes,Both of them do,Yes,Before that,Before that,Before that,,,Version 1,,Early in-person,No,
60640.0,2.40281858217,Joe Biden,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,,3.0,,,,,,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy",Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Unfavorable,Unfavorable,Neither of them,Neither,Unfavorable,Better today,,4.0,,,,,,,,,The coronavirus pandemic,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Moderate,,,Conservative Republicans,Mod./Liberal Republicans,Can unite the country,White,White,State questionnaire,White,White,White,,,South,Female,White women,"Cities over 500,000","Cities over 50,000",Kentucky,Other,Telephone survey,Yes,Only Joe Biden does,No,In October,In the last month,Before that,,,Version 1,,Early in-person,No,
121277.0,0.18361262783,Donald Trump,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 1,6.0,No,Somewhat badly,Somewhat badly or very badly,Not very confident or not at all confident,Not very confident,Election day,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,,For your candidate,2.0,Donald Trump,Donald Trump,,,,,,,,No,No,Omit,Omit,No,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,,Omit,37.0,,,,White,White,State questionnaire,White,White,White,A minor problem,A minor problem or not a problem at all,South,Female,White women,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,,,,,,,Strongly or somewhat approve,Strongly approve,Version 2,No,Election day,,All others
