id,backside,brnagain,call,cdnum,contact1,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,iapartyi,iarprs16,issrep16,outsider,party,partysex,phil2r,phil3x,phil4c,precinct,prevcauc,qlt16rep,qrace4,qtype,race2b,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timeia16,timeprif,timeprim,timepriw,trumpvot,version,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
65470,Complete, ,Call 2,4,No,High school or less,No college degree,High school graduate or less,White no college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", ,Jeb Bush,Omit,Omit, , ,Conservative,Conservative,Somewhat conservative,5,"Yes, I attended a caucus before",Can win in November,White,State questionnaire,White,Midwest,Female,White women,Rural,Small Cities/Rural, Iowa,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,1.4815446138382, , ,65+,60+,65 or over,45+,50+,60+,65+,White 65+
68175,Complete,No,Call 3,1,No,Postgraduate study,College graduate,More than High school graduate,White college degree,1,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic", ,Jeb Bush,Economy/Jobs,Have experience in politics, , , , , ,30,"Yes, I attended a caucus before",Omit,White,State questionnaire,White,Midwest,Female,White women,Suburbs,Suburbs, Iowa,Election day exit poll,Omit,Omit,Omit,Omit,Not Donald Trump,Version 1,.492036014795303, ,All others,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
64953,Complete,No,Call 1,1,Yes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,Angry,"Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Government spending,Have experience in politics,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,53,"Yes, I attended a caucus before",Can bring needed change,White,State questionnaire,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,1.40476655960083, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 65+
64966,Complete,No,Call 1,1,Yes,High school or less,No college degree,High school graduate or less,White no college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Government spending,Have experience in politics,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,57,"Yes, I attended a caucus before",Can win in November,White,State questionnaire,White,Midwest,Female,White women,Suburbs,Suburbs, Iowa,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,1.1191873550415, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 65+
65215,Complete,Yes,Call 2,4,Yes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Economy/Jobs,Have experience in politics,Republican,Republican Women,Conservative,Conservative,Very conservative,112,"Yes, I attended a caucus before",Can win in November,White,State questionnaire,White,Midwest,Female,White women,Rural,Small Cities/Rural, Iowa,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,1.64171159267426, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 65+
65261,Complete,Yes,Call 1,4,Yes,High school or less,No college degree,High school graduate or less,White no college degree,2,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Republican,Jeb Bush,Terrorism,Have experience in politics,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,35,"Yes, I attended a caucus before",Tells it like it is,White,State questionnaire,White,Midwest,Male,White men,Suburbs,Suburbs, Iowa,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,.570897161960602, ,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
65773,Complete,No,Call 2,3,Yes,Postgraduate study,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Terrorism,Have experience in politics,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,108,"No, this is my first caucus",Shares my values,White,State questionnaire,White,Midwest,Female,White women,Suburbs,Suburbs, Iowa,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.90474796295166, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 65+
65806,Complete,No,Call 2,3,No,College graduate,College graduate,More than High school graduate,White college degree,3,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Republican,Jeb Bush,Economy/Jobs,Have experience in politics,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,73,"No, this is my first caucus",Shares my values,White,State questionnaire,White,Midwest,Female,White women,Suburbs,Suburbs, Iowa,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,1.41248548030853, ,All others,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
65900,Complete,Yes,Call 2,1,Yes,Postgraduate study,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Economy/Jobs,Have experience in politics,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,9,"Yes, I attended a caucus before",Shares my values,White,State questionnaire,White,Midwest,Male,White men,Suburbs,Suburbs, Iowa,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,1.12578046321869, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 65+
65924,Complete,No,Call 2,1,Yes,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Government spending,Have experience in politics,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,9,"No, this is my first caucus",Can bring needed change,White,State questionnaire,White,Midwest,Female,White women,Suburbs,Suburbs, Iowa,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,1.05628657341003, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 65+
66056,Complete,No,Call 2,2,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Economy/Jobs,Have experience in politics,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,46,"Yes, I attended a caucus before",Shares my values,White,State questionnaire,White,Midwest,Male,White men,Suburbs,Suburbs, Iowa,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.622919738292694, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 65+
66161,Complete,Yes,Call 2,2,No,High school or less,No college degree,High school graduate or less,White no college degree,1,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Republican,Jeb Bush,Government spending,Have experience in politics,Republican,Republican Women,Conservative,Conservative,Very conservative,16,"No, this is my first caucus",Can bring needed change,White,State questionnaire,White,Midwest,Female,White women,Rural,Small Cities/Rural, Iowa,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,.815670907497406, ,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 45-64
66272,Complete,Yes,Call 2,3,Yes,High school or less,No college degree,High school graduate or less,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Terrorism,Have experience in politics,Republican,Republican Men,Conservative,Conservative,Very conservative,83,"Yes, I attended a caucus before",Shares my values,White,State questionnaire,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,1.24516808986664, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 65+
66368,Complete,No,Call 2,3,Yes,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Economy/Jobs,Have experience in politics,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,78,"No, this is my first caucus",Shares my values,White,State questionnaire,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,.625877380371094, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 65+
66381,Complete,Yes,Call 3,4,Yes,High school or less,No college degree,High school graduate or less,White no college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Government spending,Have experience in politics,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,112,"Yes, I attended a caucus before",Can win in November,White,State questionnaire,White,Midwest,Male,White men,Rural,Small Cities/Rural, Iowa,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,1.74972105026245, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 65+
66496,Complete,No,Call 2,3,Yes,College graduate,College graduate,More than High school graduate,White college degree,3,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Republican,Jeb Bush,Government spending,Have experience in politics,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,78,"Yes, I attended a caucus before",Tells it like it is,White,State questionnaire,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,.592461585998535, ,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-64
66511,Complete,No,Call 3,3,No,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Economy/Jobs,Have experience in politics,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,109,"No, this is my first caucus",Can bring needed change,Hispanic/Latino,State questionnaire,Non-white,Midwest,Male,Latino men,Suburbs,Suburbs, Iowa,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,1.10550534725189, ,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,Latino 45-64
66525,Complete,No,Call 3,3,Yes,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Government spending,Omit,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,88,"Yes, I attended a caucus before",Shares my values,White,State questionnaire,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,1.59145331382751, ,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-64
66605,Complete,Yes,Call 3,4,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Republican,Jeb Bush,Government spending,Be from outside the political establishment,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,35,"Yes, I attended a caucus before",Shares my values,White,State questionnaire,White,Midwest,Female,White women,Suburbs,Suburbs, Iowa,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,.565867781639099, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 65+
