id,backside,brnagain,call,cdnum,educ12r,educcoll,educhs,educwhit,forcands,geocode,gopconv1,govtangr,govtan_1,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,mdrprs16,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,version,votenovc,votenovk,votenovt,wallst16,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
579577,Complete,Yes,Call 1,6,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,For your candidate,3,With the most votes in the primaries,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Immigration,Ted Cruz,Independent/Something else,Latino Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,78,Can win in November,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,East,Male,Latino men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Not vote for him,Help the U.S. economy,.68051278591156,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Latino 30-44
579591,Complete,Yes,Call 1,6,College graduate,College graduate,More than High school graduate,White college degree,Against his opponents,3,With the most votes in the primaries,Angry,"Dissatisfied, but not angry or Angry", , , , , , , ,Terrorism,Ted Cruz,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,78,Can bring needed change,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Not vote for him,Help the U.S. economy,.622069835662842,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
579608,Complete, ,Call 1,6, , , , ,For your candidate,3,With the most votes in the primaries,Angry,"Dissatisfied, but not angry or Angry", , , , , , , ,Government spending,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,78,Can win in November,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Not vote for him,Help the U.S. economy,.68051278591156, ,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
579687,Complete, ,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate, ,For your candidate,1,Who the delegates think would be the best nominee,Angry,"Dissatisfied, but not angry or Angry", , , , , , , ,Terrorism,Ted Cruz,Republican, ,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,115,Can bring needed change, , ,State questionnaire, , ,East,Female, ,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Definitely vote for him,Help the U.S. economy,.467146009206772, , ,65+,60+,65 or over,45+,50+,60+,65+, 
579701,Complete,No,Call 1,1,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Government spending,Ted Cruz,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,115,Tells it like it is,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Definitely vote for him,Help the U.S. economy,.467146009206772,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
580051,Complete,No,Call 1,5,Postgraduate study,College graduate,More than High school graduate,White college degree,For your candidate,3,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Immigration,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,106,Can bring needed change,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Not vote for him,Help the U.S. economy,.786399483680725,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
580052,Not complete, ,Call 1,5, , , , ,For your candidate,1, , , , , , , , , , , ,Ted Cruz, , , , , , , ,111, ,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Definitely vote for him, ,.624371647834778, , ,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
580061,Complete,Yes,Call 1,3,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,Ted Cruz,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,10,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Probably vote for him,Omit,.361655592918396,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
580067,Complete,Yes,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Against his opponents,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ted Cruz,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,10,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Not vote for him,Help the U.S. economy,.395632803440094,No,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
580077,Complete,Yes,Call 1,3,College graduate,College graduate,More than High school graduate,White college degree,Against his opponents,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,10,Can win in November,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Definitely vote for him,Help the U.S. economy,.395632803440094,No,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
