id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,brnagain,call,cdnum,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,okrprs16,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,scotusre,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,version,vetvoter,weight,whnclinc,whtevang
402529,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 1,1,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Jeb Bush,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,78,Can win in November,White,White,State questionnaire,White,White,South,Marco Rubio,Female,White women,Suburbs,Suburbs,Oklahoma,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,No,.850623846054077,No,All others
402606,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others,Complete,No,Call 1,1,Very worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,1,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and non white",Government spending,Jeb Bush,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,78,Can win in November,Other,American Indian,State questionnaire,Other,Non-white,South,Ted Cruz,Female,All other races,Suburbs,Suburbs,Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,No,.850623846054077,No,All others
408850,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 2,5,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , ,Terrorism,Jeb Bush,Be from outside the political establishment,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,59,Shares my values,White,White,State questionnaire,White,White,South,Ted Cruz,Female,White women,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,No,1.09335446357727, ,White Born-again/Evangelical Christians
409667,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Yes,Call 2,1,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,White college degree,1,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Immigration,Jeb Bush,Be from outside the political establishment,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,75,Tells it like it is,White,White,State questionnaire,White,White,South,Ted Cruz,Female,White women,"Cities 50,000-500,000","Cities over 50,000",Oklahoma,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,Yes,.372087091207504,No,White Born-again/Evangelical Christians
416358,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Yes,Call 3,5,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Terrorism,Jeb Bush,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,43,Shares my values,Black,Black,State questionnaire,Black,Non-white,South,Ted Cruz,Male,Black men,"Cities over 500,000","Cities over 50,000",Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,No,.861603617668152,No,All others
401240,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Call 1,4,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,Ben Carson,Be from outside the political establishment,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,19,Shares my values,White,White,State questionnaire,White,White,South,Marco Rubio,Female,White women,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,No,1.55477142333984,No,White Born-again/Evangelical Christians
401271,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes,Call 1,4,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ben Carson,Be from outside the political establishment,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,19,Shares my values,White,White,State questionnaire,White,White,South,Marco Rubio,Female,White women,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,No,1.53759968280792,No,White Born-again/Evangelical Christians
401298,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Call 1,4,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Ben Carson,Be from outside the political establishment,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,19,Can bring needed change,White,White,State questionnaire,White,White,South,Ted Cruz,Female,White women,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,No,1.55477142333984,No,White Born-again/Evangelical Christians
401773,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Call 1,4,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Government spending,Ben Carson,Be from outside the political establishment,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,56,Shares my values,White,White,State questionnaire,White,White,South,Marco Rubio,Male,White men,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,No,1.25509870052338,No,White Born-again/Evangelical Christians
401800,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 1,4,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ben Carson,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,56,Shares my values,White,White,State questionnaire,White,White,South,Ted Cruz,Female,White women,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,No,1.18088448047638,No,White Born-again/Evangelical Christians
