id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,attend,attend2,backside,betrayed,brnagain,call,cdnum,cicrep16,cruzhone,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,getahead,gop20162,gop201_1,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,kasichho,morprs16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,prevpri,qlt16rep,qrace3,qraceai,qtype,race,race2b,raceai,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,thirdpar,timenh16,timeprif,timeprim,timepriw,trumphon,trumpvot,version,votenovc,votenovk,votenovt,weight,whnclinc,whtevang
493877,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Omit,Omit,Complete, ,Yes,Call 1,6, ,Yes, , ,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Holding steady financially, , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Yes,Ted Cruz,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,19, ,Can bring needed change,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Suburbs,Suburbs,Missouri,Election day exit poll,Seriously consider voting for a third party candidate,In the last month,Earlier than that,In the last month,Earlier than that,No,Not Donald Trump,Version 1, , , ,.785151481628418,No,White Born-again/Evangelical Christians
505745,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Omit,Omit,Complete, ,Yes,Call 3,8, ,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5,Omit, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit, , , , , , , ,Government spending,Yes,Ted Cruz,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,92, ,Tells it like it is,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Rural,Small Cities/Rural,Missouri,Election day exit poll,Omit,Omit,Omit,Omit,Omit,No,Not Donald Trump,Version 1, , , ,1.10565364360809, ,White Born-again/Evangelical Christians
505479,65+,60+,65 or over,45+,50+,60+,65+, , , ,Omit,Omit,Complete, ,Yes,Call 3,2, ,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate, ,2,Holding steady financially, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999", ,Government spending,No,Donald Trump,Oppose, ,45+,65+,Republican, ,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,69, ,Tells it like it is, , ,State questionnaire, , , ,Midwest,Female, ,Suburbs,Suburbs,Missouri,Election day exit poll,Be satisfied with that choice,In the last month,Earlier than that,In the last month,Earlier than that,Yes,Donald Trump,Version 1, , , ,.808077812194824,No,All others
505899, , , , , , , , , , ,Omit,Omit,Complete, ,Yes,Call 3,7, ,No, , ,High school or less,No college degree,High school graduate or less,White no college degree,5,Holding steady financially, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Immigration,Yes,Donald Trump,Support, , , ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,16, ,Can win in November,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Suburbs,Suburbs,Missouri,Election day exit poll,Be satisfied with that choice,Omit,Omit,Omit,Omit,Yes,Donald Trump,Version 1, , , ,1.21192634105682,Yes,White Born-again/Evangelical Christians
494166,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+, , ,Complete,Yes, ,Call 1,1,Marco Rubio, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5, ,Ted Cruz,Donald Trump, , , , , , , , , , ,Government spending, ,Ben Carson, ,Be from outside the political establishment,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,88,Yes,Tells it like it is,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Not vote for him,Probably vote for him,2.45563983917236, , 
494769,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64, , ,Complete,No, ,Call 1,1,Ted Cruz, ,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,White college degree,1, ,Would not have voted,Would not have voted, , , , , , , , , , ,Economy/Jobs, ,Ben Carson, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,145,Yes,Can bring needed change,White,White,State questionnaire,White,White, ,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Probably vote for him,Not vote for him,Not vote for him,.565761029720306, , 
499162,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Black 30-44,Black 30-44,Black 30-44, , ,Complete,Yes, ,Call 2,2,Marco Rubio, ,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,1, ,Would not have voted,Would not have voted, , , , , , , , , , ,Economy/Jobs, ,Ben Carson, ,Have experience in politics,18-44,18-64,Democrat,Black Democrat,Democrat,Democratic Men,Moderate/Liberal,Moderate,Moderate,109,No,Tells it like it is,Black,Black,State questionnaire,Black,Non-white, ,Midwest,Male,Black men,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Not vote for him,Not vote for him,Not vote for him,.91697371006012, , 
505532,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44, , ,Complete,Yes, ,Call 3,5,Donald Trump, ,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, ,Donald Trump,Donald Trump, , , , , , , , , , ,Government spending, ,Ben Carson, ,Omit,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,58,Yes,Shares my values,White,White,State questionnaire,White,White, ,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Definitely vote for him,.258823215961456, , 
506129,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,All others,All others, , ,Complete,No, ,Call 3,6,John Kasich, ,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3, ,Ted Cruz,John Kasich, , , , , , , , , , ,Government spending, ,Ben Carson, ,Be from outside the political establishment,45+,18-64,Independent/Something else,All Other,Something else,Independent Men,Conservative,Conservative,Somewhat conservative,48,Yes,Shares my values,Other,Other,State questionnaire,Other,Non-white, ,Midwest,Male,All other races,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Probably vote for him,Probably vote for him,Probably vote for him,.346076041460037, , 
506296,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+, , ,Complete,Yes, ,Call 3,5,John Kasich, ,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4, ,Ted Cruz,John Kasich, , , , , , , , , , ,Economy/Jobs, ,Ben Carson, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,76,Yes,Shares my values,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Probably vote for him,Definitely vote for him,Not vote for him,.517792403697968, , 
