id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,satcruz,satrubio,sattrump,scotusre,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,tnrprs16,trumpvot,unfairre,version,vetvoter,weight,whnclinc,whtevang
397423,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,3, , , ,High school or less,No college degree,High school graduate or less,White no college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,Oppose, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate, ,Shares my values,White,White,State questionnaire,White,White,South,Dissatisfied,Satisfied,Dissatisfied,Marco Rubio,Female,White women, , ,Suburbs,Suburbs,Tennessee,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Jeb Bush,Not Donald Trump, ,Version 1, ,3.96678280830383,Yes,All others
397424,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,8, , , ,High school or less,No college degree,High school graduate or less,White no college degree,3,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate, ,Can bring needed change,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,Rural,Small Cities/Rural,Tennessee,Telephone survey,Sometime last week,Earlier than that,In the last month,This week,Jeb Bush,Not Donald Trump, ,Version 1, ,3.49017572402954,Yes,White Born-again/Evangelical Christians
397425,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,2, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Government spending,Omit, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Can bring needed change,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Satisfied,John Kasich,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Telephone survey,Sometime last week,Earlier than that,In the last month,This week,Ben Carson,Not Donald Trump, ,Version 1, ,.499798715114594,Yes,White Born-again/Evangelical Christians
397426,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,3, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Dissatisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ben Carson,Not Donald Trump, ,Version 1, ,.499798715114594,No,White Born-again/Evangelical Christians
397427,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,2, , , ,High school or less,No college degree,High school graduate or less,White no college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Tells it like it is,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Satisfied,Donald Trump,Female,White women, , ,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ben Carson,Not Donald Trump, ,Version 1, ,.219874054193497,Yes,White Born-again/Evangelical Christians
397428,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,4, , , ,High school or less,No college degree,High school graduate or less,White no college degree,3,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Oppose, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Omit,Satisfied,Omit,Marco Rubio,Female,White women, , ,Rural,Small Cities/Rural,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ben Carson,Not Donald Trump, ,Version 1, ,.249899357557297,Yes,White Born-again/Evangelical Christians
397429,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,4, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Terrorism,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative, ,Can bring needed change,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Female,White women, , ,Rural,Small Cities/Rural,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ben Carson,Not Donald Trump, ,Version 1, ,2.34170699119568,Yes,White Born-again/Evangelical Christians
397430,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,2, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , , ,Economy/Jobs,Omit, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Omit,Omit,Marco Rubio,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Telephone survey,Sometime last week,Earlier than that,In the last month,This week,Ben Carson,Not Donald Trump, ,Version 1, ,2.34170699119568, ,White Born-again/Evangelical Christians
397431,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,7, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Can win in November,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Tennessee,Telephone survey,Omit,Omit,Omit,Omit,Ben Carson,Not Donald Trump, ,Version 1, ,.489744395017624,Yes,White Born-again/Evangelical Christians
397432,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes, ,4, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Tennessee,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Ben Carson,Not Donald Trump, ,Version 1, ,1.46923327445984,No,White Born-again/Evangelical Christians
