id,backside,betrayed,brnagain,call,cdnum,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,hrctrump,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,novtrump,party,partyid,partysex,partyuni,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trade16,trumpvot,trumpwin,trumpw_1,version,weight,whnclinc,whtevang,wvrprs16,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
627686,Complete,No,Yes,Call 1,3,Postgraduate study,College graduate,More than High school graduate,White college degree,3,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Economy/Jobs,Not too likely,Republican,Republican,Republican Women,Is divided now but will unite by November,Conservative,Conservative,Somewhat conservative,67,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,In the last few days,Last few days,In the last month,This week,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.37397432327271,No,White Born-again/Evangelical Christians,Ted Cruz,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
627689,Complete,Yes,Yes,Call 1,3,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Somewhat likely,Republican,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Very conservative,67,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Optimistic,Excited or optimistic,Version 1,1.37397432327271,No,White Born-again/Evangelical Christians,Ted Cruz,65+,60+,65 or over,45+,50+,60+,65+,White 60+
627691,Complete,Yes,Yes,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Immigration,Not too likely,Independent/Something else,Independent,Independent Men,Is divided now but will unite by November,Conservative,Conservative,Very conservative,67,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Rural,Small Cities/Rural,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.46572923660278,No,White Born-again/Evangelical Christians,Ted Cruz,65+,60+,65 or over,45+,50+,60+,65+,White 60+
627738,Complete,Yes,No,Call 1,2,Postgraduate study,College graduate,More than High school graduate,Non white college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Economy/Jobs,Somewhat likely,Independent/Something else,Independent,Independent Men,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,1,Omit,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,East,Male,Latino men,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.555031478404999,No,All others,Ted Cruz,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Latino 30-44
627740,Complete,Yes,Yes,Call 1,2,High school or less,No college degree,High school graduate or less,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Omit,Republican,Republican,Republican Women,Omit,Conservative,Conservative,Very conservative,1,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.520286440849304,No,White Born-again/Evangelical Christians,Ted Cruz,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
627744,Complete,Yes,Yes,Call 1,2,College graduate,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Immigration,Somewhat likely,Republican,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,1,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump,Scared,Concerned or scared,Version 1,.555031478404999,No,White Born-again/Evangelical Christians,Ted Cruz,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
627745,Complete,Yes,No,Call 1,2,College graduate,College graduate,More than High school graduate,Non white college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Government spending,Not too likely,Republican,Republican,Republican Women,Is divided now but will unite by November,Conservative,Conservative,Very conservative,1,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,East,Female,Latino women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.520286440849304,No,All others,Ted Cruz,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Latino 30-44
627749,Complete,Yes,Yes,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Somewhat likely,Republican,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,1,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs,West Virginia,Election day exit poll,In the last few days,Last few days,In the last month,This week,Creates more U.S. jobs,Not Donald Trump,Optimistic,Excited or optimistic,Version 1,.555031478404999,No,White Born-again/Evangelical Christians,Ted Cruz,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
627751,Complete,No,Yes,Call 1,2,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Not at all likely,Republican,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,1,Omit,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.555031478404999,No,White Born-again/Evangelical Christians,Ted Cruz,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
627833,Not complete,Yes, ,Call 1,3, , , , ,3, , ,Not vote for either candidates, , , , , , , , , , , , , , , , ,15, ,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,East,Male,Latino men,Suburbs,Suburbs,West Virginia,Election day exit poll,Just today,Last few days,In the last month,This week,Creates more U.S. jobs,Not Donald Trump,Optimistic,Excited or optimistic,Version 1,1.45282781124115, , ,Ted Cruz,17-29,17-29,17-24,17-44,17-49,17-29,17-24,Latino 17-29
