ID,ATTEND,ATTEND2,BACKSIDE,CALL,CDNUM,CLINBUSINESS,CLINHONEST,CLINREALISTIC,CLINTONLIB,ECONDEM16,ECONDEMCLIN,ECONDEMSANDERS,ECONFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GOVTANGR16,GOVTANGR16B,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,ISSDEM16,MARRIED,MSDPRS16,OBAMAPLCY,OUTSIDER16,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDBUSINESS,SANDERSLIB,SANDHONEST,SANDREALISTIC,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,VERSION,WEIGHT,WHNCLINC,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE,ZIPCODE
442198.0,,,Complete,Call 1,2.0,About right,Yes,,,,,,Is fair to most Americans,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Income inequality,,Hillary Clinton,Change to more liberal policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,32.0,,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,,,,,South,About right,,Yes,,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,,Version 1,1.74461781978607,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,39212.0
442197.0,A few times a year,Occasionally,Complete,Call 1,2.0,,,Realistic,About right,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,3.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Terrorism,,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,23.0,Yes,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,,About right,,Realistic,Male,Black men,,Rural,Small Cities/Rural, Mississippi,Election day exit poll,,,,,Takes away U.S. jobs,Version 2,1.37382757663727,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,38901.0
442193.0,Once a week,Weekly,Complete,Call 1,1.0,,,Realistic,About right,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Economy/Jobs,Yes,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,14.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,,About right,,Realistic,Male,Black men,Married men,Suburbs,Suburbs, Mississippi,Election day exit poll,,,,,Takes away U.S. jobs,Version 2,0.578923523426056,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,38672.0
442191.0,,,Complete,Call 1,1.0,Too pro-business,No,,,,,,Is fair to most Americans,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3.0,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Health care,,Bernie Sanders,Change to more liberal policies,Be from outside the political establishment,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Somewhat liberal,Liberal,Liberal,15.0,,Cares about people like me,White,White,State questionnaire,White,White,,,,,South,About right,,Yes,,Male,White men,,Suburbs,Suburbs, Mississippi,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,Version 1,0.628914713859558,No,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,38654.0
442190.0,More than once a week,Weekly,Complete,Call 1,2.0,,,Realistic,Too liberal,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Income inequality,No,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,36.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,,About right,,Not realistic,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Election day exit poll,,,,,Creates more U.S. jobs,Version 2,1.09911394119263,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,39212.0
442189.0,A few times a year,Occasionally,Complete,Call 1,1.0,,,Realistic,About right,Both of them,Only Clinton or both of them,Only Sanders or both of them,,,,College graduate,College graduate,More than High school graduate,White college degree,3.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Health care,Yes,Bernie Sanders,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,3.0,Yes,Has the right experience,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,,About right,,Realistic,Female,White women,Married women,Rural,Small Cities/Rural, Mississippi,Election day exit poll,,,,,Creates more U.S. jobs,Version 2,0.414106786251068,No,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,38865.0
442188.0,More than once a week,Weekly,Not complete,Call 1,1.0,,,Realistic,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,,,,,3.0,,,,,,,,,,,,Hillary Clinton,,,,,,,,,,,112.0,Yes,,White,White,State questionnaire,White,White,Stayed about the same,,,,South,,,,Not realistic,Male,White men,,Rural,Small Cities/Rural, Mississippi,Election day exit poll,,,,,,Version 2,2.42184448242188,,65+,60+,65 or over,45+,50+,60+,65+,White 60+,39339.0
442182.0,,,Complete,Call 1,2.0,Too pro-business,Yes,,,,,,Omit,Very worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Health care,,,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,75.0,,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,,,,,South,Too anti-business,,No,,Female,Black women,,Rural,Small Cities/Rural, Mississippi,Election day exit poll,Sometime last week,Earlier than that,In the last month,This month,,Version 1,0.452604502439499,No,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,38606.0
442181.0,A few times a month,Occasionally,Complete,Call 1,1.0,,,Not realistic,Not liberal enough,Only Sanders,Only Sanders or neither of them,Only Sanders or both of them,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Income inequality,Yes,Bernie Sanders,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Very liberal,Liberal,Liberal,15.0,No,Cares about people like me,White,White,State questionnaire,White,White,Gotten worse,Only Sanders or Neither of them,Only Sanders,Only Sanders or Both of them,South,,About right,,Realistic,Female,White women,Married women,Suburbs,Suburbs, Mississippi,Election day exit poll,,,,,Takes away U.S. jobs,Version 2,0.603609919548035,Yes,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44,38654.0
444111.0,Once a week,Weekly,Complete,Call 2,2.0,,,Realistic,About right,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,2.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Economy/Jobs,No,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,62.0,Yes,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,,Too liberal,,Not realistic,Female,Black women,Non married women,Suburbs,Suburbs, Mississippi,Election day exit poll,,,,,Creates more U.S. jobs,Version 2,0.417502224445343,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,39046.0
