id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,cruzhone,describs,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,gop20162,gop201_1,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,mirprs16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,rubiohon,satcruz,satrubio,sattrump,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trade16,trumphon,trumpvot,unfairre,version,weight,whnclinc,whtevang
441067,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No, ,5,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ted Cruz,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate, ,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Satisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1,5.46673631668091,No,All others
441068,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,No, ,12,Yes, , , ,High school or less,No college degree,High school graduate or less,White no college degree,2, , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Deported to the country they came from, , , , , , , ,Immigration,Donald Trump,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women, , , , ,Tells it like it is,White,White,State questionnaire,White,White,Midwest,No,Satisfied,Dissatisfied,Satisfied,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000", Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,.85307639837265, ,All others
441069,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes, ,7,Yes, , , ,High school or less,No college degree,High school graduate or less,White no college degree,3, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,Ben Carson,Omit, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1,2.04629278182983,No,White Born-again/Evangelical Christians
441070,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes, ,4,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,5, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,Uncommitted,Oppose, ,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Female,White women, , ,Rural,Small Cities/Rural, Michigan,Telephone survey,Sometime last week,Earlier than that,In the last month,This week, ,No,Not Donald Trump, ,Version 1,4.22645902633667,No,White Born-again/Evangelical Christians
441071,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,No, ,5,No, , , ,College graduate,College graduate,More than High school graduate,White college degree,3, , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,Donald Trump,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest,No,Dissatisfied,Dissatisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,1.7061527967453,No,All others
441072,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,2,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,4, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Marco Rubio,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Satisfied,Female,White women, , ,Rural,Small Cities/Rural, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Not Donald Trump, ,Version 1,1.02565944194794,No,All others
441073,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,8,Omit, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,Uncommitted,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Omit,Dissatisfied,Dissatisfied,Dissatisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Omit,Not Donald Trump, ,Version 1,2.06542372703552,Yes,White Born-again/Evangelical Christians
441074,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,9,No, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2, , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Donald Trump,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative, ,Tells it like it is,White,White,State questionnaire,White,White,Midwest,No,Dissatisfied,Dissatisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that, ,Yes,Donald Trump, ,Version 1,1.84786438941956,Yes,White Born-again/Evangelical Christians
441075,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,9,No, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2, , ,Angry,"Dissatisfied, but not angry or Angry",Omit,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Donald Trump,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest,No,Satisfied,Dissatisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,.85307639837265,No,All others
441076,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,4,Omit, , , ,College graduate,College graduate,More than High school graduate,White college degree,5, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,John Kasich,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Yes,Omit,Satisfied,Dissatisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Telephone survey,Sometime last week,Earlier than that,In the last month,This week, ,No,Not Donald Trump, ,Version 1,2.05305409431458,No,All others
