id,attend,attend2,backside,betrayed,brnagain,call,cdnum,cruzwin,cruzwin2,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,forcands,geocode,gopconv1,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,inrprs16,issrep16,kasichwi,kasich_1,outsider,party,partybyr,partyid,partysex,partyuni,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,repfair,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,trumpwin,trumpw_1,unfairre,version,votenovc,votenovk,votenovt,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
597988,Omit,Omit,Complete, , ,Call 1,3,Omit,Omit,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,Against his opponents,2, , , , , , , , , , , ,Ted Cruz,Omit,Omit,Omit,Omit, , , , ,Omit,Moderate/Liberal,Moderate,Moderate,3,Omit,White,White,State questionnaire,White,White,Midwest, ,Male,White men,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Not Donald Trump,Concerned,Concerned or scared,Omit,Version 2, , , ,.702356100082397, ,All others,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
598241,Omit,Omit,Complete, ,No,Call 1,7,Optimistic,Excited or optimistic,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,Against his opponents,3, , , , , , , , , , , ,Ted Cruz,Economy/Jobs,Excited,Excited or optimistic,Omit,Independent/Something else,White Independent,Independent,Independent Women,Divided the Republican Party,Moderate/Liberal,Moderate,Moderate,75,Can win in November,White,White,State questionnaire,White,White,Midwest, ,Female,White women,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump,Omit,Omit,Omit,Version 2, , , ,.799810290336609, ,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
598312, , ,Not complete, ,Yes,Call 1,7, , ,Very worried,Worried, , , , ,For your candidate,3, , , , , , , , , , , ,Ted Cruz, , , ,Be from outside the political establishment, , , , ,Divided the Republican Party, , , ,69, ,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Donald Trump,Version 2, , , ,.765067875385284, ,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
598633,Omit,Omit,Complete, ,Yes,Call 1,2,Concerned,Concerned or scared,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,Against his opponents,2, , , , , , , , , , , ,Ted Cruz,Omit,Concerned,Concerned or scared,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Omit,Conservative,Conservative,Very conservative,108,Shares my values,White,White,State questionnaire,White,White,Midwest, ,Male,White men,Rural,Small Cities/Rural,Indiana,Election day exit poll, , , , ,Not Donald Trump,Omit,Omit,Omit,Version 2, , , ,.829352080821991, ,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
598909,Omit,Omit,Complete, ,Yes,Call 1,9,Optimistic,Excited or optimistic,Somewhat worried,Worried, , , , ,For your candidate,4, , , , , , , , , , , ,Ted Cruz,Government spending,Optimistic,Excited or optimistic,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Divided the Republican Party,Conservative,Conservative,Very conservative,42,Shares my values,White,White,State questionnaire,White,White,Midwest, ,Male,White men,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Not Donald Trump,Concerned,Concerned or scared,Ted Cruz,Version 2, , , ,1.32817208766937, ,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
599126, , ,Not complete, ,Yes,Call 1,7, , ,Somewhat worried,Worried, , , , ,For your candidate,3, , , , , , , , , , , ,Ted Cruz, , , ,Have experience in politics, , , , ,Divided the Republican Party, , , ,70, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Donald Trump,Version 2, , , ,.560442626476288, ,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
599273,Omit,Omit,Complete, ,Yes,Call 1,9,Excited,Excited or optimistic,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,For your candidate,5, , , , , , , , , , , ,Ted Cruz,Government spending,Scared,Concerned or scared,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Energized the Republican Party,Conservative,Conservative,Very conservative,83,Can bring needed change,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump,Concerned,Concerned or scared,Donald Trump,Version 2, , , ,.749043345451355, ,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
599284,Omit,Omit,Complete, ,Yes,Call 1,5,Omit,Omit,Very worried,Worried, , , , ,For your candidate,4, , , , , , , , , , , ,Ted Cruz,Government spending,Omit,Omit,Have experience in politics, , , , ,Divided the Republican Party, , , ,29,Omit,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Not Donald Trump,Omit,Omit,Donald Trump,Version 2, , , ,2.14814162254334, ,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
599342,Omit,Omit,Complete, ,No,Call 1,8,Omit,Omit,Somewhat worried,Worried, , , , ,Against his opponents,5, , , , , , , , , , , ,Ted Cruz,Terrorism,Omit,Omit,Have experience in politics, , , , ,Energized the Republican Party, , , ,103,Omit, , ,State questionnaire, , ,Midwest, ,Female, ,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump,Omit,Omit,Donald Trump,Version 2, , , ,.924834251403809, ,All others,17-29,17-29,25-29,17-44,17-49,17-29,25-29, 
599343,Omit,Omit,Complete, ,Yes,Call 1,8,Optimistic,Excited or optimistic,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,For your candidate,5, , , , , , , , , , , ,Ted Cruz,Economy/Jobs,Optimistic,Excited or optimistic,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Energized the Republican Party,Conservative,Conservative,Very conservative,103,Shares my values,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump,Optimistic,Excited or optimistic,Omit,Version 2, , , ,1.00391888618469, ,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
