ID,BACKSIDE,BEATTRUMP16,CALL,CDNUM,CLINHONEST,CLINREALISTIC,CLINTONWIN,CLINTONWIN2,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INDPRS16,INSPIRES16D,ISSDEM16,LATINO,MARRIED,OBAMAPLCY,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYUNITYDEM,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,READYWOMAN,READYWOMAN2,REGION,SANDERSWIN,SANDERSWIN2,SANDHONEST,SANDREALISTIC,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,UNFAIRCLINTON,UNFAIRSANDERS,UNIONHH12,VERSION,VOTENOVCLINTON,VOTENOVSANDERS,WALLST16,WEIGHT,WHNCLINC,WINNOMDEM16,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE,ZIPCODE
600540.0,Complete,,Call 3,4.0,,Realistic,Excited,Excited or optimistic,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,4.0,,,,,,,,Hillary Clinton,,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Energized the Democratic Party,Non-White Democrats,Somewhat liberal,Liberal,Liberal,35.0,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Black,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Not realistic,Male,Black men,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Help the U.S. economy,1.79993200302124,,Hillary Clinton,17-29,17-29,25-29,17-44,17-49,17-29,25-29,Black 17-29,46112.0
600539.0,Complete,,Call 3,9.0,,Realistic,Optimistic,Excited or optimistic,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Divided the Democratic Party,White Independent,Conservative,Moderate or conservative,Conservative,82.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,Probably ready,Definitely ready or probably ready,Midwest,Concerned,Concerned or scared,,Not realistic,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Hurt the U.S. economy,1.42836534976959,,Hillary Clinton,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,47404.0
600532.0,Complete,,Call 3,5.0,,Realistic,Excited,Excited or optimistic,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Somewhat liberal,Liberal,Liberal,29.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Not realistic,Female,White women,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Hurt the U.S. economy,0.893257200717926,,Hillary Clinton,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,46040.0
598593.0,Complete,,Call 1,7.0,,Realistic,Optimistic,Excited or optimistic,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Moderate,Moderate or conservative,Moderate,70.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Concerned,Concerned or scared,,Not realistic,Female,White women,,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Help the U.S. economy,0.269593268632889,,Hillary Clinton,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44,46250.0
598581.0,Complete,,Call 1,7.0,,Realistic,Optimistic,Excited or optimistic,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,3.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Somewhat liberal,Liberal,Liberal,70.0,Can win in November,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Excited,Excited or optimistic,,Not realistic,Male,White men,,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Help the U.S. economy,0.306563228368759,,Hillary Clinton,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,46250.0
600511.0,Complete,,Call 3,2.0,,Realistic,Excited,Excited or optimistic,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Divided the Democratic Party,Non-White Democrats,Moderate,Moderate or conservative,Moderate,95.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Black,Definitely ready,Definitely ready or probably ready,Midwest,Concerned,Concerned or scared,,Not realistic,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Hurt the U.S. economy,1.77884519100189,,Hillary Clinton,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,46619.0
600510.0,Complete,,Call 3,5.0,,Realistic,Optimistic,Excited or optimistic,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4.0,,,,,,,,Hillary Clinton,,Terrorism,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Energized the Democratic Party,White Independent,Moderate,Moderate or conservative,Moderate,29.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Not realistic,Male,White men,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Hurt the U.S. economy,1.0157516002655,,Hillary Clinton,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59,46040.0
598564.0,Complete,,Call 1,3.0,,Realistic,Optimistic,Excited or optimistic,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,2.0,,,,,,,,Hillary Clinton,,Health care,,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Very liberal,Liberal,Liberal,1.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,Probably ready,Definitely ready or probably ready,Midwest,Concerned,Concerned or scared,,Not realistic,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Hurt the U.S. economy,2.82373809814453,,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,46805.0
598549.0,Complete,,Call 1,7.0,,Realistic,Excited,Excited or optimistic,Not at all worried,Not worried,College graduate,College graduate,More than High school graduate,Non white college degree,3.0,,,,,,,,Hillary Clinton,,Income inequality,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Energized the Democratic Party,Non-White Democrats,Conservative,Moderate or conservative,Conservative,70.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Black,Definitely ready,Definitely ready or probably ready,Midwest,Concerned,Concerned or scared,,Not realistic,Female,Black women,,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Hurt the U.S. economy,0.322690814733505,,Hillary Clinton,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,46250.0
598527.0,Complete,,Call 1,9.0,,Realistic,Optimistic,Excited or optimistic,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,4.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Energized the Democratic Party,Non-White Democrats,Somewhat liberal,Liberal,Liberal,42.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Black,Probably ready,Definitely ready or probably ready,Midwest,Concerned,Concerned or scared,,Not realistic,Female,Black women,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Hurt the U.S. economy,1.23432922363281,,Hillary Clinton,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Black 30-44,46184.0
