ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,CALL,CDNUM,CLINTONLIB,ECONFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GOVTANGR16,GOVTANGR16B,HONESTDEM16,HONESTDEM16CLIN,HONESTDEM16SAND,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INTCRISISDEM16,INTCRISISDEMCLIN,INTCRISISDEMSANDERS,ISSDEM16,MARRIED,OBAMAPLCY,OUTSIDER16,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDERSLIB,SATHCLIN,SATSANDERS,SCOTUSDEM16,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TNDPRS16,UNFAIRDEM16,UNFAIRDEM16CLIN,UNFAIRDEM16SAND,VALUESCLIN,VALUESDEM16,VALUESSANDERS,VERSION,WEIGHT,WHNCLINC,ZIPCODE
397230.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,1.0,,Is fair to most Americans,Not too worried,Not worried,Postgraduate study,College graduate,More than High school graduate,White college degree,1.0,,,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,,Economy/Jobs,,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,,,Cares about people like me,White,White,State questionnaire,White,White,,,,,South,,,,Hillary Clinton,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Hillary Clinton,Neither did,Only Sanders or Neither of them,Only Clinton or Neither of them,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,5.35885095596313,No,37604.0
397231.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,3.0,,Favors the wealthy,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,White college degree,1.0,,,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,Health care,,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,,,Can win in November,White,White,State questionnaire,White,White,,,,,South,,,,Hillary Clinton,Male,White men,,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Hillary Clinton,Neither did,Only Sanders or Neither of them,Only Clinton or Neither of them,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,1.52501106262207,No,37377.0
397232.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,2.0,,Favors the wealthy,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1.0,,,Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,,Terrorism,,Omit,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,,,,,,Has the right experience,White,White,State questionnaire,White,White,,,,,South,,,,Hillary Clinton,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Telephone survey,Sometime last week,Earlier than that,In the last month,This month,Hillary Clinton,Omit,Omit,Omit,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Version 1,0.778159558773041,Yes,37923.0
397233.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,Complete,,9.0,,Favors the wealthy,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,White college degree,4.0,,,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,Health care,,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,,,Has the right experience,White,White,State questionnaire,White,White,,,,,South,,,,Hillary Clinton,Male,White men,,"Cities over 500,000","Cities over 50,000",Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Hillary Clinton,Neither did,Only Sanders or Neither of them,Only Clinton or Neither of them,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,0.762505531311035,No,38115.0
397234.0,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,All others,All others,,,Complete,,9.0,,Favors the wealthy,Not too worried,Not worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,4.0,,,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",,,,Terrorism,,Generally continue Barack Obama's policies,Be from outside the political establishment,45+,18-64,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,,Has the right experience,Other,American Indian,State questionnaire,Other,Non-white,,,,,South,,,,Hillary Clinton,Male,All other races,,"Cities over 500,000","Cities over 50,000",Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Hillary Clinton,Both did,Only Clinton or Both of them,Only Sanders or Both of them,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Version 1,3.76408648490906,No,38106.0
397235.0,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,,,Complete,,4.0,,Favors the wealthy,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,3.0,,,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,,,Income inequality,,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,,,Has the right experience,Black,Black,State questionnaire,Black,Non-white,,,,,South,,,,Hillary Clinton,Female,Black women,,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Hillary Clinton,Only Sanders did,Only Sanders or Neither of them,Only Sanders or Both of them,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Version 1,2.79617929458618,No,38401.0
397236.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,3.0,,Favors the wealthy,Not too worried,Not worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1.0,,,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,,Income inequality,,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,,,Can win in November,White,White,State questionnaire,White,White,,,,,South,,,,Omit,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Telephone survey,Omit,Omit,Omit,Omit,Hillary Clinton,Neither did,Only Sanders or Neither of them,Only Clinton or Neither of them,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,0.342332035303116,No,37421.0
397237.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,5.0,,Favors the wealthy,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,2.0,,,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,Economy/Jobs,,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,,,Cares about people like me,White,White,State questionnaire,White,White,,,,,South,,,,Hillary Clinton,Female,White women,,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Hillary Clinton,Only Sanders did,Only Sanders or Neither of them,Only Sanders or Both of them,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Version 1,0.684664070606232,Yes,37015.0
397238.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,1.0,,Favors the wealthy,Omit,Omit,High school or less,No college degree,High school graduate or less,White no college degree,1.0,,,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,,Health care,,Change to more liberal policies,Have experience in politics,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,,,Has the right experience,White,White,State questionnaire,White,White,,,,,South,,,,Hillary Clinton,Female,White women,,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Hillary Clinton,Only Sanders did,Only Sanders or Neither of them,Only Sanders or Both of them,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Version 1,1.55631911754608,Yes,37659.0
397239.0,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,,,Complete,,9.0,,Favors the wealthy,Not at all worried,Not worried,High school or less,No college degree,High school graduate or less,Non white no college degree,4.0,,,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,,,Economy/Jobs,,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,,Can win in November,Black,Black,State questionnaire,Black,Non-white,,,,,South,,,,Hillary Clinton,Female,Black women,,Suburbs,Suburbs,Tennessee,Telephone survey,Sometime last week,Earlier than that,In the last month,This month,Hillary Clinton,Neither did,Only Sanders or Neither of them,Only Clinton or Neither of them,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,1.39808964729309,No,38017.0
