ID,BACKSIDE,BEATTRUMP16,CALL,CDNUM,CICDEM16,CLINBUSINESS,CLINHONEST,CLINREALISTIC,CLINTONLIB,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GENDISS,GENDISS2,GEOCODE,GETAHEAD,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,ISSDEM16,MARRIED,NCDPRS16,OBAMAPLCY,OUTSIDER16,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDBUSINESS,SANDERSLIB,SANDHONEST,SANDREALISTIC,SATHCLIN,SATSANDERS,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,VERSION,WEIGHT,WHNCLINC,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE
506479.0,Complete,,Call 3,13.0,Hillary Clinton,About right,Yes,,,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,Non white college degree,,,2.0,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Health care,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,96.0,,Cares about people like me,Other,Other,State questionnaire,Other,Non-white,,,,,South,About right,,Yes,,,,Female,All other races,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.68616396188736,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,All others
498016.0,Complete,Hillary Clinton,Call 2,13.0,,,,Realistic,About right,,,College graduate,College graduate,More than High school graduate,Non white college degree,One of several important factors,The single most important factor or one of several important factors,2.0,Falling behind financially,,,,,,,,Income inequality,Yes,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,Moderate or conservative,Conservative,95.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Sanders or Neither of them,Neither of them,Only Clinton or Neither of them,South,,Not liberal enough,,Not realistic,Dissatisfied,Dissatisfied,Male,Black men,Married men,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,,,,,,Version 2,0.490798801183701,,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+
506467.0,Complete,,Call 3,13.0,Hillary Clinton,Too anti-business,No,,,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,,,2.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Economy/Jobs,,Hillary Clinton,Change to less liberal policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,96.0,,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,,,,,South,Too pro-business,,No,,,,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.302124530076981,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59
506095.0,Complete,Hillary Clinton,Call 3,13.0,,,,Realistic,About right,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Not an important factor,Not an important factor,2.0,Holding steady financially,,,,,,,,Economy/Jobs,Yes,Hillary Clinton,,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,96.0,Yes,Has the right experience,White,White,State questionnaire,White,White,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,,Too liberal,,Not realistic,Satisifed,Satisifed,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,,,,,,Version 2,0.763224065303802,,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
497996.0,Complete,Hillary Clinton,Call 2,9.0,,,,Realistic,About right,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Not an important factor,Not an important factor,3.0,Holding steady financially,,,,,,,,Economy/Jobs,,Hillary Clinton,,,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Somewhat liberal,Liberal,Liberal,61.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,,Too liberal,,Not realistic,Satisifed,Dissatisfied,Female,Black women,,Suburbs,Suburbs, North Carolina,Election day exit poll,,,,,,Version 2,0.227798894047737,,65+,60+,65 or over,45+,50+,60+,65+,Black 60+
506451.0,Complete,Hillary Clinton,Call 3,13.0,,,,Realistic,About right,,,College graduate,College graduate,More than High school graduate,Non white college degree,Not an important factor,Not an important factor,2.0,Holding steady financially,,,,,,,,Income inequality,No,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,96.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,,About right,,Realistic,Satisifed,Satisifed,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,,,,,,Version 2,0.271620064973831,,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59
504197.0,Complete,,Call 3,4.0,Hillary Clinton,Omit,Yes,,,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,2.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Income inequality,,Hillary Clinton,Generally continue Barack Obama's policies,Omit,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,99.0,,Honest and trustworthy,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,,,,,South,Omit,,Yes,,,,Female,Latino women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Version 1,1.54182410240173,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Latino 30-44
497972.0,Complete,,Call 2,5.0,Hillary Clinton,About right,Yes,,,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,,,5.0,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,108.0,,Can win in November,White,White,State questionnaire,White,White,,,,,South,Too anti-business,,Yes,,,,Female,White women,,Rural,Small Cities/Rural, North Carolina,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Creates more U.S. jobs,Version 1,0.568635642528534,No,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
497967.0,Complete,,Call 2,9.0,Hillary Clinton,About right,Yes,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,3.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Economy/Jobs,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,61.0,,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,,,,,South,Too pro-business,,Yes,,,,Male,Black men,,Suburbs,Suburbs, North Carolina,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Version 1,0.253381997346878,No,65+,60+,65 or over,45+,50+,60+,65+,Black 60+
493914.0,Complete,,Call 1,8.0,Hillary Clinton,About right,Yes,,,Not at all worried,Not worried,College graduate,College graduate,More than High school graduate,Non white college degree,,,3.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Income inequality,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Moderate,Moderate or conservative,Moderate,8.0,,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,,,,,South,About right,,Yes,,,,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Version 1,0.462870985269547,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59
