id,backside,break12c,breakfac,breakimp,brnagain,call,cdnum,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,issrep16,latino,latinos,nvrprs16,outsider,party,partybyr,partyia,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,raceai,region,sex,sexbyrac,sizeplac,sizeplc3,spanishq,stanum,telepoll,timeia16,timeprif,timeprim,timepriw,trumpvot,version,weight,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
121584,Complete,Not a factor at all,Not a factor,Not important,Yes,Call 1,2,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Government spending,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,77,Shares my values,White,White,State questionnaire,White,White,White,West,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.915780425071716,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121585,Complete,One of several important factors,A factor,Important,No,Call 1,2,Postgraduate study,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,77,Can bring needed change,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.937035262584686,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121586,Complete,One of several important factors,A factor,Important, ,Call 1,2,College graduate,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Terrorism,No,No,John Kasich,Have experience in politics,Republican,All Republicans,Republican, ,Conservative,Conservative,Somewhat conservative,77,Can bring needed change,White,White,State questionnaire,White,White,White,West, , ,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,.812069177627563,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121587,Complete,Not a factor at all,Not a factor,Not important,Yes,Call 1,4, , , , ,3,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Terrorism,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,114,Tells it like it is,Other,American Indian,State questionnaire,Other,Non-white,American Indian,West,Female,All other races,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,.512010633945465,All others,65+,60+,65 or over,45+,50+,60+,65+,All others
121588,Complete,Omit,Omit,Omit,No,Call 1,3,High school or less,No college degree,High school graduate or less,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Marco Rubio,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Very conservative,10,Can win in November,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,.943908631801605,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121589,Complete,One of several important factors,A factor,Important,No,Call 1,4,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Ted Cruz,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,114,Shares my values,White,White,State questionnaire,White,White,White,West,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.571560859680176,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121590,Complete,One of several important factors,A factor,Important,No,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Terrorism,No,No,Marco Rubio,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,77,Can win in November,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,.939241647720337,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121591,Complete,One of several important factors,A factor,Important,Yes,Call 1,1,High school or less,No college degree,High school graduate or less,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,John Kasich,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,61,Can bring needed change,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,1.47140336036682,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121592,Complete,One of several important factors,A factor,Important,Yes,Call 1,3,College graduate,College graduate,More than High school graduate,Non white college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,Yes,Yes,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,10,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Male,Latino men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.863183617591858,All others,45-65,60+,60-64,45+,50+,60+,50-64,Latino 60+
121593,Complete,One of several important factors,A factor,Important,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate, ,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Marco Rubio,Have experience in politics,Republican, ,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,60,Can bring needed change, , ,State questionnaire, , , ,West,Male, ,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,.934277594089508,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24, 
121594,Complete,One of several important factors,A factor,Important,Yes,Call 1,2,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Donald Trump,Be from outside the political establishment,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Very conservative,77,Can bring needed change,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This week,Donald Trump,Version 1,.937035262584686,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
121595,Complete,Omit,Omit,Omit,No,Call 1,3,Postgraduate study,College graduate,More than High school graduate,Non white college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,Yes,Yes,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,10,Can bring needed change,Other,White,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Female,Latino women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,.920330822467804,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Latino 30-44
121596,Complete,One of several important factors,A factor,Important,Yes,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Terrorism,No,No,Ted Cruz,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,61,Can bring needed change,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Omit,Omit,Omit,Omit,Not Donald Trump,Version 1,2.02350306510925,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
