id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,cruzhone,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,getahead,gop20162,gop201_1,gop201_2,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,muslimba,ohrprs16,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,prevpri,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,rubiohon,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,thirdpar,timenh16,timeprif,timeprim,timepriw,trade16,trumphon,trumpvot,unfairre,version,votenovc,votenovr,votenovt,weight,whnclinc,whtevang
490940,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes, ,13,Omit, , ,College graduate,College graduate,More than High school graduate,White college degree,2,Getting ahead financially, , , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Government spending,Support,Ben Carson, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative, ,Yes,Can bring needed change,White,White,State questionnaire,White,White,Midwest,No,Female,White women,Suburbs,Suburbs,Ohio,Telephone survey,Seriously consider voting for a third party candidate,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,.432962477207184,No,White Born-again/Evangelical Christians
490962,45-65,30-59,50-59,45+,50+,45-59,50-64, , , ,Complete, ,No, ,9,No, , ,Some college/assoc. degree,No college degree,More than High school graduate, ,2,Falling behind financially, , , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999", ,Government spending,Support,Ben Carson, ,45+,18-64,Independent/Something else, ,Something else,Independent Men,Conservative,Conservative,Very conservative, ,Yes,Tells it like it is, , ,State questionnaire, , ,Midwest,No,Male, ,Rural,Small Cities/Rural,Ohio,Telephone survey,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,1.26219165325165,No,All others
491050,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No, , ,13, ,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2, ,Ted Cruz,John Kasich,Marco Rubio, , , , , , , , , , ,Economy/Jobs, ,Ben Carson,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, , ,Shares my values,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Ohio,Telephone survey, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Probably vote for him,Probably vote for him,Not vote for him,.760907351970673, , 
491064,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes, , ,1, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5, ,Ted Cruz,John Kasich,Marco Rubio, , , , , , , , , , ,Government spending, ,Ben Carson,Be from outside the political establishment,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative, , ,Tells it like it is,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Telephone survey, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Ted Cruz,Version 2,Definitely vote for him,Definitely vote for him,Definitely vote for him,.761224746704102, , 
491079,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes, , ,7, ,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3, ,Ted Cruz,John Kasich,Marco Rubio, , , , , , , , , , ,Economy/Jobs, ,Ben Carson,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, , ,Omit,White,White,State questionnaire,White,White,Midwest, ,Female,White women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Telephone survey, , , , , ,Creates more U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Not vote for him,Omit,Probably vote for him,.173021972179413, , 
491397,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes, ,Call 1,2, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3, ,Would not have voted,John Kasich,Marco Rubio, , , , , , , , , , ,Government spending, ,Ben Carson,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,6, ,Can win in November,White,White,State questionnaire,White,White,Midwest, ,Male,White men,Suburbs,Suburbs,Ohio,Election day exit poll, , , , , ,Omit, ,Not Donald Trump,Omit,Version 2,Not vote for him,Probably vote for him,Not vote for him,.635030031204224, , 
491564,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,All others,All others,Complete,No, ,Call 1,7, ,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3, ,Ted Cruz,Donald Trump,Donald Trump, , , , , , , , , , ,Immigration, ,Ben Carson,Be from outside the political establishment,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,28, ,Shares my values,Other,American Indian,State questionnaire,Other,Non-white,Midwest, ,Male,All other races,Rural,Small Cities/Rural,Ohio,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Marco Rubio,Version 2,Definitely vote for him,Not vote for him,Probably vote for him,.544212937355042, , 
491637,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,10,No, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5,Falling behind financially, , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Support,Ben Carson, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,65,Yes,Shares my values,White,White,State questionnaire,White,White,Midwest,No,Female,White women,Suburbs,Suburbs,Ohio,Election day exit poll,Seriously consider voting for a third party candidate,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,.428772538900375,No,White Born-again/Evangelical Christians
491689,65+,60+,65 or over,45+,50+,60+,65+, , , ,Complete,Yes, ,Call 1,6, ,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate, ,3, ,Ted Cruz,John Kasich,Would not have voted, , , , , , , , , , ,Economy/Jobs, ,Ben Carson,Be from outside the political establishment,45+,65+,Independent/Something else, ,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,26, ,Can bring needed change, , ,State questionnaire, , ,Midwest, ,Male, ,Rural,Small Cities/Rural,Ohio,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Omit,Version 2,Not vote for him,Not vote for him,Not vote for him,.539771914482117, , 
491998,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes, ,Call 1,6, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, ,Donald Trump,Donald Trump,Donald Trump, , , , , , , , , , ,Economy/Jobs, ,Ben Carson,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,106, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest, ,Male,White men,Suburbs,Suburbs,Ohio,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Marco Rubio,Version 2,Probably vote for him,Probably vote for him,Definitely vote for him,1.11655175685883, , 
