ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CLINTONLIB,ECONFAIR,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,HONESTDEM16,HONESTDEM16CLIN,HONESTDEM16SAND,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INTCRISISDEM16,INTCRISISDEMCLIN,INTCRISISDEMSANDERS,ISSDEM16,MARRIED,OBAMAPLCY,OKDPRS16,OUTSIDER16,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,REGION,SANDERSLIB,SCOTUSDEM16,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,VERSION,WEIGHT,WHNCLINC
400855.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,4.0,Too liberal,Favors the wealthy,High school or less,No college degree,High school graduate or less,White no college degree,4.0,Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,Terrorism,Yes,Change to less liberal policies,Other,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,Moderate or conservative,Conservative,19.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,South,Too liberal,Omit,Female,White women,Married women,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,Just today,Last few days,In the last month,This month,Version 1,1.71617567539215,No
400883.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,4.0,Too liberal,Is fair to most Americans,High school or less,No college degree,High school graduate or less,White no college degree,4.0,Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,Economy/Jobs,Yes,Change to less liberal policies,Other,Be from outside the political establishment,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,19.0,Yes,Honest and trustworthy,White,White,State questionnaire,White,White,South,Too liberal,Omit,Male,White men,Married men,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,1.95558679103851,No
400913.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,4.0,Not liberal enough,Is fair to most Americans,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4.0,Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,Terrorism,Yes,Change to more liberal policies,Other,Be from outside the political establishment,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Conservative,Moderate or conservative,Conservative,19.0,No,Cares about people like me,White,White,State questionnaire,White,White,South,Not liberal enough,Bernie Sanders,Male,White men,Married men,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,1.95558679103851,No
400929.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,2.0,Too liberal,Favors the wealthy,High school or less,No college degree,High school graduate or less,White no college degree,1.0,Only Sanders,Only Sanders or Neither of them,Only Sanders or Both of them,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Economy/Jobs,No,Change to less liberal policies,Bernie Sanders,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,Moderate or conservative,Conservative,21.0,Yes,Has the right experience,White,White,State questionnaire,White,White,South,About right,Bernie Sanders,Male,White men,Non married men,Suburbs,Suburbs,Oklahoma,Election day exit poll,In the last few days,Last few days,In the last month,This month,Version 1,2.57128000259399,Yes
400939.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,4.0,About right,Is fair to most Americans,College graduate,College graduate,More than High school graduate,White college degree,4.0,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Economy/Jobs,Yes,Generally continue Barack Obama's policies,Hillary Clinton,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,19.0,Yes,Honest and trustworthy,White,White,State questionnaire,White,White,South,Not liberal enough,Hillary Clinton,Male,White men,Married men,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,In the last few days,Last few days,In the last month,This month,Version 1,1.56752049922943,No
400961.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,All others,Latino 65+,Complete,Call 1,2.0,Omit,Favors the wealthy,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,Economy/Jobs,No,Change to more liberal policies,Other,Have experience in politics,45+,65+,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Conservative,Moderate or conservative,Conservative,21.0,Yes,Omit,Other,American Indian,State questionnaire,Other,Non-white,South,Omit,Omit,Male,All other races,Non married men,Suburbs,Suburbs,Oklahoma,Election day exit poll,Just today,Last few days,In the last month,This month,Version 1,4.54769086837769,No
400965.0,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,4.0,Too liberal,Favors the wealthy,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4.0,Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Only Sanders,Only Sanders or Neither of them,Only Sanders or Both of them,Income inequality,Yes,Change to less liberal policies,Bernie Sanders,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,19.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,South,About right,Bernie Sanders,Male,White men,Married men,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,1.53581511974335,No
400999.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,All others,Latino 65+,Complete,Call 1,2.0,Too liberal,Favors the wealthy,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,Only Sanders,Only Sanders or Neither of them,Only Sanders or Both of them,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,Terrorism,Yes,Change to less liberal policies,Bernie Sanders,Be from outside the political establishment,45+,65+,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Conservative,Moderate or conservative,Conservative,21.0,Yes,Honest and trustworthy,Other,American Indian,State questionnaire,Other,Non-white,South,Too liberal,Bernie Sanders,Male,All other races,Married men,Suburbs,Suburbs,Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,2.41722583770752,No
401003.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,4.0,Omit,Favors the wealthy,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4.0,Only Sanders,Only Sanders or Neither of them,Only Sanders or Both of them,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Only Sanders,Only Sanders or Neither of them,Only Sanders or Both of them,Health care,No,Change to more liberal policies,Bernie Sanders,Be from outside the political establishment,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,19.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,South,About right,Bernie Sanders,Female,White women,Non married women,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,1.26704323291779,Yes
401029.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,2.0,About right,Is fair to most Americans,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1.0,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,,,,,,,,Neither of them,Only Sanders or Neither of them,Only Clinton or Neither of them,Economy/Jobs,Yes,Omit,Hillary Clinton,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,21.0,Yes,Has the right experience,White,White,State questionnaire,White,White,South,About right,Hillary Clinton,Female,White women,Married women,Suburbs,Suburbs,Oklahoma,Election day exit poll,Omit,Omit,Omit,Omit,Version 1,1.97370302677155,
401132.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 1,3.0,Too liberal,Favors the wealthy,Postgraduate study,College graduate,More than High school graduate,White college degree,3.0,Only Sanders,Only Sanders or Neither of them,Only Sanders or Both of them,,,,,,,,Omit,Omit,Omit,Terrorism,No,Change to less liberal policies,Bernie Sanders,Omit,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,Moderate or conservative,Conservative,22.0,Yes,Honest and trustworthy,White,White,State questionnaire,White,White,South,About right,Bernie Sanders,Female,White women,Non married women,Suburbs,Suburbs,Oklahoma,Election day exit poll,In the last few days,Last few days,In the last month,This month,Version 1,2.08803367614746,No
401163.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,3.0,About right,Favors the wealthy,College graduate,College graduate,More than High school graduate,White college degree,3.0,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Economy/Jobs,Yes,Generally continue Barack Obama's policies,Bernie Sanders,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,22.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,South,About right,Hillary Clinton,Female,White women,Married women,Suburbs,Suburbs,Oklahoma,Election day exit poll,In the last few days,Last few days,In the last month,This month,Version 1,2.08803367614746,No
401169.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,5.0,About right,Favors the wealthy,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2.0,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,No,Generally continue Barack Obama's policies,Hillary Clinton,Have experience in politics,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,38.0,Yes,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,South,Too liberal,Hillary Clinton,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",Oklahoma,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,0.932021737098694,No
401172.0,65+,60+,65 or over,45+,50+,60+,65+,,,,Complete,Call 1,1.0,About right,Favors the wealthy,Some college/assoc. degree,No college degree,More than High school graduate,,1.0,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000",,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,Yes,Change to more liberal policies,Hillary Clinton,Have experience in politics,45+,65+,Democrat,,,Democrat,,Moderate,Moderate or conservative,Moderate,83.0,Yes,Has the right experience,,,State questionnaire,,,South,Not liberal enough,Hillary Clinton,Female,,Married women,Rural,Small Cities/Rural,Oklahoma,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Version 1,0.813430607318878,
401202.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,3.0,About right,Favors the wealthy,College graduate,College graduate,More than High school graduate,Non white college degree,3.0,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Health care,Yes,Generally continue Barack Obama's policies,Hillary Clinton,Have experience in politics,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,22.0,Yes,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,South,About right,Hillary Clinton,Female,Black women,Married women,Suburbs,Suburbs,Oklahoma,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Version 1,1.79687654972076,No
