id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,cruzhone,cuban3,educ12r,educcoll,educhs,educwhit,flrprs16,geocode,getahead,gop20162,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,israelsu,issrep16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,raceai,region,rel5,relign10,relwhite,rubiohon,sex,sexbyrac,sizeplac,sizeplc3,socsecur,spanishq,stanum,telepoll,thirdpar,timenh16,timeprif,timeprim,timepriw,trumphon,trumpvot,unfairre,version,votenovc,votenovr,votenovt,weight,whnclinc,whtevang
489973,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,20,Yes,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ben Carson,5,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Immigration,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Can bring needed change,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Telephone survey,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,Yes,Not Donald Trump, ,Version 1, , , ,3.73942470550537,Yes,White Born-again/Evangelical Christians
495733,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete, ,Yes,Call 1,18,No,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ben Carson,2,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Support, ,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Somewhat conservative,101,Tells it like it is,White,White,State questionnaire,White,White, ,South, , , ,No,Male,White men,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.291090697050095,No,White Born-again/Evangelical Christians
495777,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44, ,Complete, ,No,Call 1,25,No,"Yes, Cuban",Postgraduate study,College graduate,More than High school graduate,Non white college degree,Ben Carson,5,Holding steady financially, ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", ,Terrorism,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,18,Shares my values,Other, ,State questionnaire,Hispanic/Latino,Non-white, ,South, , , ,Omit,Female,Latino women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Omit,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.449213117361069,No,All others
495778,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44, ,Complete, ,No,Call 1,25,No,"Yes, Cuban",Postgraduate study,College graduate,More than High school graduate,Non white college degree,Ben Carson,5,Holding steady financially, ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", ,Terrorism,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,18,Shares my values,Other, ,State questionnaire,Hispanic/Latino,Non-white, ,South, , , ,Omit,Female,Latino women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Omit,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.449213117361069,No,All others
496527,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete, ,Yes,Call 1,8,Omit,No,High school or less,No college degree,High school graduate or less,Non white no college degree,Ben Carson,2,Getting ahead financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,Terrorism,Support, ,18-44,18-64,Republican,All Republicans,Republican, ,Conservative,Conservative,Somewhat conservative,5,Can win in November,Black,Black,State questionnaire,Black,Non-white, ,South, , , ,No, , ,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,Yes,Not Donald Trump, ,Version 1, , , ,.336581498384476,No,All others
496575,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Not complete, , ,Call 1,9, ,No, , , , ,Ben Carson,2,Falling behind financially, , , ,Offered a chance to apply for legal status, , , , , , , , , , , ,45+,65+, , , , , , , ,78, ,White,White,State questionnaire,White,White, ,South, , , , ,Male,White men,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that, ,Not Donald Trump, ,Version 1, , , ,.238284885883331, , 
500293,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No,Call 2,18,Yes,No,High school or less,No college degree,High school graduate or less,White no college degree,Ben Carson,2,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Immigration,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,102,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,No,Male,White men,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Omit,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,.511239886283875,No,All others
500740,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 2,10,Yes,No,Postgraduate study,College graduate,More than High school graduate,White college degree,Ben Carson,4,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Support, ,45+,18-64,Republican,All Republicans,Republican, ,Conservative,Conservative,Somewhat conservative,98,Tells it like it is,White,White,State questionnaire,White,White, ,South, , , ,Yes, , ,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump, ,Version 1, , , ,.59821230173111,No,White Born-again/Evangelical Christians
502127,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No,Call 2,10,Yes,No,High school or less,No college degree,High school graduate or less,White no college degree,Ben Carson,4,Holding steady financially, ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Terrorism,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,61,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Just today,Last few days,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,.565810203552246,Yes,All others
502913,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 3,15,No,No,Postgraduate study,College graduate,More than High school graduate,White college degree,Ben Carson,3,Falling behind financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Economy/Jobs,Support, ,45+,18-64,Democrat,White Democrat,Democrat,Democratic Women,Conservative,Conservative,Very conservative,52,Can bring needed change,White,White,State questionnaire,White,White, ,South, , , ,No,Female,White women,Suburbs,Suburbs, ,English,Florida,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,1.13813841342926,No,White Born-again/Evangelical Christians
